Table 6,,,,,,,,,,,
Crime in the United States, ,,,,,,,,,,
"by Metropolitan Statistical Area, 2007",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,Total area actually reporting,99.7%,"3,708",37,223,899,"2,549","17,223","5,656","9,687","1,880"
,Estimated total,100.0%,"3,712",37,223,900,"2,552","17,259","5,663","9,712","1,884"
,"Rate per 100,000 inhabitants",,842.2,8.4,50.6,204.2,579.0,"3,915.8","1,284.9","2,203.5",427.5
"Florence, SC M.S.A.",,"201,529", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"31,377",552,5,31,117,399,"2,757",586,"2,000",171
,Total area actually reporting,100.0%,"2,145",30,94,328,"1,693","10,933","2,705","7,384",844
,"Rate per 100,000 inhabitants",,"1,064.4",14.9,46.6,162.8,840.1,"5,425.0","1,342.2","3,664.0",418.8
"Fond du Lac, WI M.S.A.",,"99,825", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,349",147,0,29,19,99,"1,204",113,"1,055",36
,Total area actually reporting,100.0%,211,0,34,21,156,"1,872",216,"1,578",78
,"Rate per 100,000 inhabitants",,211.4,0.0,34.1,21.0,156.3,"1,875.3",216.4,"1,580.8",78.1
"Fort Collins-Loveland, CO M.S.A.",,"282,097",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"130,935",418,1,70,33,314,"4,476",695,"3,487",294
,City of Loveland,"62,586",114,1,17,17,79,"1,734",251,"1,408",75
,Total area actually reporting,100.0%,643,4,107,59,473,"7,881","1,212","6,168",501
,"Rate per 100,000 inhabitants",,227.9,1.4,37.9,20.9,167.7,"2,793.7",429.6,"2,186.5",177.6
"Fort Smith, AR-OK M.S.A.1",,"291,717", , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah1 Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","83,860",787,5,78,143,561,"5,474","1,041","4,110",323
,Total area actually reporting,87.8%,,7,,167,,"8,669","2,048","6,071",550
,Estimated total,100.0%,,8,,177,,"9,554","2,366","6,572",616
,"Rate per 100,000 inhabitants",,,2.7,,60.7,,"3,275.1",811.1,"2,252.9",211.2
"Fort Walton Beach-Crestview-Destin, FL M.S.A.",,"180,091",,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Fort Walton Beach,"19,245",106,0,11,25,70,826,161,601,64
,City of Crestview,"18,753",101,3,13,21,64,770,82,634,54
,Total area actually reporting,100.0%,727,4,61,144,518,"5,670","1,182","4,125",363
,"Rate per 100,000 inhabitants",,403.7,2.2,33.9,80.0,287.6,"3,148.4",656.3,"2,290.5",201.6
"Fort Wayne, IN M.S.A.",,"410,350", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"248,423",762,24,85,407,246,"10,083","2,129","7,312",642
,Total area actually reporting,91.1%,825,25,98,427,275,"11,724","2,448","8,508",768
,Estimated total,100.0%,882,26,103,443,310,"12,576","2,609","9,132",835
,"Rate per 100,000 inhabitants",,214.9,6.3,25.1,108.0,75.5,"3,064.7",635.8,"2,225.4",203.5
"Fresno, CA M.S.A.",,"898,391", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"472,170","3,043",52,99,"1,104","1,788","20,969","3,897","13,049","4,023"
,Total area actually reporting,100.0%,"4,450",73,183,"1,430","2,764","35,941","7,159","22,335","6,447"
,"Rate per 100,000 inhabitants",,495.3,8.1,20.4,159.2,307.7,"4,000.6",796.9,"2,486.1",717.6
"Gainesville, FL M.S.A.3",,"243,506", ,,,,, ,,,
,Includes Alachua and Gilchrist3 Counties,,,,,,,,,,
,City of Gainesville,"108,289","1,122",5,93,237,787,"5,795","1,522","3,837",436
,Total area actually reporting,99.7%,"2,291",7,150,410,"1,724",,"3,001",,788
,Estimated total,100.0%,"2,296",7,150,412,"1,727",,"3,008",,791
,"Rate per 100,000 inhabitants",,942.9,2.9,61.6,169.2,709.2,,"1,235.3",,324.8
"Gainesville, GA M.S.A.",,"178,408", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"34,494",184,2,18,55,109,"1,920",293,"1,494",133
,Total area actually reporting,100.0%,416,4,37,104,271,"4,894","1,023","3,313",558
,"Rate per 100,000 inhabitants",,233.2,2.2,20.7,58.3,151.9,"2,743.2",573.4,"1,857.0",312.8
"Glens Falls, NY M.S.A.",,"129,840", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,043",18,1,2,5,10,471,51,413,7
,Total area actually reporting,100.0%,235,5,41,12,177,"2,391",376,"1,947",68
,"Rate per 100,000 inhabitants",,181.0,3.9,31.6,9.2,136.3,"1,841.5",289.6,"1,499.5",52.4
"Goldsboro, NC M.S.A.",,"115,119", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"38,053",312,10,6,100,196,"2,843",755,"1,921",167
,Total area actually reporting,98.1%,526,19,10,132,365,"5,394","1,656","3,391",347
,Estimated total,100.0%,536,19,11,135,371,"5,505","1,683","3,469",353
,"Rate per 100,000 inhabitants",,465.6,16.5,9.6,117.3,322.3,"4,782.0","1,462.0","3,013.4",306.6
"Grand Forks, ND-MN M.S.A.5",,"96,813", ,,,,, ,,,
,"Includes Polk County, MN5 and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","50,477",120,1,30,11,78,"1,762",253,"1,379",130
,Total area actually reporting,98.7%,,2,,11,120,"2,541",426,"1,938",177
,Estimated total,100.0%,,2,,11,121,"2,576",431,"1,965",180
,"Rate per 100,000 inhabitants",,,2.1,,11.4,125.0,"2,660.8",445.2,"2,029.7",185.9
"Grand Junction, CO M.S.A.",,"137,907", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"47,235",290,0,36,31,223,"2,532",327,"2,033",172
,Total area actually reporting,99.7%,473,2,52,51,368,"4,111",719,"3,067",325
,Estimated total,100.0%,474,2,52,51,369,"4,124",721,"3,077",326
,"Rate per 100,000 inhabitants",,343.7,1.5,37.7,37.0,267.6,"2,990.4",522.8,"2,231.2",236.4
"Grand Rapids-Wyoming, MI M.S.A.",,"774,927",,,,,,,,,
,"Includes Barry, Ionia, Kent, and Newaygo Counties",, ,,,,,,,,
,City of Grand Rapids,"192,376","1,874",20,69,669,"1,116","10,149","2,629","6,931",589
,City of Wyoming,"70,243",356,1,42,96,217,"2,177",581,"1,391",205
,Total area actually reporting,99.1%,"3,277",27,355,878,"2,017","24,624","5,853","17,471","1,300"
,Estimated total,100.0%,"3,298",27,357,883,"2,031","24,826","5,891","17,614","1,321"
,"Rate per 100,000 inhabitants",,425.6,3.5,46.1,113.9,262.1,"3,203.7",760.2,"2,273.0",170.5
"Great Falls, MT M.S.A.",,"79,880", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"56,159",178,1,6,29,142,"3,061",235,"2,713",113
,Total area actually reporting,100.0%,240,2,8,29,201,"3,340",278,"2,921",141
,"Rate per 100,000 inhabitants",,300.5,2.5,10.0,36.3,251.6,"4,181.3",348.0,"3,656.7",176.5
"Greeley, CO M.S.A.",,"247,806", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"90,707",423,4,50,48,321,"3,566",703,"2,610",253
,Total area actually reporting,98.1%,753,7,79,63,604,"6,507","1,398","4,571",538
,Estimated total,100.0%,765,7,81,65,612,"6,664","1,424","4,686",554
,"Rate per 100,000 inhabitants",,308.7,2.8,32.7,26.2,247.0,"2,689.2",574.6,"1,891.0",223.6
"Green Bay, WI M.S.A.",,"302,277", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"100,010",616,2,67,89,458,"2,843",565,"2,094",184
,Total area actually reporting,100.0%,711,4,96,91,520,"6,882","1,283","5,225",374
,"Rate per 100,000 inhabitants",,235.2,1.3,31.8,30.1,172.0,"2,276.7",424.4,"1,728.5",123.7
"Greensboro-High Point, NC M.S.A.",,"697,634",,,,,,,,,
,"Includes Guilford, Randolph, and Rockingham Counties",, ,,,,,,,,
,City of Greensboro,"238,122","2,312",40,94,942,"1,236","14,778","4,704","8,943","1,131"
,City of High Point,"97,676",819,13,38,330,438,"5,654","1,840","3,401",413
,Total area actually reporting,99.8%,"3,914",73,166,"1,493","2,182","31,703","9,690","19,797","2,216"
,Estimated total,100.0%,"3,920",73,166,"1,495","2,186","31,768","9,706","19,843","2,219"
,"Rate per 100,000 inhabitants",,561.9,10.5,23.8,214.3,313.3,"4,553.7","1,391.3","2,844.3",318.1
"Greenville, NC M.S.A.",,"169,150", ,,,,, ,,,
,Includes Greene and Pitt Counties,,,,,,,,,,
,City of Greenville,"73,319",663,8,20,275,360,"4,928","1,424","3,237",267
,Total area actually reporting,100.0%,"1,032",14,46,330,642,"8,422","2,596","5,343",483
,"Rate per 100,000 inhabitants",,610.1,8.3,27.2,195.1,379.5,"4,979.0","1,534.7","3,158.7",285.5
"Greenville-Mauldin-Easley, SC M.S.A.",,"613,703", ,,,,, ,,,
,"Includes Greenville, Laurens, and Pickens Counties",,,,,,,,,,
,City of Greenville,"57,595",659,8,26,172,453,"3,810",643,"2,805",362
,City of Mauldin,"20,494",92,1,5,15,71,545,70,427,48
,City of Easley,"19,372",103,1,6,20,76,939,126,749,64
,Total area actually reporting,100.0%,"4,251",40,247,877,"3,087","23,927","6,026","15,611","2,290"
,"Rate per 100,000 inhabitants",,692.7,6.5,40.2,142.9,503.0,"3,898.8",981.9,"2,543.7",373.1
"Hanford-Corcoran, CA M.S.A.",,"147,510",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"49,694",151,0,8,40,103,"1,674",244,"1,233",197
,City of Corcoran,"23,715",45,0,4,5,36,216,65,119,32
,Total area actually reporting,100.0%,441,7,29,92,313,"3,439",660,"2,214",565
,"Rate per 100,000 inhabitants",,299.0,4.7,19.7,62.4,212.2,"2,331.4",447.4,"1,500.9",383.0
"Harrisburg-Carlisle, PA M.S.A.",,"526,335",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,"46,924",734,12,52,443,227,"2,297",576,"1,556",165
,City of Carlisle,"18,317",55,0,12,26,17,663,72,572,19
,Total area actually reporting,99.0%,"1,671",21,158,665,827,"10,534","1,933","8,124",477
,Estimated total,100.0%,"1,683",21,159,668,835,"10,644","1,950","8,211",483
,"Rate per 100,000 inhabitants",,319.8,4.0,30.2,126.9,158.6,"2,022.3",370.5,"1,560.0",91.8
"Harrisonburg, VA M.S.A.",,"113,967", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"40,869",150,0,11,37,102,"1,240",250,874,116
,Total area actually reporting,100.0%,188,0,20,40,128,"1,930",412,"1,382",136
,"Rate per 100,000 inhabitants",,165.0,0.0,17.5,35.1,112.3,"1,693.5",361.5,"1,212.6",119.3
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,006,947",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"124,558","1,411",31,58,642,680,"7,206","1,168","4,437","1,601"
,City of West Hartford,"60,644",83,1,2,53,27,"1,468",241,"1,063",164
,City of East Hartford,"48,752",221,3,15,100,103,"1,614",349,"1,030",235
,City of Middletown,"47,743",48,0,0,25,23,"1,267",179,966,122
,Total area actually reporting,100.0%,"2,936",46,182,"1,328","1,380","29,632","5,217","20,804","3,611"
,"Rate per 100,000 inhabitants",,291.6,4.6,18.1,131.9,137.0,"2,942.8",518.1,"2,066.0",358.6
"Hattiesburg, MS M.S.A.",,"135,875", ,,,,, ,,,
,"Includes Forrest, Lamar, and Perry Counties",,,,,,,,,,
,City of Hattiesburg,"48,384",234,2,21,135,76,"2,588",596,"1,821",171
,Total area actually reporting,75.8%,309,2,48,151,108,"3,470",931,"2,310",229
,Estimated total,100.0%,362,4,54,161,143,"4,189","1,129","2,755",305
,"Rate per 100,000 inhabitants",,266.4,2.9,39.7,118.5,105.2,"3,083.0",830.9,"2,027.6",224.5
"Hickory-Lenoir-Morganton, NC M.S.A.",,"365,896",,,,,,,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",,,, ,,,,,,
,City of Hickory,"41,008",368,5,21,116,226,"3,398",783,"2,338",277
,City of Lenoir,"17,988",51,1,1,15,34,768,217,517,34
,City of Morganton,"17,183",77,2,8,17,50,713,179,497,37
,Total area actually reporting,99.3%,"1,026",19,85,250,672,"12,794","3,743","8,087",964
,Estimated total,100.0%,"1,037",19,86,253,679,"12,923","3,774","8,178",971
,"Rate per 100,000 inhabitants",,283.4,5.2,23.5,69.1,185.6,"3,531.9","1,031.4","2,235.1",265.4
"Hinesville-Fort Stewart, GA M.S.A.",,"74,369",,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,"29,466",225,4,16,44,161,"2,055",479,"1,511",65
,Total area actually reporting,100.0%,317,5,26,57,229,"2,876",702,"2,072",102
,"Rate per 100,000 inhabitants",,426.3,6.7,35.0,76.6,307.9,"3,867.2",943.9,"2,786.1",137.2
"Honolulu, HI M.S.A.",,"905,903", ,,,,, ,,,
,Includes Honolulu County,,,,,,,,,,
,City of Honolulu,"905,903","2,613",19,226,943,"1,425","37,197","5,777","26,483","4,937"
,Total area actually reporting,100.0%,"2,613",19,226,943,"1,425","37,197","5,777","26,483","4,937"
,"Rate per 100,000 inhabitants",,288.4,2.1,24.9,104.1,157.3,"4,106.1",637.7,"2,923.4",545.0
"Hot Springs, AR M.S.A.",,"96,271", ,,,,, ,,,
,Includes Garland County,,, ,,,,,,,
,City of Hot Springs,"38,828",442,7,10,116,309,"3,951",848,"2,894",209
,Total area actually reporting,100.0%,538,10,24,123,381,"6,257","1,784","4,090",383
,"Rate per 100,000 inhabitants",,558.8,10.4,24.9,127.8,395.8,"6,499.4","1,853.1","4,248.4",397.8
"Houma-Bayou Cane-Thibodaux, LA M.S.A.",,"203,401",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"32,597",340,4,16,65,255,"1,489",235,"1,182",72
,City of Thibodaux,"14,501",120,1,10,21,88,679,126,539,14
,Total area actually reporting,100.0%,997,12,66,134,785,"7,104","1,037","5,666",401
,"Rate per 100,000 inhabitants",,490.2,5.9,32.4,65.9,385.9,"3,492.6",509.8,"2,785.6",197.1
"Houston-Sugar Land-Baytown, TX M.S.A.",,"5,664,249",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties",,,,,,,,,,
,City of Houston,"2,169,544","24,564",351,694,"11,479","12,040","123,326","29,044","74,817","19,465"
,City of Sugar Land,"82,402",100,0,17,39,44,"1,578",210,"1,268",100
,City of Baytown,"69,040",324,7,44,113,160,"3,098",731,"2,048",319
,City of Galveston,"57,590",585,7,82,209,287,"3,475",757,"2,394",324
,Total area actually reporting,99.9%,"38,464",496,"1,749","15,229","20,990","232,740","56,715","144,760","31,265"
,Estimated total,100.0%,"38,465",496,"1,749","15,229","20,991","232,759","56,719","144,774","31,266"
,"Rate per 100,000 inhabitants",,679.1,8.8,30.9,268.9,370.6,"4,109.3","1,001.4","2,555.9",552.0
"Huntsville, AL M.S.A.",,"382,202", ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,"169,391","1,379",21,96,586,676,"10,731","2,283","7,282","1,166"
,Total area actually reporting,83.9%,"1,626",25,121,620,860,"13,300","2,960","8,847","1,493"
,Estimated total,100.0%,"1,885",31,138,712,"1,004","15,986","3,529","10,778","1,679"
,"Rate per 100,000 inhabitants",,493.2,8.1,36.1,186.3,262.7,"4,182.6",923.3,"2,820.0",439.3
"Idaho Falls, ID M.S.A.",,"119,795", ,,,,, ,,,
,Includes Bonneville and Jefferson Counties,,,,,,,,,,
,City of Idaho Falls,"53,049",222,0,32,16,174,"1,927",372,"1,432",123
,Total area actually reporting,100.0%,342,1,53,17,271,"3,173",680,"2,277",216
,"Rate per 100,000 inhabitants",,285.5,0.8,44.2,14.2,226.2,"2,648.7",567.6,"1,900.7",180.3
"Indianapolis-Carmel, IN M.S.A.",,"1,687,197", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,"797,268","9,841",114,505,"4,046","5,176","50,289","13,385","29,224","7,680"
,City of Carmel,"62,037",29,1,3,6,19,"1,009",123,840,46
,Total area actually reporting,89.6%,"10,758",125,588,"4,311","5,734","66,567","15,880","41,891","8,796"
,Estimated total,100.0%,"11,003",130,611,"4,375","5,887","70,304","16,620","44,594","9,090"
,"Rate per 100,000 inhabitants",,652.1,7.7,36.2,259.3,348.9,"4,166.9",985.1,"2,643.1",538.8
"Iowa City, IA M.S.A.",,"140,650", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"62,700",207,0,18,33,156,"1,333",217,"1,054",62
,Total area actually reporting,94.8%,362,0,31,45,286,"2,841",550,"2,167",124
,Estimated total,100.0%,375,0,32,46,297,"3,011",578,"2,301",132
,"Rate per 100,000 inhabitants",,266.6,0.0,22.8,32.7,211.2,"2,140.8",410.9,"1,636.0",93.8
"Ithaca, NY M.S.A.",,"100,687", ,,,,, ,,,
,Includes Tompkins County,,,,,,,,,,
,City of Ithaca,"29,970",58,0,8,22,28,965,147,805,13
,Total area actually reporting,100.0%,116,0,19,28,69,"2,321",343,"1,925",53
,"Rate per 100,000 inhabitants",,115.2,0.0,18.9,27.8,68.5,"2,305.2",340.7,"1,911.9",52.6
"Jackson, MI M.S.A.",,"163,839", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,"34,325",225,1,39,50,135,"1,682",281,"1,291",110
,Total area actually reporting,98.6%,570,2,98,76,394,"4,401",894,"3,239",268
,Estimated total,100.0%,578,2,99,78,399,"4,469",907,"3,287",275
,"Rate per 100,000 inhabitants",,352.8,1.2,60.4,47.6,243.5,"2,727.7",553.6,"2,006.2",167.8
"Jackson, MS M.S.A.",,"532,981", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties",,,,,,,,,,
,City of Jackson,"175,525","1,512",46,141,862,463,"12,465","3,897","6,984","1,584"
,Total area actually reporting,79.8%,"1,936",60,202,967,707,"17,490","5,384","10,217","1,889"
,Estimated total,100.0%,"2,157",66,229,"1,021",841,"20,628","6,201","12,280","2,147"
,"Rate per 100,000 inhabitants",,404.7,12.4,43.0,191.6,157.8,"3,870.3","1,163.5","2,304.0",402.8
"Jackson, TN M.S.A.",,"113,807", ,,,,, ,,,
,Includes Chester and Madison Counties,,,,,,,,,,
,City of Jackson,"63,125",681,9,27,266,379,"4,606","1,106","2,930",570
,Total area actually reporting,100.0%,953,12,48,283,610,"5,891","1,490","3,702",699
,"Rate per 100,000 inhabitants",,837.4,10.5,42.2,248.7,536.0,"5,176.3","1,309.2","3,252.9",614.2
"Jacksonville, FL M.S.A.1",,"1,290,776", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"797,350","8,146",123,249,"3,114","4,660","45,416","11,115","29,484","4,817"
,Total area actually reporting,99.5%,,139,361,"3,480",,"60,532","14,685","39,968","5,879"
,Estimated total,100.0%,,139,363,"3,494",,"60,819","14,748","40,165","5,906"
,"Rate per 100,000 inhabitants",,,10.8,28.1,270.7,,"4,711.8","1,142.6","3,111.7",457.6
"Jacksonville, NC M.S.A.",,"152,338", ,,,,, ,,,
,Includes Onslow County,,, ,,,,,,,
,City of Jacksonville,"70,368",278,7,30,65,176,"2,297",550,"1,614",133
,Total area actually reporting,100.0%,588,11,65,116,396,"5,357","1,624","3,389",344
,"Rate per 100,000 inhabitants",,386.0,7.2,42.7,76.1,259.9,"3,516.5","1,066.1","2,224.7",225.8
"Janesville, WI M.S.A.",,"160,629", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,383",158,0,25,55,78,"2,731",431,"2,217",83
,Total area actually reporting,100.0%,370,5,47,125,193,"5,462",964,"4,266",232
,"Rate per 100,000 inhabitants",,230.3,3.1,29.3,77.8,120.2,"3,400.4",600.1,"2,655.8",144.4
"Jefferson City, MO M.S.A.2",,"145,564", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau,2 and Osage Counties",,,,,,,,,,
,City of Jefferson City,"39,121",286,1,25,30,230,"1,484",244,"1,186",54
,Total area actually reporting,100.0%,471,3,41,44,383,"3,848",731,"2,921",196
,"Rate per 100,000 inhabitants",,323.6,2.1,28.2,30.2,263.1,"2,643.5",502.2,"2,006.7",134.6
"Johnson City, TN M.S.A.",,"194,592", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"60,488",343,1,22,57,263,"3,023",566,"2,295",162
,Total area actually reporting,100.0%,814,4,35,77,698,"6,034","1,395","4,286",353
,"Rate per 100,000 inhabitants",,418.3,2.1,18.0,39.6,358.7,"3,100.8",716.9,"2,202.6",181.4
"Johnstown, PA M.S.A.",,"145,844", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"23,609",145,1,3,57,84,864,262,546,56
,Total area actually reporting,91.9%,289,2,9,77,201,"2,792",542,"2,084",166
,Estimated total,100.0%,316,2,11,84,219,"3,030",578,"2,272",180
,"Rate per 100,000 inhabitants",,216.7,1.4,7.5,57.6,150.2,"2,077.6",396.3,"1,557.8",123.4
"Jonesboro, AR M.S.A.",,"114,222", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"61,199",333,5,30,92,206,"3,526","1,419","1,993",114
,Total area actually reporting,100.0%,477,5,46,102,324,"5,060","2,021","2,875",164
,"Rate per 100,000 inhabitants",,417.6,4.4,40.3,89.3,283.7,"4,430.0","1,769.4","2,517.0",143.6
"Joplin, MO M.S.A.",,"170,012", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"48,261",372,1,38,91,242,"4,812",845,"3,554",413
,Total area actually reporting,100.0%,687,8,65,110,504,"8,102","1,563","5,897",642
,"Rate per 100,000 inhabitants",,404.1,4.7,38.2,64.7,296.4,"4,765.5",919.3,"3,468.6",377.6
"Kalamazoo-Portage, MI M.S.A.",,"318,778",,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,, ,,,,,,,,
,City of Kalamazoo,"71,462",835,9,81,302,443,"4,472","1,039","3,089",344
,City of Portage,"45,287",104,1,20,20,63,"2,124",343,"1,708",73
,Total area actually reporting,98.9%,"1,477",14,219,398,846,"12,213","2,796","8,630",787
,Estimated total,100.0%,"1,487",14,220,400,853,"12,318","2,816","8,704",798
,"Rate per 100,000 inhabitants",,466.5,4.4,69.0,125.5,267.6,"3,864.1",883.4,"2,730.4",250.3
"Kennewick-Pasco-Richland, WA M.S.A.",,"231,368",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"63,147",236,1,38,31,166,"2,362",341,"1,862",159
,City of Pasco,"52,761",150,0,29,43,78,"1,811",408,"1,138",265
,City of Richland,"45,555",105,0,13,23,69,"1,249",213,960,76
,Total area actually reporting,100.0%,574,4,93,101,376,"6,619","1,325","4,704",590
,"Rate per 100,000 inhabitants",,248.1,1.7,40.2,43.7,162.5,"2,860.8",572.7,"2,033.1",255.0
"Killeen-Temple-Fort Hood, TX M.S.A.",,"354,141",,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,"104,188",815,12,82,202,519,"5,680","2,319","3,098",263
,City of Temple,"55,057",203,1,22,76,104,"2,973",723,"2,107",143
,Total area actually reporting,99.7%,"1,399",19,156,344,880,"12,981","4,247","8,155",579
,Estimated total,100.0%,"1,402",19,156,345,882,"13,020","4,255","8,183",582
,"Rate per 100,000 inhabitants",,395.9,5.4,44.1,97.4,249.1,"3,676.5","1,201.5","2,310.7",164.3
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,"305,118",,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN","44,079",335,2,21,57,255,"3,064",521,"2,395",148
,"City of Bristol, TN","25,346",117,0,16,9,92,"1,436",207,"1,129",100
,"City of Bristol, VA","17,484",77,0,11,17,49,764,122,604,38
,Total area actually reporting,100.0%,"1,146",8,120,124,894,"11,308","2,394","8,185",729
,"Rate per 100,000 inhabitants",,375.6,2.6,39.3,40.6,293.0,"3,706.1",784.6,"2,682.6",238.9
"Kingston, NY M.S.A.",,"182,932", ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,"22,741",67,1,5,38,23,699,122,551,26
,Total area actually reporting,100.0%,456,3,41,66,346,"3,003",623,"2,251",129
,"Rate per 100,000 inhabitants",,249.3,1.6,22.4,36.1,189.1,"1,641.6",340.6,"1,230.5",70.5
"Knoxville, TN M.S.A.",,"682,242", ,,,,, ,,,
,"Includes Anderson, Blount, Knox, Loudon, and Union Counties",,,,,,,,,,
,City of Knoxville,"183,319","2,058",27,109,681,"1,241","12,862","2,507","8,984","1,371"
,Total area actually reporting,100.0%,"3,602",38,202,903,"2,459","26,674","6,168","18,024","2,482"
,"Rate per 100,000 inhabitants",,528.0,5.6,29.6,132.4,360.4,"3,909.8",904.1,"2,641.9",363.8
"Kokomo, IN M.S.A.",,"100,734", ,,,,, ,,,
,Includes Howard and Tipton Counties,,,,,,,,,,
,City of Kokomo,"45,832",216,1,20,62,133,"2,717",450,"2,142",125
,Total area actually reporting,100.0%,277,1,24,68,184,"3,532",703,"2,679",150
,"Rate per 100,000 inhabitants",,275.0,1.0,23.8,67.5,182.7,"3,506.3",697.9,"2,659.5",148.9
"La Crosse, WI-MN M.S.A.5",,"129,892", ,,,,, ,,,
,"Includes Houston County, MN5 and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI","50,032",164,1,15,22,126,"1,867",305,"1,475",87
,Total area actually reporting,95.1%,,1,,29,162,"3,039",472,"2,436",131
,Estimated total,100.0%,,1,,32,168,"3,251",503,"2,604",144
,"Rate per 100,000 inhabitants",,,0.8,,24.6,129.3,"2,502.8",387.2,"2,004.7",110.9
"Lafayette, IN M.S.A.",,"186,687", ,,,,, ,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,"61,257",303,0,36,68,199,"3,083",610,"2,290",183
,Total area actually reporting,95.2%,443,2,57,79,305,"5,219","1,157","3,783",279
,Estimated total,100.0%,454,2,58,82,312,"5,403","1,194","3,915",294
,"Rate per 100,000 inhabitants",,243.2,1.1,31.1,43.9,167.1,"2,894.1",639.6,"2,097.1",157.5
"Lafayette, LA M.S.A.",,"255,453", ,,,,, ,,,
,Includes Lafayette and St. Martin Parishes,,,,,,,,,,
,City of Lafayette,"114,212","1,293",15,68,319,891,"7,118","1,410","5,152",556
,Total area actually reporting,91.7%,"1,880",22,104,394,"1,360","9,823","2,147","6,884",792
,Estimated total,100.0%,"2,029",24,112,416,"1,477","10,953","2,357","7,739",857
,"Rate per 100,000 inhabitants",,794.3,9.4,43.8,162.8,578.2,"4,287.7",922.7,"3,029.5",335.5
