Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of El Centro,"43,099",165,2,11,36,116,"2,284",695,"1,424",165
,Total area actually reporting,95.6%,453,3,30,83,337,"5,703","1,940","3,035",728
,Estimated total,100.0%,478,3,31,91,353,"5,899","1,987","3,158",754
,"Rate per 100,000 inhabitants",,270.7,1.7,17.6,51.5,199.9,"3,340.7","1,125.3","1,788.4",427.0
"Elizabethtown, KY M.S.A.",,"120,563", ,,,,, ,,,
,Includes Hardin and Larue Counties,,,,,,,,,,
,City of Elizabethtown,"28,728",43,2,17,18,6,"1,022",131,853,38
,Total area actually reporting,100.0%,117,2,37,46,32,"1,875",342,"1,455",78
,"Rate per 100,000 inhabitants",,97.0,1.7,30.7,38.2,26.5,"1,555.2",283.7,"1,206.8",64.7
"Elmira, NY M.S.A.",,"89,229", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"29,331",70,1,2,25,42,"1,141",255,871,15
,Total area actually reporting,100.0%,177,1,13,28,135,"2,101",407,"1,653",41
,"Rate per 100,000 inhabitants",,198.4,1.1,14.6,31.4,151.3,"2,354.6",456.1,"1,852.5",45.9
"El Paso, TX M.S.A.",,"817,494", ,,,,, ,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,"662,780","2,858",16,217,464,"2,161","16,312","1,859","12,997","1,456"
,Total area actually reporting,100.0%,"3,325",18,241,502,"2,564","19,492","2,505","15,277","1,710"
,"Rate per 100,000 inhabitants",,406.7,2.2,29.5,61.4,313.6,"2,384.4",306.4,"1,868.8",209.2
"Erie, PA M.S.A.",,"281,461", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"102,111",431,6,77,150,198,"3,738","1,233","2,404",101
,Total area actually reporting,100.0%,692,8,129,191,364,"7,580","1,997","5,378",205
,"Rate per 100,000 inhabitants",,245.9,2.8,45.8,67.9,129.3,"2,693.1",709.5,"1,910.7",72.8
"Eugene-Springfield, OR M.S.A.",,"355,459",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"157,848",460,0,78,177,205,"7,878","1,440","5,862",576
,City of Springfield,"60,035",149,1,15,46,87,"2,437",309,"1,979",149
,Total area actually reporting,100.0%,"1,001",3,118,254,626,"12,639","2,493","9,217",929
,"Rate per 100,000 inhabitants",,281.6,0.8,33.2,71.5,176.1,"3,555.7",701.3,"2,593.0",261.4
"Evansville, IN-KY M.S.A.",,"360,616", ,,,,, ,,,
,"Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,
,"City of Evansville, IN","118,029",491,3,56,154,278,"5,456","1,074","4,151",231
,Total area actually reporting,76.5%,823,5,83,176,559,"8,646","1,776","6,528",342
,Estimated total,100.0%,912,7,94,189,622,"9,933","2,127","7,379",427
,"Rate per 100,000 inhabitants",,252.9,1.9,26.1,52.4,172.5,"2,754.5",589.8,"2,046.2",118.4
"Fairbanks, AK M.S.A.",,"34,243", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,089",177,2,17,33,125,"1,232",130,"1,026",76
,Total area actually reporting,100.0%,192,2,17,36,137,"1,396",143,"1,170",83
,"Rate per 100,000 inhabitants",,560.7,5.8,49.6,105.1,400.1,"4,076.7",417.6,"3,416.8",242.4
"Fargo, ND-MN M.S.A.2",,"211,760", ,,,,, ,,,
,"Includes Clay County, MN2 and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","107,329",384,1,42,47,294,"2,671",423,"2,120",128
,Total area actually reporting,100.0%,,1,,64,372,"4,390",697,"3,483",210
,"Rate per 100,000 inhabitants",,,0.5,,30.2,175.7,"2,073.1",329.1,"1,644.8",99.2
"Farmington, NM M.S.A.",,"131,499", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"46,390",504,2,73,40,389,"1,628",244,"1,291",93
,Total area actually reporting,100.0%,822,5,104,53,660,"2,758",543,"2,058",157
,"Rate per 100,000 inhabitants",,625.1,3.8,79.1,40.3,501.9,"2,097.4",412.9,"1,565.0",119.4
"Fayetteville, NC M.S.A.",,"371,029", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"203,107","1,050",25,56,495,474,"12,972","4,204","8,088",680
,Total area actually reporting,100.0%,"1,795",33,78,676,"1,008","20,252","7,286","11,923","1,043"
,"Rate per 100,000 inhabitants",,483.8,8.9,21.0,182.2,271.7,"5,458.3","1,963.7","3,213.5",281.1
"Flagstaff, AZ M.S.A.",,"136,324", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"66,802",263,0,45,38,180,"3,008",235,"2,706",67
,Total area actually reporting,100.0%,565,5,69,57,434,"4,585",528,"3,941",116
,"Rate per 100,000 inhabitants",,414.5,3.7,50.6,41.8,318.4,"3,363.3",387.3,"2,890.9",85.1
"Flint, MI M.S.A.",,"425,469", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"102,357","2,392",52,85,607,"1,648","6,618","3,628","2,220",770
,Total area actually reporting,94.4%,"3,511",64,226,911,"2,310","15,918","6,548","8,045","1,325"
,Estimated total,100.0%,"3,579",64,234,926,"2,355","16,535","6,684","8,478","1,373"
,"Rate per 100,000 inhabitants",,841.2,15.0,55.0,217.6,553.5,"3,886.3","1,571.0","1,992.6",322.7
"Florence, SC M.S.A.",,"207,960", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,488",351,3,16,76,256,"3,230",537,"2,530",163
,Total area actually reporting,100.0%,"1,369",14,60,219,"1,076","10,357","2,658","7,120",579
,"Rate per 100,000 inhabitants",,658.3,6.7,28.9,105.3,517.4,"4,980.3","1,278.1","3,423.7",278.4
"Florence-Muscle Shoals, AL M.S.A.1",,"147,845", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties1,,,,,,,,,,
,City of Florence1,"39,508",88,1,10,29,48,"1,592",394,"1,155",43
,City of Muscle Shoals1,"13,209",65,1,2,12,50,576,129,413,34
,Total area actually reporting,100.0%,337,3,22,65,247,"3,681",954,"2,564",163
,"Rate per 100,000 inhabitants",,227.9,2.0,14.9,44.0,167.1,"2,489.8",645.3,"1,734.2",110.3
"Fond du Lac, WI M.S.A.",,"102,076", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"43,208",146,2,37,9,98,"1,069",117,923,29
,Total area actually reporting,100.0%,184,2,44,13,125,"1,625",238,"1,323",64
,"Rate per 100,000 inhabitants",,180.3,2.0,43.1,12.7,122.5,"1,592.0",233.2,"1,296.1",62.7
"Fort Collins-Loveland, CO M.S.A.",,"304,849",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"146,494",420,3,56,46,315,"4,272",560,"3,553",159
,City of Loveland,"68,024",107,1,22,11,73,"1,725",209,"1,464",52
,Total area actually reporting,100.0%,653,4,96,62,491,"7,666","1,081","6,315",270
,"Rate per 100,000 inhabitants",,214.2,1.3,31.5,20.3,161.1,"2,514.7",354.6,"2,071.5",88.6
"Fort Smith, AR-OK M.S.A.",,"301,142", , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","86,861",601,5,63,100,433,"4,703","1,110","3,389",204
,Total area actually reporting,99.8%,"1,254",9,139,126,980,"8,396","2,313","5,695",388
,Estimated total,100.0%,"1,257",9,139,126,983,"8,423","2,322","5,712",389
,"Rate per 100,000 inhabitants",,417.4,3.0,46.2,41.8,326.4,"2,797.0",771.1,"1,896.8",129.2
"Fort Wayne, IN M.S.A.",,"418,383", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"254,987",785,24,94,310,357,"9,036","1,888","6,768",380
,Total area actually reporting,94.5%,912,26,117,338,431,"11,281","2,278","8,518",485
,Estimated total,100.0%,935,26,120,341,448,"11,612","2,369","8,736",507
,"Rate per 100,000 inhabitants",,223.5,6.2,28.7,81.5,107.1,"2,775.4",566.2,"2,088.0",121.2
"Fresno, CA M.S.A.",,"941,388", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"500,480","2,915",35,51,"1,020","1,809","25,421","5,713","14,928","4,780"
,Total area actually reporting,98.4%,"5,123",52,149,"1,363","3,559","40,398","9,850","23,527","7,021"
,Estimated total,100.0%,"5,172",52,152,"1,379","3,589","40,767","9,938","23,759","7,070"
,"Rate per 100,000 inhabitants",,549.4,5.5,16.1,146.5,381.2,"4,330.5","1,055.7","2,523.8",751.0
"Gadsden, AL M.S.A.1",,"104,933", ,,,,, ,,,
,Includes Etowah County1,,, ,,,,,,,
,City of Gadsden1,"37,033",299,5,25,76,193,"2,973",768,"1,967",238
,Total area actually reporting,100.0%,513,5,42,85,381,"4,624","1,266","2,996",362
,"Rate per 100,000 inhabitants",,488.9,4.8,40.0,81.0,363.1,"4,406.6","1,206.5","2,855.2",345.0
"Gainesville, FL M.S.A.",,"267,877", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"126,049",912,6,82,184,640,"5,356","1,063","4,003",290
,Total area actually reporting,100.0%,"1,603",13,124,283,"1,183","9,204","2,119","6,642",443
,"Rate per 100,000 inhabitants",,598.4,4.9,46.3,105.6,441.6,"3,435.9",791.0,"2,479.5",165.4
"Gainesville, GA M.S.A.",,"182,050", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"34,249",116,2,12,46,56,"1,582",332,"1,176",74
,Total area actually reporting,100.0%,284,5,33,82,164,"4,505","1,124","3,087",294
,"Rate per 100,000 inhabitants",,156.0,2.7,18.1,45.0,90.1,"2,474.6",617.4,"1,695.7",161.5
"Glens Falls, NY M.S.A.",,"129,502", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,766",44,0,2,5,37,410,68,331,11
,Total area actually reporting,100.0%,207,12,34,18,143,"2,135",404,"1,672",59
,"Rate per 100,000 inhabitants",,159.8,9.3,26.3,13.9,110.4,"1,648.6",312.0,"1,291.1",45.6
"Goldsboro, NC M.S.A.",,"124,178", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"36,899",343,7,2,91,243,"2,655",675,"1,840",140
,Total area actually reporting,97.7%,543,10,5,126,402,"5,070","1,625","3,163",282
,Estimated total,100.0%,551,10,6,128,407,"5,186","1,651","3,249",286
,"Rate per 100,000 inhabitants",,443.7,8.1,4.8,103.1,327.8,"4,176.3","1,329.5","2,616.4",230.3
"Grand Forks, ND-MN M.S.A.2",,"99,832", ,,,,, ,,,
,"Includes Polk County, MN2 and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","53,729",133,0,32,8,93,"1,533",306,"1,130",97
,Total area actually reporting,98.2%,,0,,12,137,"2,235",457,"1,653",125
,Estimated total,100.0%,,0,,12,140,"2,280",463,"1,689",128
,"Rate per 100,000 inhabitants",,,0.0,,12.0,140.2,"2,283.8",463.8,"1,691.8",128.2
"Grand Junction, CO M.S.A.",,"149,279", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"59,586",257,2,74,37,144,"2,588",379,"2,070",139
,Total area actually reporting,99.5%,449,3,92,52,302,"4,043",719,"3,103",221
,Estimated total,100.0%,450,3,92,52,303,"4,062",722,"3,118",222
,"Rate per 100,000 inhabitants",,301.4,2.0,61.6,34.8,203.0,"2,721.1",483.7,"2,088.7",148.7
"Grand Rapids-Wyoming, MI M.S.A.",,"773,576",,,,,,,,,
,"Includes Barry, Ionia, Kent, and Newaygo Counties",, ,,,,,,,,
,City of Grand Rapids,"187,898","1,395",10,81,464,840,"6,174","1,952","3,897",325
,City of Wyoming,"72,071",262,2,34,71,155,"1,591",487,960,144
,Total area actually reporting,98.9%,"2,646",20,328,662,"1,636","17,646","4,837","11,980",829
,Estimated total,100.0%,"2,672",20,331,668,"1,653","17,875","4,887","12,141",847
,"Rate per 100,000 inhabitants",,345.4,2.6,42.8,86.4,213.7,"2,310.7",631.7,"1,569.5",109.5
"Great Falls, MT M.S.A.1",,"82,049", ,,,,, ,,,
,Includes Cascade County1,,,,,,,,,,
,City of Great Falls1,"59,024",176,2,13,33,128,"2,699",303,"2,287",109
,Total area actually reporting,100.0%,204,2,16,33,153,"2,947",344,"2,488",115
,"Rate per 100,000 inhabitants",,248.6,2.4,19.5,40.2,186.5,"3,591.8",419.3,"3,032.3",140.2
"Greeley, CO M.S.A.",,"257,229", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"94,507",437,1,38,75,323,"3,118",593,"2,377",148
,Total area actually reporting,98.1%,741,6,65,99,571,"5,269","1,106","3,853",310
,Estimated total,100.0%,754,6,67,101,580,"5,401","1,126","3,955",320
,"Rate per 100,000 inhabitants",,293.1,2.3,26.0,39.3,225.5,"2,099.7",437.7,"1,537.5",124.4
"Green Bay, WI M.S.A.",,"307,576", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"104,510",373,2,54,48,269,"2,420",467,"1,852",101
,Total area actually reporting,100.0%,446,2,74,56,314,"5,464","1,031","4,237",196
,"Rate per 100,000 inhabitants",,145.0,0.7,24.1,18.2,102.1,"1,776.5",335.2,"1,377.5",63.7
"Greenville-Mauldin-Easley, SC M.S.A.",,"644,406", ,,,,, ,,,
,"Includes Greenville, Laurens, and Pickens Counties",,,,,,,,,,
,City of Greenville,"59,089",485,5,22,110,348,"3,495",732,"2,540",223
,City of Mauldin,"23,156",78,0,7,16,55,493,88,377,28
,City of Easley,"20,226",107,1,8,10,88,"1,056",164,837,55
,Total area actually reporting,100.0%,"3,478",42,217,533,"2,686","23,542","5,832","15,954","1,756"
,"Rate per 100,000 inhabitants",,539.7,6.5,33.7,82.7,416.8,"3,653.3",905.0,"2,475.8",272.5
"Gulfport-Biloxi, MS M.S.A.",,"249,760",,,,,,,,,
,"Includes Hancock, Harrison, and Stone Counties",, ,,,,,,,,
,City of Gulfport,"68,049",192,12,22,94,64,"3,605",944,"2,523",138
,City of Biloxi,"44,221",204,2,34,60,108,"2,341",766,"1,431",144
,Total area actually reporting,83.3%,518,20,71,185,242,"9,304","2,534","6,305",465
,Estimated total,100.0%,563,21,78,194,270,"10,007","2,768","6,721",518
,"Rate per 100,000 inhabitants",,225.4,8.4,31.2,77.7,108.1,"4,006.6","1,108.3","2,691.0",207.4
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"270,693",,,,,,,,,
,"Includes Washington County, MD and Berkeley and Morgan Counties, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,038",188,1,2,76,109,"1,510",382,"1,054",74
,"City of Martinsburg, WV","17,249",79,0,4,20,55,972,171,772,29
,Total area actually reporting,99.6%,713,9,34,146,524,"5,944","1,597","4,046",301
,Estimated total,100.0%,717,9,34,147,527,"5,978","1,603","4,073",302
,"Rate per 100,000 inhabitants",,264.9,3.3,12.6,54.3,194.7,"2,208.4",592.2,"1,504.7",111.6
"Hanford-Corcoran, CA M.S.A.",,"154,780",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"54,601",174,2,7,48,117,"1,447",286,"1,002",159
,City of Corcoran,"25,105",76,1,1,13,61,355,106,207,42
,Total area actually reporting,100.0%,542,8,30,97,407,"3,436",859,"2,188",389
,"Rate per 100,000 inhabitants",,350.2,5.2,19.4,62.7,263.0,"2,219.9",555.0,"1,413.6",251.3
"Harrisburg-Carlisle, PA M.S.A.",,"551,228",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,"49,686",697,8,62,382,245,"2,515",662,"1,605",248
,City of Carlisle,"18,742",58,0,8,26,24,464,53,405,6
,Total area actually reporting,99.0%,"1,680",20,180,578,902,"12,009","2,457","9,024",528
,Estimated total,100.0%,"1,691",20,181,581,909,"12,111","2,474","9,105",532
,"Rate per 100,000 inhabitants",,306.8,3.6,32.8,105.4,164.9,"2,197.1",448.8,"1,651.8",96.5
"Harrisonburg, VA M.S.A.",,"126,724", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"49,498",99,1,13,19,66,"1,060",158,866,36
,Total area actually reporting,100.0%,150,2,34,21,93,"1,663",266,"1,325",72
,"Rate per 100,000 inhabitants",,118.4,1.6,26.8,16.6,73.4,"1,312.3",209.9,"1,045.6",56.8
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,022,173",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"125,006","1,639",27,55,602,955,"5,502","1,271","3,372",859
,City of West Hartford,"63,385",68,1,4,46,17,"1,517",231,"1,180",106
,City of East Hartford,"51,347",173,0,22,79,72,"1,401",325,938,138
,City of Middletown,"47,736",77,0,10,30,37,"1,023",143,820,60
,Total area actually reporting,100.0%,"2,999",36,201,"1,134","1,628","24,976","5,000","17,926","2,050"
,"Rate per 100,000 inhabitants",,293.4,3.5,19.7,110.9,159.3,"2,443.4",489.2,"1,753.7",200.6
"Hickory-Lenoir-Morganton, NC M.S.A.",,"370,132",,,,,,,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",,,, ,,,,,,
,City of Hickory,"40,517",238,5,11,75,147,"2,500",536,"1,850",114
,City of Lenoir,"18,459",48,1,1,15,31,871,236,593,42
,City of Morganton,"17,133",41,0,5,7,29,628,135,465,28
,Total area actually reporting,99.5%,818,22,50,188,558,"12,864","4,155","8,164",545
,Estimated total,100.0%,823,22,50,189,562,"12,944","4,173","8,223",548
,"Rate per 100,000 inhabitants",,222.4,5.9,13.5,51.1,151.8,"3,497.1","1,127.4","2,221.6",148.1
"Hinesville-Fort Stewart, GA M.S.A.",,"78,942",,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,"33,877",155,2,12,41,100,"1,605",506,"1,042",57
,Total area actually reporting,83.6%,231,3,13,47,168,"2,162",710,"1,355",97
,Estimated total,100.0%,269,4,16,60,189,"2,552",829,"1,589",134
,"Rate per 100,000 inhabitants",,340.8,5.1,20.3,76.0,239.4,"3,232.8","1,050.1","2,012.9",169.7
"Holland-Grand Haven, MI M.S.A.",,"263,602",,,,,,,,,
,Includes Ottawa County,, ,,,,,,,,
,City of Holland,"26,015",93,0,19,8,66,852,174,664,14
,City of Grand Haven,"10,404",19,0,12,1,6,292,39,252,1
,Total area actually reporting,100.0%,401,2,127,26,246,"4,842",967,"3,764",111
,"Rate per 100,000 inhabitants",,152.1,0.8,48.2,9.9,93.3,"1,836.9",366.8,"1,427.9",42.1
"Hot Springs, AR M.S.A.",,"96,750", ,,,,, ,,,
,Includes Garland County,,, ,,,,,,,
,City of Hot Springs,"35,459",328,2,22,47,257,"2,847",589,"2,130",128
,Total area actually reporting,100.0%,496,4,51,67,374,"5,309","1,758","3,263",288
,"Rate per 100,000 inhabitants",,512.7,4.1,52.7,69.3,386.6,"5,487.3","1,817.1","3,372.6",297.7
"Houma-Bayou Cane-Thibodaux, LA M.S.A.",,"210,082",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"34,035",212,1,17,76,118,"1,550",268,"1,234",48
,City of Thibodaux,"14,699",70,1,8,8,53,588,102,473,13
,Total area actually reporting,100.0%,661,6,52,147,456,"6,968","1,714","4,944",310
,"Rate per 100,000 inhabitants",,314.6,2.9,24.8,70.0,217.1,"3,316.8",815.9,"2,353.4",147.6
"Houston-Sugar Land-Baytown, TX M.S.A.1",,"6,071,933",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties",,,,,,,,,,
,City of Houston,"2,143,628","20,892",198,771,"8,054","11,869","108,336","27,459","68,596","12,281"
,City of Sugar Land,"80,475",96,1,5,29,61,"1,429",220,"1,176",33
,City of Baytown,"73,313",212,1,13,79,119,"3,555",700,"2,628",227
,City of Galveston1,"48,748",302,4,58,88,152,"2,291",453,"1,697",141
,City of Conroe,"57,390",194,2,12,60,120,"2,086",439,"1,550",97
,Total area actually reporting,99.9%,"33,443",330,"1,628","11,530","19,955","217,173","54,691","141,872","20,610"
,Estimated total,100.0%,"33,444",330,"1,628","11,530","19,956","217,186","54,694","141,881","20,611"
,"Rate per 100,000 inhabitants",,550.8,5.4,26.8,189.9,328.7,"3,576.9",900.8,"2,336.7",339.4
"Huntsville, AL M.S.A.1",,"419,602", ,,,,, ,,,
,Includes Limestone and Madison Counties1,,,,,,,,,,
,City of Huntsville1,"180,972","1,518",13,51,405,"1,049","9,749","2,677","6,306",766
,Total area actually reporting,100.0%,"2,106",19,112,498,"1,477","14,721","4,347","9,323","1,051"
,"Rate per 100,000 inhabitants",,501.9,4.5,26.7,118.7,352.0,"3,508.3","1,036.0","2,221.9",250.5
"Idaho Falls, ID M.S.A.",,"131,886", ,,,,, ,,,
,Includes Bonneville and Jefferson Counties,,,,,,,,,,
,City of Idaho Falls,"57,512",148,1,27,9,111,"1,582",289,"1,203",90
,Total area actually reporting,100.0%,255,6,38,12,199,"2,718",571,"2,008",139
,"Rate per 100,000 inhabitants",,193.3,4.5,28.8,9.1,150.9,"2,060.9",432.9,"1,522.5",105.4
"Indianapolis-Carmel, IN M.S.A.",,"1,765,211", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,"833,024","9,170",96,435,"3,372","5,267","46,967","15,122","26,588","5,257"
,City of Carmel,"79,596",17,1,8,2,6,831,69,729,33
,Total area actually reporting,86.3%,"9,965",101,530,"3,525","5,809","61,286","17,124","38,233","5,929"
,Estimated total,100.0%,"10,348",107,569,"3,599","6,073","66,511","18,232","42,016","6,263"
,"Rate per 100,000 inhabitants",,586.2,6.1,32.2,203.9,344.0,"3,767.9","1,032.9","2,380.2",354.8
"Iowa City, IA M.S.A.",,"153,385", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"68,217",163,0,24,18,121,"1,580",326,"1,207",47
,Total area actually reporting,100.0%,368,3,49,27,289,"2,810",568,"2,145",97
,"Rate per 100,000 inhabitants",,239.9,2.0,31.9,17.6,188.4,"1,832.0",370.3,"1,398.4",63.2
"Jackson, MS M.S.A.",,"541,099", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties",,,,,,,,,,
,City of Jackson,"174,170","1,620",52,126,808,634,"12,811","4,722","6,632","1,457"
,Total area actually reporting,90.3%,"2,039",63,165,915,896,"18,310","6,133","10,371","1,806"
,Estimated total,100.0%,"2,149",66,175,940,968,"19,594","6,492","11,228","1,874"
,"Rate per 100,000 inhabitants",,397.2,12.2,32.3,173.7,178.9,"3,621.1","1,199.8","2,075.0",346.3
"Jackson, TN M.S.A.",,"116,467", ,,,,, ,,,
,Includes Chester and Madison Counties,,,,,,,,,,
,City of Jackson,"65,799",675,6,43,156,470,"3,746","1,126","2,397",223
,Total area actually reporting,100.0%,866,9,61,170,626,"4,723","1,455","2,966",302
,"Rate per 100,000 inhabitants",,743.6,7.7,52.4,146.0,537.5,"4,055.2","1,249.3","2,546.6",259.3
"Jacksonville, FL M.S.A.",,"1,363,935", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"834,429","5,182",71,350,"1,578","3,183","36,113","8,518","25,733","1,862"
,Total area actually reporting,100.0%,"7,141",87,439,"1,870","4,745","50,233","11,429","36,366","2,438"
,"Rate per 100,000 inhabitants",,523.6,6.4,32.2,137.1,347.9,"3,682.9",837.9,"2,666.3",178.7
"Jacksonville, NC M.S.A.",,"180,026", ,,,,, ,,,
,Includes Onslow County,,, ,,,,,,,
,City of Jacksonville,"71,034",171,1,25,24,121,"2,034",515,"1,428",91
,Total area actually reporting,100.0%,426,4,66,62,294,"5,420","1,524","3,621",275
,"Rate per 100,000 inhabitants",,236.6,2.2,36.7,34.4,163.3,"3,010.7",846.5,"2,011.4",152.8
"Janesville, WI M.S.A.",,"161,030", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,852",169,2,20,32,115,"2,399",407,"1,948",44
,Total area actually reporting,100.0%,393,4,39,96,254,"4,877","1,086","3,656",135
,"Rate per 100,000 inhabitants",,244.1,2.5,24.2,59.6,157.7,"3,028.6",674.4,"2,270.4",83.8
"Jefferson City, MO M.S.A.",,"150,351", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,"43,236",245,1,9,58,177,"1,613",282,"1,305",26
,Total area actually reporting,100.0%,473,7,22,70,374,"3,720",778,"2,807",135
,"Rate per 100,000 inhabitants",,314.6,4.7,14.6,46.6,248.8,"2,474.2",517.5,"1,867.0",89.8
"Johnson City, TN M.S.A.",,"200,508", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"63,722",278,3,7,59,209,"2,958",682,"2,187",89
,Total area actually reporting,100.0%,650,6,19,87,538,"6,065","1,515","4,296",254
,"Rate per 100,000 inhabitants",,324.2,3.0,9.5,43.4,268.3,"3,024.8",755.6,"2,142.6",126.7
"Johnstown, PA M.S.A.",,"144,137", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"22,572",151,3,7,60,81,961,358,572,31
,Total area actually reporting,96.6%,369,4,50,85,230,"2,877",752,"2,042",83
,Estimated total,100.0%,379,4,51,88,236,"2,971",767,"2,117",87
,"Rate per 100,000 inhabitants",,262.9,2.8,35.4,61.1,163.7,"2,061.2",532.1,"1,468.7",60.4
"Jonesboro, AR M.S.A.",,"121,942", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"67,772",333,1,44,81,207,"3,347","1,276","1,968",103
,Total area actually reporting,97.2%,450,4,57,93,296,"4,664","1,706","2,820",138
,Estimated total,100.0%,467,4,59,95,309,"4,795","1,750","2,902",143
,"Rate per 100,000 inhabitants",,383.0,3.3,48.4,77.9,253.4,"3,932.2","1,435.1","2,379.8",117.3
"Joplin, MO M.S.A.",,"176,156", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"50,332",249,2,33,54,160,"3,533",692,"2,562",279
,Total area actually reporting,100.0%,552,3,66,74,409,"6,483","1,352","4,649",482
,"Rate per 100,000 inhabitants",,313.4,1.7,37.5,42.0,232.2,"3,680.3",767.5,"2,639.1",273.6
"Kankakee-Bradley, IL M.S.A.",,"113,791",,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,"27,620",253,4,31,110,108,"1,303",391,859,53
,City of Bradley,"15,943",67,0,12,10,45,763,93,661,9
,Total area actually reporting,89.2%,412,4,56,133,219,"3,020",702,"2,228",90
,Estimated total,100.0%,440,4,59,141,236,"3,291",754,"2,435",102
,"Rate per 100,000 inhabitants",,386.7,3.5,51.8,123.9,207.4,"2,892.1",662.6,"2,139.9",89.6
"Kansas City, MO-KS M.S.A.1",,"2,045,034",,,,,,,,,
