Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2014",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Total area actually reporting,100.0%,919,10,101,248,560,"10,282","1,888","7,704",690
,"Rate per 100,000 inhabitants",,291.6,3.2,32.0,78.7,177.7,"3,262.3",599.0,"2,444.3",218.9
"Fairbanks, AK M.S.A.",,"34,712", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,477",214,4,39,52,119,"1,247",155,969,123
,Total area actually reporting,100.0%,225,4,38,55,128,"1,391",179,"1,082",130
,"Rate per 100,000 inhabitants",,648.2,11.5,109.5,158.4,368.7,"4,007.3",515.7,"3,117.1",374.5
"Fargo, ND-MN M.S.A.",,"227,885", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","115,686",410,4,80,76,250,"3,042",539,"2,304",199
,Total area actually reporting,100.0%,574,5,118,94,357,"4,958",898,"3,720",340
,"Rate per 100,000 inhabitants",,251.9,2.2,51.8,41.2,156.7,"2,175.7",394.1,"1,632.4",149.2
"Farmington, NM M.S.A.",,"125,309", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"45,289",301,2,56,52,191,"1,521",307,"1,116",98
,Total area actually reporting,100.0%,670,5,101,57,507,"2,485",570,"1,750",165
,"Rate per 100,000 inhabitants",,534.7,4.0,80.6,45.5,404.6,"1,983.1",454.9,"1,396.5",131.7
"Fayetteville, NC M.S.A.",,"380,427", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"205,306","1,039",19,72,470,478,"10,524","2,510","7,427",587
,Total area actually reporting,100.0%,"1,745",37,100,649,959,"16,761","4,484","11,436",841
,"Rate per 100,000 inhabitants",,458.7,9.7,26.3,170.6,252.1,"4,405.8","1,178.7","3,006.1",221.1
"Flagstaff, AZ M.S.A.",,"138,202", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"69,490",275,3,30,46,196,"3,020",215,"2,722",83
,Total area actually reporting,100.0%,481,8,67,53,353,"4,401",478,"3,799",124
,"Rate per 100,000 inhabitants",,348.0,5.8,48.5,38.3,255.4,"3,184.5",345.9,"2,748.9",89.7
"Flint, MI M.S.A.",,"413,377", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"99,166","1,694",28,115,277,"1,274","3,891","1,677","1,944",270
,Total area actually reporting,99.9%,"2,695",32,289,484,"1,890","11,293","3,637","7,096",560
,Estimated total,100.0%,"2,696",32,289,484,"1,891","11,301","3,638","7,102",561
,"Rate per 100,000 inhabitants",,652.2,7.7,69.9,117.1,457.5,"2,733.8",880.1,"1,718.0",135.7
"Florence, SC M.S.A.",,"207,327", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,951",332,2,18,60,252,"2,800",481,"2,196",123
,Total area actually reporting,98.9%,"1,071",11,60,190,810,"9,086","2,206","6,393",487
,Estimated total,100.0%,"1,082",11,61,192,818,"9,180","2,220","6,468",492
,"Rate per 100,000 inhabitants",,521.9,5.3,29.4,92.6,394.5,"4,427.8","1,070.8","3,119.7",237.3
"Florence-Muscle Shoals, AL M.S.A.",,"147,427", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"40,236",202,1,25,44,132,"1,476",250,"1,137",89
,City of Muscle Shoals,"13,584",45,0,10,10,25,786,138,596,52
,Total area actually reporting,99.8%,501,3,70,75,353,"4,128",922,"2,888",318
,Estimated total,100.0%,502,3,70,75,354,"4,139",924,"2,896",319
,"Rate per 100,000 inhabitants",,340.5,2.0,47.5,50.9,240.1,"2,807.5",626.8,"1,964.4",216.4
"Fond du Lac, WI M.S.A.",,"101,856", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,953",141,1,30,12,98,"1,203",100,"1,075",28
,Total area actually reporting,100.0%,203,2,42,15,144,"1,597",188,"1,362",47
,"Rate per 100,000 inhabitants",,199.3,2.0,41.2,14.7,141.4,"1,567.9",184.6,"1,337.2",46.1
"Fort Collins, CO M.S.A.",,"321,817",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"154,015",329,1,41,36,251,"3,782",489,"3,142",151
,Total area actually reporting,100.0%,617,4,114,53,446,"6,927",942,"5,668",317
,"Rate per 100,000 inhabitants",,191.7,1.2,35.4,16.5,138.6,"2,152.5",292.7,"1,761.2",98.5
"Fort Smith, AR-OK M.S.A.",,"279,713", , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","87,989",663,4,74,106,479,"4,672",866,"3,625",181
,Total area actually reporting,99.7%,"1,186",6,146,131,903,"8,656","1,950","6,303",403
,Estimated total,100.0%,"1,188",6,146,131,905,"8,681","1,956","6,321",404
,"Rate per 100,000 inhabitants",,424.7,2.1,52.2,46.8,323.5,"3,103.5",699.3,"2,259.8",144.4
"Fort Wayne, IN M.S.A.3",,"426,293", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"257,172",816,12,104,347,353,"8,352","1,765","6,223",364
,Total area actually reporting,94.7%,956,13,121,394,428,"10,186","2,069","7,652",465
,Estimated total,100.0%,979,13,124,397,445,"10,430","2,128","7,817",485
,"Rate per 100,000 inhabitants",,229.7,3.0,29.1,93.1,104.4,"2,446.7",499.2,"1,833.7",113.8
"Fresno, CA M.S.A.",,"966,353", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"513,187","2,382",47,53,781,"1,501","21,101","4,721","13,277","3,103"
,Total area actually reporting,100.0%,"4,548",59,183,"1,040","3,266","32,598","7,838","19,914","4,846"
,"Rate per 100,000 inhabitants",,470.6,6.1,18.9,107.6,338.0,"3,373.3",811.1,"2,060.7",501.5
"Gadsden, AL M.S.A.4",,"103,851", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"36,455",358,3,31,89,235,"2,806",733,"1,879",194
,Total area actually reporting,99.3%,512,3,71,95,343,,"1,161",,281
,Estimated total,100.0%,515,3,71,96,345,,"1,166",,283
,"Rate per 100,000 inhabitants",,495.9,2.9,68.4,92.4,332.2,,"1,122.8",,272.5
"Gainesville, FL M.S.A.",,"274,003", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"128,185",817,2,102,150,563,"4,580",594,"3,688",298
,Total area actually reporting,99.6%,"1,808",11,193,279,"1,325","8,800","1,677","6,649",474
,Estimated total,100.0%,"1,812",11,193,280,"1,328","8,833","1,683","6,674",476
,"Rate per 100,000 inhabitants",,661.3,4.0,70.4,102.2,484.7,"3,223.7",614.2,"2,435.7",173.7
"Gainesville, GA M.S.A.3",,"190,345", ,,,,, ,,,
,Includes Hall County3,,,,,,,,,,
,City of Gainesville3,"35,967",131,2,16,33,80,"1,492",214,"1,202",76
,Total area actually reporting,100.0%,336,7,31,73,225,"3,717",852,"2,554",311
,"Rate per 100,000 inhabitants",,176.5,3.7,16.3,38.4,118.2,"1,952.8",447.6,"1,341.8",163.4
"Gettysburg, PA M.S.A.",,"101,545", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,667",29,0,6,2,21,130,17,112,1
,Total area actually reporting,99.4%,103,0,20,10,73,"1,118",221,864,33
,Estimated total,100.0%,104,0,20,10,74,"1,129",223,873,33
,"Rate per 100,000 inhabitants",,102.4,0.0,19.7,9.8,72.9,"1,111.8",219.6,859.7,32.5
"Glens Falls, NY M.S.A.",,"128,487", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,518",25,0,8,4,13,338,39,293,6
,Total area actually reporting,100.0%,143,0,60,10,73,"1,787",273,"1,481",33
,"Rate per 100,000 inhabitants",,111.3,0.0,46.7,7.8,56.8,"1,390.8",212.5,"1,152.6",25.7
"Goldsboro, NC M.S.A.",,"125,267", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"36,481",328,6,1,74,247,"2,209",462,"1,655",92
,Total area actually reporting,97.7%,455,7,2,104,342,"4,153","1,185","2,761",207
,Estimated total,100.0%,462,7,2,106,347,"4,243","1,203","2,830",210
,"Rate per 100,000 inhabitants",,368.8,5.6,1.6,84.6,277.0,"3,387.2",960.3,"2,259.2",167.6
"Grand Forks, ND-MN M.S.A.",,"101,602", ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","55,438",127,1,24,15,87,"1,545",246,"1,208",91
,Total area actually reporting,100.0%,210,1,52,15,142,"2,222",392,"1,694",136
,"Rate per 100,000 inhabitants",,206.7,1.0,51.2,14.8,139.8,"2,187.0",385.8,"1,667.3",133.9
"Grand Island, NE M.S.A.",,"84,623", ,,,,, ,,,
,"Includes Hall, Hamilton, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"50,999",131,0,34,8,89,"2,223",403,"1,719",101
,Total area actually reporting,92.5%,164,0,37,8,119,"2,604",540,"1,937",127
,Estimated total,100.0%,171,0,39,9,123,"2,689",555,"2,002",132
,"Rate per 100,000 inhabitants",,202.1,0.0,46.1,10.6,145.4,"3,177.6",655.9,"2,365.8",156.0
"Grand Junction, CO M.S.A.",,"148,670", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"59,972",286,1,64,42,179,"2,530",265,"2,164",101
,Total area actually reporting,99.5%,518,3,110,57,348,"3,874",541,"3,118",215
,Estimated total,100.0%,519,3,110,57,349,"3,891",543,"3,132",216
,"Rate per 100,000 inhabitants",,349.1,2.0,74.0,38.3,234.7,"2,617.2",365.2,"2,106.7",145.3
"Grand Rapids-Wyoming, MI M.S.A.4",,"1,024,499", ,,,,, ,,,
,"Includes Barry, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids4,"193,385","1,381",7,86,426,862,,"1,126","3,755",
,City of Wyoming,"74,603",289,5,49,41,194,"1,518",313,"1,066",139
,Total area actually reporting,99.2%,"3,196",22,665,608,"1,901",,"3,658","13,809",
,Estimated total,100.0%,"3,217",22,669,612,"1,914",,"3,686","13,931",
,"Rate per 100,000 inhabitants",,314.0,2.1,65.3,59.7,186.8,,359.8,"1,359.8",
"Great Falls, MT M.S.A.",,"82,773", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"59,501",162,0,28,21,113,"2,561",314,"2,130",117
,Total area actually reporting,100.0%,205,0,37,23,145,"2,722",353,"2,249",120
,"Rate per 100,000 inhabitants",,247.7,0.0,44.7,27.8,175.2,"3,288.5",426.5,"2,717.1",145.0
"Greeley, CO M.S.A.",,"275,436", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"97,406",485,1,74,61,349,"3,292",499,"2,593",200
,Total area actually reporting,97.7%,778,5,114,75,584,"5,413",936,"4,126",351
,Estimated total,100.0%,791,5,117,77,592,"5,574",957,"4,254",363
,"Rate per 100,000 inhabitants",,287.2,1.8,42.5,28.0,214.9,"2,023.7",347.4,"1,544.5",131.8
"Green Bay, WI M.S.A.4",,"313,920", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"104,979",520,3,51,63,403,"2,310",406,"1,819",85
,Total area actually reporting,84.1%,641,3,66,71,501,,684,,128
,Estimated total,100.0%,687,3,72,81,531,,796,,155
,"Rate per 100,000 inhabitants",,218.8,1.0,22.9,25.8,169.2,,253.6,,49.4
"Greensboro-High Point, NC M.S.A.",,"746,709", ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties",,,,,,,,,,
,City of Greensboro,"282,203","1,346",23,52,487,784,"10,160","2,508","7,119",533
,City of High Point,"108,540",505,4,23,142,336,"3,863",998,"2,628",237
,Total area actually reporting,99.8%,"2,393",33,106,740,"1,514","22,855","6,100","15,698","1,057"
,Estimated total,100.0%,"2,396",33,106,741,"1,516","22,895","6,108","15,729","1,058"
,"Rate per 100,000 inhabitants",,320.9,4.4,14.2,99.2,203.0,"3,066.1",818.0,"2,106.4",141.7
"Greenville, NC M.S.A.",,"176,019", ,,,,, ,,,
,Includes Pitt County,,,,,,,,,,
,City of Greenville,"90,198",468,4,13,144,307,"3,685",800,"2,771",114
,Total area actually reporting,98.3%,720,6,28,191,495,"5,405","1,313","3,916",176
,Estimated total,100.0%,728,6,29,193,500,"5,498","1,332","3,987",179
,"Rate per 100,000 inhabitants",,413.6,3.4,16.5,109.6,284.1,"3,123.5",756.7,"2,265.1",101.7
"Hammond, LA M.S.A.",,"126,481",,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,"20,416",240,1,7,54,178,"2,152",782,"1,368",2
,Total area actually reporting,98.4%,954,10,51,122,771,"6,629","2,209","4,124",296
,Estimated total,100.0%,963,10,52,123,778,"6,711","2,224","4,186",301
,"Rate per 100,000 inhabitants",,761.4,7.9,41.1,97.2,615.1,"5,305.9","1,758.4","3,309.6",238.0
"Hanford-Corcoran, CA M.S.A.",,"151,437",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"54,824",305,1,27,31,246,"1,857",259,"1,442",156
,City of Corcoran,"23,057",86,0,5,5,76,292,105,168,19
,Total area actually reporting,100.0%,696,7,65,72,552,"3,475",702,"2,362",411
,"Rate per 100,000 inhabitants",,459.6,4.6,42.9,47.5,364.5,"2,294.7",463.6,"1,559.7",271.4
"Harrisburg-Carlisle, PA M.S.A.",,"559,478",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,"49,109",547,17,42,272,216,"1,828",477,"1,214",137
,City of Carlisle,"18,974",37,0,7,13,17,526,50,472,4
,Total area actually reporting,99.7%,"1,328",22,202,458,646,"10,616","1,820","8,462",334
,Estimated total,100.0%,"1,331",22,202,459,648,"10,648","1,825","8,488",335
,"Rate per 100,000 inhabitants",,237.9,3.9,36.1,82.0,115.8,"1,903.2",326.2,"1,517.1",59.9
"Harrisonburg, VA M.S.A.",,"130,160", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"52,026",103,0,21,11,71,"1,150",228,894,28
,Total area actually reporting,100.0%,183,3,42,17,121,"1,842",409,"1,379",54
,"Rate per 100,000 inhabitants",,140.6,2.3,32.3,13.1,93.0,"1,415.2",314.2,"1,059.5",41.5
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,024,517",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"124,943","1,380",19,45,502,814,"5,280",888,"3,642",750
,City of West Hartford,"63,360",49,1,1,37,10,"1,395",200,"1,129",66
,City of East Hartford,"51,185",131,2,24,55,50,"1,220",283,800,137
,City of Middletown,"47,256",78,0,4,23,51,859,96,699,64
,Total area actually reporting,100.0%,"2,584",39,248,963,"1,334","22,869","3,991","17,057","1,821"
,"Rate per 100,000 inhabitants",,252.2,3.8,24.2,94.0,130.2,"2,232.2",389.5,"1,664.9",177.7
"Hickory-Lenoir-Morganton, NC M.S.A.",,"363,897",,,,,,,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",, ,,,,,,,,
,City of Hickory,"40,435",158,0,20,38,100,"1,895",357,"1,442",96
,City of Lenoir,"17,994",43,1,1,13,28,783,210,541,32
,City of Morganton,"16,786",43,3,3,11,26,645,147,479,19
,Total area actually reporting,99.5%,701,17,60,142,482,"9,935","3,028","6,453",454
,Estimated total,100.0%,705,17,60,143,485,"9,995","3,040","6,499",456
,"Rate per 100,000 inhabitants",,193.7,4.7,16.5,39.3,133.3,"2,746.7",835.4,"1,785.9",125.3
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",,"202,116",,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,"13,755",33,1,4,9,19,461,79,360,22
,City of Beaufort,"13,090",97,0,5,27,65,903,155,716,32
,Total area actually reporting,99.9%,880,7,54,145,674,"5,265","1,151","3,841",273
,Estimated total,100.0%,880,7,54,145,674,"5,270","1,152","3,845",273
,"Rate per 100,000 inhabitants",,435.4,3.5,26.7,71.7,333.5,"2,607.4",570.0,"1,902.4",135.1
"Hinesville, GA M.S.A.3",,"81,944",,,,,,,,,
,Includes Liberty and Long Counties3,, ,,,,,,,,
,City of Hinesville3,"34,525",162,1,6,35,120,"1,426",347,"1,040",39
,Total area actually reporting,97.5%,275,5,11,52,207,"2,123",618,"1,415",90
,Estimated total,100.0%,284,5,12,55,212,"2,210",633,"1,481",96
,"Rate per 100,000 inhabitants",,346.6,6.1,14.6,67.1,258.7,"2,697.0",772.5,"1,807.3",117.2
"Homosassa Springs, FL M.S.A.",,"139,880",,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,97.8%,727,7,74,76,570,"3,625",798,"2,606",221
,Estimated total,100.0%,739,7,75,79,578,"3,726",817,"2,682",227
,"Rate per 100,000 inhabitants",,528.3,5.0,53.6,56.5,413.2,"2,663.7",584.1,"1,917.4",162.3
"Houma-Thibodaux, LA M.S.A.",,"210,453",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"34,129",211,4,12,66,129,"1,390",191,"1,136",63
,City of Thibodaux,"14,565",79,1,4,9,65,612,65,540,7
,Total area actually reporting,100.0%,510,9,24,122,355,"6,051","1,084","4,766",201
,"Rate per 100,000 inhabitants",,242.3,4.3,11.4,58.0,168.7,"2,875.2",515.1,"2,264.6",95.5
"Houston-The Woodlands-Sugar Land, TX M.S.A.",,"6,454,938",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",,,,,,,,,,
,City of Houston,"2,219,933","22,008",242,812,"10,186","10,768","104,197","21,629","68,125","14,443"
,City of Sugar Land,"85,055",99,1,6,36,56,"1,400",220,"1,132",48
,City of Baytown,"76,253",241,5,32,84,120,"3,157",638,"2,091",428
,City of Conroe,"64,446",206,2,28,71,105,"2,211",431,"1,672",108
,Total area actually reporting,99.9%,"36,620",377,"2,144","14,988","19,111","207,029","44,440","137,615","24,974"
,Estimated total,100.0%,"36,625",377,"2,145","14,989","19,114","207,083","44,449","137,656","24,978"
,"Rate per 100,000 inhabitants",,567.4,5.8,33.2,232.2,296.1,"3,208.1",688.6,"2,132.6",387.0
"Huntsville, AL M.S.A.",,"440,192", ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,"187,624","1,467",15,104,390,958,"9,161","1,912","6,521",728
,Total area actually reporting,100.0%,"2,103",23,184,475,"1,421","13,972","3,054","9,923",995
,"Rate per 100,000 inhabitants",,477.7,5.2,41.8,107.9,322.8,"3,174.1",693.8,"2,254.2",226.0
"Idaho Falls, ID M.S.A.",,"138,893", ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,"58,606",126,0,36,7,83,"1,502",239,"1,164",99
,Total area actually reporting,100.0%,215,0,48,9,158,"2,450",432,"1,862",156
,"Rate per 100,000 inhabitants",,154.8,0.0,34.6,6.5,113.8,"1,763.9",311.0,"1,340.6",112.3
"Indianapolis-Carmel-Anderson, IN M.S.A.3",,"1,971,378", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis3,"858,238","10,768",136,573,"3,808","6,251","41,394","12,125","24,090","5,179"
,City of Carmel,"87,555",12,1,2,6,3,816,72,689,55
,City of Anderson,"55,545",190,1,59,73,57,"2,490",553,"1,739",198
,Total area actually reporting,86.6%,"12,229",148,723,"4,029","7,329","58,483","14,591","37,520","6,372"
,Estimated total,100.0%,"12,742",155,763,"4,129","7,695","63,940","15,446","41,756","6,738"
,"Rate per 100,000 inhabitants",,646.3,7.9,38.7,209.4,390.3,"3,243.4",783.5,"2,118.1",341.8
"Iowa City, IA M.S.A.",,"163,631", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"72,522",213,1,31,51,130,"1,756",269,"1,411",76
,Total area actually reporting,100.0%,425,1,69,70,285,"2,965",463,"2,375",127
,"Rate per 100,000 inhabitants",,259.7,0.6,42.2,42.8,174.2,"1,812.0",283.0,"1,451.4",77.6
"Jackson, MI M.S.A.",,"160,565", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,"33,404",299,3,40,53,203,"1,428",232,"1,157",39
,Total area actually reporting,98.7%,656,10,122,79,445,"3,398",596,"2,710",92
,Estimated total,100.0%,662,10,123,80,449,"3,443",604,"2,744",95
,"Rate per 100,000 inhabitants",,412.3,6.2,76.6,49.8,279.6,"2,144.3",376.2,"1,709.0",59.2
"Jackson, MS M.S.A.",,"577,909", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, Simpson, and Yazoo Counties",,,,,,,,,,
,City of Jackson,"172,376","1,593",61,117,801,614,"10,382","2,952","6,303","1,127"
,Total area actually reporting,77.3%,"1,868",67,140,863,798,"14,263","3,850","9,075","1,338"
,Estimated total,100.0%,"2,103",74,157,918,954,"17,330","4,522","11,331","1,477"
,"Rate per 100,000 inhabitants",,363.9,12.8,27.2,158.8,165.1,"2,998.7",782.5,"1,960.7",255.6
"Jackson, TN M.S.A.",,"131,143", ,,,,, ,,,
,"Includes Chester, Crockett, and Madison Counties",,,,,,,,,,
,City of Jackson,"67,869",734,10,34,131,559,"3,063",646,"2,244",173
,Total area actually reporting,100.0%,991,12,44,148,787,"4,114",975,"2,878",261
,"Rate per 100,000 inhabitants",,755.7,9.2,33.6,112.9,600.1,"3,137.0",743.5,"2,194.6",199.0
"Jacksonville, FL M.S.A.",,"1,417,629", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"856,021","5,853",96,479,"1,419","3,859","33,732","6,806","24,945","1,981"
,Total area actually reporting,100.0%,"7,955",108,656,"1,723","5,468","48,665","9,575","36,524","2,566"
,"Rate per 100,000 inhabitants",,561.1,7.6,46.3,121.5,385.7,"3,432.8",675.4,"2,576.4",181.0
"Janesville-Beloit, WI M.S.A.",,"160,897", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,885",162,1,23,28,110,"2,076",303,"1,726",47
,City of Beloit,"36,872",148,8,15,53,72,"1,239",229,967,43
,Total area actually reporting,100.0%,375,9,52,90,224,"4,028",712,"3,193",123
,"Rate per 100,000 inhabitants",,233.1,5.6,32.3,55.9,139.2,"2,503.5",442.5,"1,984.5",76.4
"Jefferson City, MO M.S.A.",,"150,805", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,"43,372",133,1,6,25,101,"1,331",166,"1,134",31
,Total area actually reporting,100.0%,356,6,23,46,281,"2,946",537,"2,276",133
,"Rate per 100,000 inhabitants",,236.1,4.0,15.3,30.5,186.3,"1,953.5",356.1,"1,509.2",88.2
"Johnson City, TN M.S.A.",,"202,004", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"65,541",242,4,15,38,185,"2,367",383,"1,886",98
,Total area actually reporting,100.0%,583,6,34,53,490,"4,980","1,044","3,717",219
,"Rate per 100,000 inhabitants",,288.6,3.0,16.8,26.2,242.6,"2,465.3",516.8,"1,840.1",108.4
"Johnstown, PA M.S.A.",,"139,742", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"21,755",125,6,6,32,81,808,287,502,19
,Total area actually reporting,98.9%,228,7,14,48,159,"2,393",514,"1,832",47
,Estimated total,100.0%,231,7,14,49,161,"2,418",518,"1,852",48
,"Rate per 100,000 inhabitants",,165.3,5.0,10.0,35.1,115.2,"1,730.3",370.7,"1,325.3",34.3
"Jonesboro, AR M.S.A.",,"126,640", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"72,569",380,9,55,61,255,"3,172",681,"2,409",82
,Total area actually reporting,98.0%,511,9,81,67,354,"4,398","1,000","3,291",107
,Estimated total,100.0%,522,9,83,68,362,"4,485","1,021","3,353",111
,"Rate per 100,000 inhabitants",,412.2,7.1,65.5,53.7,285.8,"3,541.5",806.2,"2,647.7",87.7
"Joplin, MO M.S.A.",,"175,290", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"50,751",261,3,48,62,148,"3,948",611,"3,042",295
,Total area actually reporting,100.0%,576,4,89,84,399,"7,469","1,324","5,583",562
,"Rate per 100,000 inhabitants",,328.6,2.3,50.8,47.9,227.6,"4,260.9",755.3,"3,185.0",320.6
"Kahului-Wailuku-Lahaina, HI M.S.A.",,"162,229",,,,,,,,,
,Includes Kalawao and Maui Counties,, ,,,,,,,,
,Total area actually reporting,100.0%,508,4,88,80,336,"5,800","1,046","4,184",570
,"Rate per 100,000 inhabitants",,313.1,2.5,54.2,49.3,207.1,"3,575.2",644.8,"2,579.1",351.4
"Kalamazoo-Portage, MI M.S.A.",,"333,814",,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,, ,,,,,,,,
,City of Kalamazoo,"75,857",884,6,111,157,610,"2,901",677,"2,035",189
,City of Portage,"47,819",77,0,17,18,42,"1,497",187,"1,268",42
,Total area actually reporting,100.0%,"1,523",8,294,224,997,"8,404","1,804","6,180",420
,"Rate per 100,000 inhabitants",,456.2,2.4,88.1,67.1,298.7,"2,517.6",540.4,"1,851.3",125.8
"Kankakee, IL M.S.A.",,"111,679",,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,"27,026",221,6,28,93,94,"1,232",292,906,34
,Total area actually reporting,87.9%,323,11,43,112,157,"2,678",521,"2,078",79
,Estimated total,100.0%,350,11,46,120,173,"2,917",560,"2,267",90
,"Rate per 100,000 inhabitants",,313.4,9.8,41.2,107.5,154.9,"2,612.0",501.4,"2,029.9",80.6
"Kansas City, MO-KS M.S.A.",,"2,066,584",,,,,,,,,
,"Includes Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO",,,,,,,,,,
,"City of Kansas City, MO","468,417","5,862",78,390,"1,625","3,769","22,648","5,659","13,037","3,952"
,"City of Overland Park, KS","183,108",327,6,127,29,165,"3,033",384,"2,130",519
,"City of Kansas City, KS","149,103","1,060",25,233,254,548,"7,316","1,663","4,697",956
,Total area actually reporting,98.9%,"9,920",136,"1,117","2,336","6,331","61,894","12,899","40,797","8,198"
,Estimated total,100.0%,"9,962",136,"1,124","2,340","6,362","62,354","12,976","41,146","8,232"
,"Rate per 100,000 inhabitants",,482.1,6.6,54.4,113.2,307.9,"3,017.2",627.9,"1,991.0",398.3
"Kennewick-Richland, WA M.S.A.",,"276,409",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"77,381",190,5,34,41,110,"2,419",465,"1,808",146
,City of Richland,"53,445",90,0,11,13,66,"1,209",169,991,49
,Total area actually reporting,100.0%,567,14,88,91,374,"6,117","1,244","4,476",397
