Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2008",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"251,194",816,25,96,479,216,"10,314","2,410","7,238",666
,Total area actually reporting,94.5%,904,25,123,500,256,"12,434","2,835","8,785",814
,Estimated total,100.0%,922,25,126,503,268,"12,771","2,921","9,014",836
,"Rate per 100,000 inhabitants",,223.6,6.1,30.6,122.0,65.0,"3,097.8",708.5,"2,186.5",202.8
"Fresno, CA M.S.A.",,"907,820", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"475,723","2,782",40,80,984,"1,678","22,056","4,173","14,106","3,777"
,Total area actually reporting,100.0%,"4,287",65,172,"1,284","2,766","37,249","7,688","23,536","6,025"
,"Rate per 100,000 inhabitants",,472.2,7.2,18.9,141.4,304.7,"4,103.1",846.9,"2,592.6",663.7
"Gadsden, AL M.S.A.",,"103,419", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"36,700",288,2,36,135,115,"2,452",575,"1,716",161
,Total area actually reporting,94.8%,378,5,47,148,178,"3,548",758,"2,583",207
,Estimated total,100.0%,401,5,48,157,191,"3,791",815,2753,223
,"Rate per 100,000 inhabitants",,387.7,4.8,46.4,151.8,184.7,"3,665.7",788.1,"2,662.0",215.6
"Gainesville, FL M.S.A.",,"257,041", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"113,286","1,046",3,87,235,721,"5,961","1,382","4,165",414
,Total area actually reporting,99.7%,"2,048",6,134,358,"1,550","10,863","2,858","7,331",674
,Estimated total,100.0%,"2,053",6,134,360,1553,"10,899",2866,7356,677
,"Rate per 100,000 inhabitants",,798.7,2.3,52.1,140.1,604.2,"4,240.2","1,115.0","2,861.8",263.4
"Glens Falls, NY M.S.A.",,"129,422", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"13,923",16,0,0,1,15,520,46,468,6
,Total area actually reporting,100.0%,227,2,40,13,172,"2,288",351,"1,896",41
,"Rate per 100,000 inhabitants",,175.4,1.5,30.9,10.0,132.9,"1,767.9",271.2,"1,465.0",31.7
"Goldsboro, NC M.S.A.",,"113,923", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"37,445",330,5,4,117,204,"2,869",746,"1,929",194
,Total area actually reporting,97.4%,541,11,5,155,370,"5,343","1,659","3,255",429
,Estimated total,100.0%,554,11,6,159,378,"5,491","1,693","3,362",436
,"Rate per 100,000 inhabitants",,486.3,9.7,5.3,139.6,331.8,"4,819.9","1,486.1","2,951.1",382.7
"Grand Forks, ND-MN M.S.A.5",,"97,825", ,,,,, ,,,
,"Includes Polk County, MN5 and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","52,064",142,0,25,14,103,"1,769",273,"1,391",105
,Total area actually reporting,98.7%,,1,,16,151,"2,477",399,"1,934",144
,Estimated total,100.0%,,1,,16,152,"2,511",404,"1,961",146
,"Rate per 100,000 inhabitants",,,1.0,,16.4,155.4,"2,566.8",413.0,"2,004.6",149.2
"Grand Junction, CO M.S.A.",,"142,140", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"48,870",288,5,46,29,208,"2,501",365,"1,960",176
,Total area actually reporting,97.7%,471,7,82,44,338,"4,154",821,"3,029",304
,Estimated total,100.0%,479,7,83,46,343,"4,256",837,"3,105",314
,"Rate per 100,000 inhabitants",,337.0,4.9,58.4,32.4,241.3,"2,994.2",588.9,"2,184.5",220.9
"Grand Rapids-Wyoming, MI M.S.A.2",,"774,538",,,,,,,,,
,"Includes Barry, Ionia,2 Kent, and Newaygo Counties",, ,,,,,,,,
,City of Grand Rapids,"193,096","1,981",15,81,767,"1,118","9,209","2,286","6,470",453
,City of Wyoming,"70,552",269,0,45,82,142,"1,784",486,"1,122",176
,Total area actually reporting,99.1%,"3,390",18,349,986,"2,037","22,601","5,177","16,301","1,123"
,Estimated total,100.0%,"3,410",18,351,991,"2,050","22,793","5,215","16,437","1,141"
,"Rate per 100,000 inhabitants",,440.3,2.3,45.3,127.9,264.7,"2,942.8",673.3,"2,122.2",147.3
"Great Falls, MT M.S.A.",,"82,142", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"59,093",162,1,8,30,123,"2,791",281,"2,381",129
,Total area actually reporting,100.0%,210,2,11,31,166,"3,118",329,"2,635",154
,"Rate per 100,000 inhabitants",,255.7,2.4,13.4,37.7,202.1,"3,795.9",400.5,"3,207.9",187.5
"Greeley, CO M.S.A.",,"252,815", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"91,900",518,4,46,69,399,"3,415",748,"2,461",206
,Total area actually reporting,97.9%,771,6,73,93,599,"6,292","1,451","4,420",421
,Estimated total,100.0%,785,6,75,96,608,"6,460","1,477","4,546",437
,"Rate per 100,000 inhabitants",,310.5,2.4,29.7,38.0,240.5,"2,555.2",584.2,"1,798.2",172.9
"Green Bay, WI M.S.A.",,"303,250", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"100,531",502,2,76,104,320,"3,107",651,"2,303",153
,Total area actually reporting,100.0%,605,2,106,112,385,"7,116","1,250","5,556",310
,"Rate per 100,000 inhabitants",,199.5,0.7,35.0,36.9,127.0,"2,346.6",412.2,"1,832.2",102.2
"Greensboro-High Point, NC M.S.A.",,"707,329",,,,,,,,,
,"Includes Guilford, Randolph, and Rockingham Counties",, ,,,,,,,,
,City of Greensboro,"249,561","2,157",24,109,998,"1,026","15,809","4,942","9,759","1,108"
,City of High Point,"100,631",707,11,30,305,361,"6,011","1,922","3,695",394
,Total area actually reporting,99.8%,"3,666",45,196,"1,493","1,932","32,833","10,178","20,504","2,151"
,Estimated total,100.0%,"3,671",45,196,"1,495","1,935","32,894","10,192","20,548","2,154"
,"Rate per 100,000 inhabitants",,519.0,6.4,27.7,211.4,273.6,"4,650.5","1,440.9","2,905.0",304.5
"Greenville, NC M.S.A.",,"175,515", ,,,,, ,,,
,Includes Greene and Pitt Counties,,,,,,,,,,
,City of Greenville,"77,960",632,6,13,243,370,"5,105","1,538","3,304",263
,Total area actually reporting,100.0%,"1,038",8,28,310,692,"8,826","2,852","5,513",461
,"Rate per 100,000 inhabitants",,591.4,4.6,16.0,176.6,394.3,"5,028.6","1,624.9","3,141.0",262.7
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"265,492",,,,,,,,,
,"Includes Washington County, MD and Berkeley and Morgan Counties, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,002",206,3,1,83,119,"1,482",294,"1,058",130
,"City of Martinsburg, WV","16,649",109,0,5,34,70,"1,130",109,974,47
,Total area actually reporting,99.6%,717,6,33,178,500,"6,431","1,445","4,539",447
,Estimated total,100.0%,720,6,33,179,502,"6,472","1,452","4,571",449
,"Rate per 100,000 inhabitants",,271.2,2.3,12.4,67.4,189.1,"2,437.7",546.9,"1,721.7",169.1
"Hanford-Corcoran, CA M.S.A.",,"150,711",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"50,602",227,2,12,66,147,"1,899",371,"1,316",212
,City of Corcoran,"25,235",69,0,1,6,62,209,86,99,24
,Total area actually reporting,100.0%,614,7,27,110,470,"3,636",873,"2,266",497
,"Rate per 100,000 inhabitants",,407.4,4.6,17.9,73.0,311.9,"2,412.6",579.3,"1,503.5",329.8
"Harrisburg-Carlisle, PA M.S.A.",,"531,150",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,"47,118",780,9,46,483,242,"2,615",743,"1,637",235
,City of Carlisle,"18,427",75,0,7,49,19,647,82,548,17
,Total area actually reporting,99.5%,"1,697",19,163,726,789,"11,750","2,195","9,031",524
,Estimated total,100.0%,"1,703",19,163,728,793,"11,804","2,203","9,074",527
,"Rate per 100,000 inhabitants",,320.6,3.6,30.7,137.1,149.3,"2,222.3",414.8,"1,708.4",99.2
"Harrisonburg, VA M.S.A.",,"118,335", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"44,346",142,1,12,25,104,"1,224",246,903,75
,Total area actually reporting,100.0%,172,2,21,28,121,"1,828",378,"1,337",113
,"Rate per 100,000 inhabitants",,145.4,1.7,17.7,23.7,102.3,"1,544.8",319.4,"1,129.8",95.5
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,006,641",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"124,610","1,503",31,61,629,782,"6,374","1,000","4,048","1,326"
,City of West Hartford,"60,411",104,0,4,62,38,"1,640",254,"1,211",175
,City of East Hartford,"48,586",222,1,22,88,111,"1,611",361,"1,069",181
,City of Middletown,"48,048",78,1,4,52,21,"1,644",220,"1,329",95
,Total area actually reporting,100.0%,"2,995",42,209,"1,226","1,518","28,858","4,799","20,852","3,207"
,"Rate per 100,000 inhabitants",,297.5,4.2,20.8,121.8,150.8,"2,866.8",476.7,"2,071.4",318.6
"Hickory-Lenoir-Morganton, NC M.S.A.",,"363,694",,,,,,,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",,,, ,,,,,,
,City of Hickory,"41,414",331,3,22,116,190,"3,180",615,"2,361",204
,City of Lenoir,"17,843",64,4,1,21,38,971,198,708,65
,City of Morganton,"17,069",60,0,3,14,43,668,209,428,31
,Total area actually reporting,99.3%,"1,003",29,65,264,645,"12,553","3,565","8,172",816
,Estimated total,100.0%,"1,014",29,66,267,652,"12,675","3,593","8,260",822
,"Rate per 100,000 inhabitants",,278.8,8.0,18.1,73.4,179.3,"3,485.1",987.9,"2,271.1",226.0
"Hinesville-Fort Stewart, GA M.S.A.",,"71,471",,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,"30,523",188,1,6,53,128,"1,802",539,"1,202",61
,Total area actually reporting,100.0%,316,5,20,72,219,"2,787",921,"1,750",116
,"Rate per 100,000 inhabitants",,442.1,7.0,28.0,100.7,306.4,"3,899.5","1,288.6","2,448.5",162.3
"Holland-Grand Haven, MI M.S.A.",,"259,600",,,,,,,,,
,Includes Ottawa County,, ,,,,,,,,
,City of Holland,"26,591",107,1,24,18,64,947,146,776,25
,City of Grand Haven,"10,486",47,0,10,6,31,314,37,274,3
,Total area actually reporting,97.3%,438,4,128,53,253,"4,568",904,"3,535",129
,Estimated total,100.0%,459,4,130,58,267,"4,771",944,"3,679",148
,"Rate per 100,000 inhabitants",,176.8,1.5,50.1,22.3,102.9,"1,837.8",363.6,"1,417.2",57.0
"Honolulu, HI M.S.A.",,"906,349", ,,,,, ,,,
,Includes Honolulu County,,,,,,,,,,
,City of Honolulu,"906,349","2,575",18,203,928,"1,426","31,781","6,370","21,473","3,938"
,Total area actually reporting,100.0%,"2,575",18,203,928,"1,426","31,781","6,370","21,473","3,938"
,"Rate per 100,000 inhabitants",,284.1,2.0,22.4,102.4,157.3,"3,506.5",702.8,"2,369.2",434.5
"Hot Springs, AR M.S.A.",,"97,366", ,,,,, ,,,
,Includes Garland County,,, ,,,,,,,
,City of Hot Springs,"39,451",513,1,19,104,389,"3,922",737,"2,996",189
,Total area actually reporting,100.0%,642,4,44,118,476,"6,426","1,889","4,166",371
,"Rate per 100,000 inhabitants",,659.4,4.1,45.2,121.2,488.9,"6,599.8","1,940.1","4,278.7",381.0
"Houma-Bayou Cane-Thibodaux, LA M.S.A.",,"203,144",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"32,592",286,0,11,80,195,"1,458",302,"1,082",74
,City of Thibodaux,"14,126",98,2,3,19,74,595,107,476,12
,Total area actually reporting,100.0%,922,11,52,173,686,"6,449","1,063","4,954",432
,"Rate per 100,000 inhabitants",,453.9,5.4,25.6,85.2,337.7,"3,174.6",523.3,"2,438.7",212.7
"Houston-Sugar Land-Baytown, TX M.S.A.",,"5,752,684",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties",,,,,,,,,,
,City of Houston,"2,238,895","24,779",294,750,"10,603","13,132","110,759","26,947","68,598","15,214"
,City of Sugar Land,"81,763",138,0,5,46,87,"1,729",253,"1,381",95
,City of Baytown,"70,596",324,6,41,100,177,"3,457",741,"2,371",345
,City of Galveston,"56,870",443,4,78,145,216,"3,085",748,"2,079",258
,Total area actually reporting,99.9%,"39,597",447,"1,772","14,693","22,685","219,190","54,853","138,826","25,511"
,Estimated total,100.0%,"39,598",447,"1,772","14,693","22,686","219,208","54,857","138,839","25,512"
,"Rate per 100,000 inhabitants",,688.3,7.8,30.8,255.4,394.4,"3,810.5",953.6,"2,413.5",443.5
"Huntsville, AL M.S.A.",,"393,173", ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,"172,794","1,222",18,93,412,699,"10,647","2,369","7,196","1,082"
,Total area actually reporting,100.0%,"1,657",19,131,516,991,"15,701","3,744","10,518","1,439"
,"Rate per 100,000 inhabitants",,421.4,4.8,33.3,131.2,252.1,"3,993.4",952.3,"2,675.2",366.0
"Idaho Falls, ID M.S.A.",,"121,458", ,,,,, ,,,
,Includes Bonneville and Jefferson Counties,,,,,,,,,,
,City of Idaho Falls,"53,566",219,1,30,12,176,"1,669",306,"1,282",81
,Total area actually reporting,100.0%,344,2,51,15,276,"2,826",582,"2,094",150
,"Rate per 100,000 inhabitants",,283.2,1.6,42.0,12.3,227.2,"2,326.7",479.2,"1,724.1",123.5
"Indianapolis-Carmel, IN M.S.A.",,"1,717,530", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,"808,329","9,735",114,475,"4,023","5,123","49,177","14,267","28,466","6,444"
,City of Carmel,"65,982",23,0,3,5,15,970,134,788,48
,Total area actually reporting,83.5%,"10,552",120,560,"4,196","5,676","63,010","16,191","39,621","7,198"
,Estimated total,100.0%,"10,963",127,600,"4,293","5,943","69,271","17,439","44,217","7,615"
,"Rate per 100,000 inhabitants",,638.3,7.4,34.9,250.0,346.0,"4,033.2","1,015.4","2,574.5",443.4
"Iowa City, IA M.S.A.",,"149,310", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"67,600",257,7,24,55,171,"1,692",388,"1,232",72
,Total area actually reporting,95.1%,419,8,51,75,285,"2,980",710,"2,136",134
,Estimated total,100.0%,431,8,53,76,294,"3,129",738,"2,251",140
,"Rate per 100,000 inhabitants",,288.7,5.4,35.5,50.9,196.9,"2,095.6",494.3,"1,507.6",93.8
"Ithaca, NY M.S.A.",,"101,591", ,,,,, ,,,
,Includes Tompkins County,,,,,,,,,,
,City of Ithaca,"30,114",58,0,1,28,29,"1,094",207,861,26
,Total area actually reporting,100.0%,137,2,14,35,86,"2,329",424,"1,850",55
,"Rate per 100,000 inhabitants",,134.9,2.0,13.8,34.5,84.7,"2,292.5",417.4,"1,821.0",54.1
"Jackson, MI M.S.A.",,"162,183", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,"33,755",323,2,62,57,202,"1,893",408,"1,392",93
,Total area actually reporting,98.0%,616,4,118,84,410,"4,376",991,"3,148",237
,Estimated total,100.0%,626,4,119,86,417,"4,472","1,010","3,216",246
,"Rate per 100,000 inhabitants",,386.0,2.5,73.4,53.0,257.1,"2,757.4",622.8,"1,982.9",151.7
"Jackson, MS M.S.A.",,"540,558", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties",,,,,,,,,,
,City of Jackson,"174,734","1,652",63,136,942,511,"13,035","4,334","6,990","1,711"
,Total area actually reporting,83.2%,"2,058",72,196,"1,033",757,"18,402","5,747","10,603","2,052"
,Estimated total,100.0%,"2,206",76,218,"1,069",843,"20,525","6,268","12,030","2,227"
,"Rate per 100,000 inhabitants",,408.1,14.1,40.3,197.8,155.9,"3,797.0","1,159.5","2,225.5",412.0
"Jackson, TN M.S.A.",,"113,254", ,,,,, ,,,
,Includes Chester and Madison Counties,,,,,,,,,,
,City of Jackson,"63,620",707,7,28,244,428,"4,630","1,093","3,124",413
,Total area actually reporting,100.0%,924,10,42,259,613,"5,939","1,486","3,921",532
,"Rate per 100,000 inhabitants",,815.9,8.8,37.1,228.7,541.3,"5,244.0","1,312.1","3,462.1",469.7
"Jacksonville, FL M.S.A.",,"1,308,904", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"806,080","8,032",115,262,"2,938","4,717","46,198","12,012","30,157","4,029"
,Total area actually reporting,100.0%,"10,745",127,378,"3,286","6,954","62,582","15,607","42,060","4,915"
,"Rate per 100,000 inhabitants",,820.9,9.7,28.9,251.0,531.3,"4,781.3","1,192.4","3,213.4",375.5
"Jacksonville, NC M.S.A.",,"164,774", ,,,,, ,,,
,Includes Onslow County,,, ,,,,,,,
,City of Jacksonville,"75,770",286,5,29,89,163,"2,545",505,"1,921",119
,Total area actually reporting,100.0%,600,11,60,143,386,"5,916","1,684","3,888",344
,"Rate per 100,000 inhabitants",,364.1,6.7,36.4,86.8,234.3,"3,590.4","1,022.0","2,359.6",208.8
"Janesville, WI M.S.A.",,"160,438", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,353",172,1,23,53,95,"2,796",507,"2,215",74
,Total area actually reporting,100.0%,397,4,56,114,223,"5,457",988,"4,196",273
,"Rate per 100,000 inhabitants",,247.4,2.5,34.9,71.1,139.0,"3,401.3",615.8,"2,615.3",170.2
"Johnson City, TN M.S.A.",,"194,959", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"61,690",309,0,20,51,238,"2,849",535,"2,203",111
,Total area actually reporting,100.0%,713,3,44,74,592,"5,583","1,287","4,019",277
,"Rate per 100,000 inhabitants",,365.7,1.5,22.6,38.0,303.7,"2,863.7",660.1,"2,061.5",142.1
"Johnstown, PA M.S.A.",,"144,050", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"23,172",114,2,3,42,67,756,212,501,43
,Total area actually reporting,96.2%,272,6,20,55,191,"2,704",542,"2,059",103
,Estimated total,100.0%,285,6,21,58,200,"2,817",559,"2,149",109
,"Rate per 100,000 inhabitants",,197.8,4.2,14.6,40.3,138.8,"1,955.6",388.1,"1,491.8",75.7
"Jonesboro, AR M.S.A.",,"117,434", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"64,187",278,5,32,89,152,"3,227","1,269","1,853",105
,Total area actually reporting,97.5%,444,7,55,95,287,"4,596","1,802","2,636",158
,Estimated total,100.0%,457,7,56,97,297,"4,712","1,839","2,710",163
,"Rate per 100,000 inhabitants",,389.2,6.0,47.7,82.6,252.9,"4,012.5","1,566.0","2,307.7",138.8
"Joplin, MO M.S.A.",,"172,779", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"49,551",356,3,42,55,256,"4,312",692,"3,308",312
,Total area actually reporting,100.0%,674,7,75,71,521,"7,643","1,449","5,680",514
,"Rate per 100,000 inhabitants",,390.1,4.1,43.4,41.1,301.5,"4,423.6",838.6,"3,287.4",297.5
"Kalamazoo-Portage, MI M.S.A.",,"321,552",,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,, ,,,,,,,,
,City of Kalamazoo,"72,110",742,1,60,221,460,"4,244","1,170","2,806",268
,City of Portage,"46,210",85,0,16,22,47,"1,934",277,"1,594",63
,Total area actually reporting,98.4%,"1,408",6,187,334,881,"11,787","2,925","8,214",648
,Estimated total,100.0%,"1,424",6,189,338,891,"11,934","2,954","8,318",662
,"Rate per 100,000 inhabitants",,442.9,1.9,58.8,105.1,277.1,"3,711.4",918.7,"2,586.8",205.9
"Kennewick-Pasco-Richland, WA M.S.A.",,"234,413",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"62,930",235,1,38,40,156,"2,382",409,"1,810",163
,City of Pasco,"55,612",166,1,19,46,100,"1,664",468,"1,030",166
,City of Richland,"45,522",101,0,25,14,62,"1,048",206,788,54
,Total area actually reporting,100.0%,596,2,95,107,392,"6,183","1,423","4,302",458
,"Rate per 100,000 inhabitants",,254.3,0.9,40.5,45.6,167.2,"2,637.7",607.0,"1,835.2",195.4
"Killeen-Temple-Fort Hood, TX M.S.A.",,"375,230",,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,"115,906",885,10,66,216,593,"4,757","1,711","2,877",169
,City of Temple,"58,812",243,3,27,107,106,"2,794",557,"2,082",155
,Total area actually reporting,99.7%,"1,511",16,148,382,965,"11,862","3,427","7,915",520
,Estimated total,100.0%,"1,514",16,148,383,967,"11,901","3,435","7,943",523
,"Rate per 100,000 inhabitants",,403.5,4.3,39.4,102.1,257.7,"3,171.7",915.4,"2,116.8",139.4
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,"303,904",,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN","44,350",374,2,18,53,301,"2,764",542,"2,083",139
,"City of Bristol, TN","25,485",124,7,11,7,99,"1,328",176,"1,053",99
,"City of Bristol, VA","17,563",72,0,14,15,43,709,129,541,39
,Total area actually reporting,100.0%,"1,092",16,118,120,838,"10,452","2,500","7,301",651
,"Rate per 100,000 inhabitants",,359.3,5.3,38.8,39.5,275.7,"3,439.2",822.6,"2,402.4",214.2
"Kingston, NY M.S.A.",,"182,305", ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,"22,520",69,0,5,48,16,645,115,510,20
,Total area actually reporting,100.0%,462,6,51,71,334,"3,210",814,"2,298",98
,"Rate per 100,000 inhabitants",,253.4,3.3,28.0,38.9,183.2,"1,760.8",446.5,"1,260.5",53.8
"Knoxville, TN M.S.A.",,"689,656", ,,,,, ,,,
,"Includes Anderson, Blount, Knox, Loudon, and Union Counties",,,,,,,,,,
,City of Knoxville,"184,559","1,992",28,140,668,"1,156","12,186","2,661","8,383","1,142"
,Total area actually reporting,100.0%,"3,498",40,234,895,"2,329","25,670","6,741","16,828","2,101"
,"Rate per 100,000 inhabitants",,507.2,5.8,33.9,129.8,337.7,"3,722.1",977.4,"2,440.1",304.6
"Kokomo, IN M.S.A.",,"99,575", ,,,,, ,,,
,Includes Howard and Tipton Counties,,,,,,,,,,
,City of Kokomo,"45,779",217,3,19,59,136,"2,684",519,"2,078",87
,Total area actually reporting,100.0%,279,3,24,68,184,"3,645",857,"2,662",126
,"Rate per 100,000 inhabitants",,280.2,3.0,24.1,68.3,184.8,"3,660.6",860.7,"2,673.4",126.5
"La Crosse, WI-MN M.S.A.5",,"131,303", ,,,,, ,,,
,"Includes Houston County, MN5 and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI","50,569",206,1,16,32,157,"1,891",308,"1,495",88
,Total area actually reporting,95.2%,,1,,36,204,"3,238",508,"2,602",128
,Estimated total,100.0%,,1,,39,209,"3,436",535,"2,763",138
,"Rate per 100,000 inhabitants",,,0.8,,29.7,159.2,"2,616.8",407.5,"2,104.3",105.1
"Lafayette, IN M.S.A.",,"193,802", ,,,,, ,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,"63,990",325,3,24,53,245,"3,000",610,"2,191",199
,Total area actually reporting,95.5%,447,4,40,65,338,"5,299","1,131","3,859",309
,Estimated total,100.0%,459,4,41,68,346,"5,475","1,168","3,987",320
,"Rate per 100,000 inhabitants",,236.8,2.1,21.2,35.1,178.5,"2,825.0",602.7,"2,057.3",165.1
"Lafayette, LA M.S.A.",,"260,236", ,,,,, ,,,
,Includes Lafayette and St. Martin Parishes,,,,,,,,,,
,City of Lafayette,"113,770","1,276",10,73,307,886,"6,766","1,421","4,839",506
,Total area actually reporting,91.3%,"1,819",14,111,400,"1,294","9,274","2,068","6,494",712
,Estimated total,100.0%,"1,946",15,117,420,"1,394","10,319","2,278","7,282",759
,"Rate per 100,000 inhabitants",,747.8,5.8,45.0,161.4,535.7,"3,965.2",875.4,"2,798.2",291.7
"Lake Havasu City-Kingman, AZ M.S.A.",,"199,207", ,,,,, ,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,"57,616",100,1,18,10,71,"1,385",244,"1,056",85
,City of Kingman,"28,725",95,0,15,17,63,"1,587",301,"1,186",100
,Total area actually reporting,100.0%,450,8,51,65,326,"7,093","1,894","4,675",524
,"Rate per 100,000 inhabitants",,225.9,4.0,25.6,32.6,163.6,"3,560.6",950.8,"2,346.8",263.0
"Lakeland-Winter Haven, FL M.S.A.",,"579,765",,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,"92,669",528,10,36,199,283,"5,249","1,029","3,879",341
,City of Winter Haven,"32,886",287,5,20,78,184,"2,273",472,"1,598",203
,Total area actually reporting,99.5%,"2,831",44,164,702,"1,921","23,533","6,635","15,264","1,634"
,Estimated total,100.0%,"2,850",44,165,708,"1,933","23,676","6,667","15,363","1,646"
,"Rate per 100,000 inhabitants",,491.6,7.6,28.5,122.1,333.4,"4,083.7","1,149.9","2,649.9",283.9
"Lancaster, PA M.S.A.",,"501,669", ,,,,, ,,,
,Includes Lancaster County,,,,,,,,,,
,City of Lancaster,"54,595",534,3,36,240,255,"3,075",609,"2,284",182
,Total area actually reporting,97.7%,932,7,118,348,459,"10,306","1,856","7,933",517
,Estimated total,100.0%,959,7,120,355,477,"10,547","1,892","8,126",529
,"Rate per 100,000 inhabitants",,191.2,1.4,23.9,70.8,95.1,"2,102.4",377.1,"1,619.8",105.4
"Lansing-East Lansing, MI M.S.A.2",,"453,640",,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",, ,,,,,,,,
,City of Lansing,"114,415","1,181",11,95,269,806,"4,261","1,462","2,484",315
,City of East Lansing2,"46,215",188,0,17,27,144,"1,038",270,718,50
,Total area actually reporting,80.0%,"1,773",12,193,351,"1,217","10,585","2,668","7,378",539
,Estimated total,100.0%,"1,977",13,231,380,"1,353","12,392","3,105","8,624",663
,"Rate per 100,000 inhabitants",,435.8,2.9,50.9,83.8,298.3,"2,731.7",684.5,"1,901.1",146.2
"Laredo, TX M.S.A.",,"238,490", ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo,"222,870","1,357",10,78,311,958,"14,340","2,091","10,522","1,727"
,Total area actually reporting,100.0%,"1,436",11,82,322,"1,021","14,750","2,238","10,745","1,767"
,"Rate per 100,000 inhabitants",,602.1,4.6,34.4,135.0,428.1,"6,184.7",938.4,"4,505.4",740.9
"Las Cruces, NM M.S.A.",,"201,390", ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,"91,982",491,4,37,78,372,"4,419",869,"3,312",238
,Total area actually reporting,98.9%,858,9,68,93,688,"6,353","1,397","4,513",443
,Estimated total,100.0%,871,9,69,94,699,"6,427","1,413","4,563",451
,"Rate per 100,000 inhabitants",,432.5,4.5,34.3,46.7,347.1,"3,191.3",701.6,"2,265.8",223.9
