Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,"Rate per 100,000 inhabitants",,522.5,5.9,55.2,55.6,405.9,"3,389.4",845.4,"2,322.8",221.2,,,
"Fort Walton Beach-Crestview-Destin, FL M.S.A.",,"185,244",,,,,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,,,,
,City of Fort Walton Beach,"20,151",138,1,15,32,90,844,163,608,73,,,
,City of Crestview,"18,006",98,1,11,16,70,714,70,599,45,,,
,Total area actually reporting,99.6%,706,5,57,106,538,"5,333","1,037","3,863",433,,,
,Estimated total,100.0%,710,5,57,107,541,"5,364","1,044","3,884",436,,,
,"Rate per 100,000 inhabitants",,383.3,2.7,30.8,57.8,292.0,"2,895.6",563.6,"2,096.7",235.4,,,
"Fort Wayne, IN M.S.A.5",,"407,093", , ,,,, ,,,,,,
,"Includes Allen,5 Wells, and Whitley Counties",,,,,,,,,,,,,
,City of Fort Wayne5,"224,820",708,18,80,404,206,"10,767","2,128","7,934",705,,,
,Total area actually reporting,91.1%,810,18,96,425,271,"12,447","2,538","9,043",866,,,
,Estimated total,100.0%,877,19,102,442,314,"13,337","2,707","9,688",942,,,
,"Rate per 100,000 inhabitants",,215.4,4.7,25.1,108.6,77.1,"3,276.2",665.0,"2,379.8",231.4,,,
"Fresno, CA M.S.A.",,"885,487", ,,,,, ,,,,,,
,Includes Fresno County,,,,,,,,,,,,,
,City of Fresno,"465,269","3,524",52,133,"1,282","2,057","23,407","4,366","14,097","4,944",,,
,Total area actually reporting,100.0%,"4,895",74,214,"1,621","2,986","39,437","7,761","23,728","7,948",,,
,"Rate per 100,000 inhabitants",,552.8,8.4,24.2,183.1,337.2,"4,453.7",876.5,"2,679.7",897.6,,,
"Gadsden, AL M.S.A.",,"104,122", ,, ,,, ,,,,,,
,Includes Etowah County,,,,,,,,,,,,,
,City of Gadsden,"37,743",326,2,41,195,88,"3,251",829,"2,174",248,,,
,Total area actually reporting,80.0%,411,5,48,211,147,"4,267","1,138","2,801",328,,,
,Estimated total,100.0%,499,6,55,244,194,"5,096","1,306","3,400",390,,,
,"Rate per 100,000 inhabitants",,479.2,5.8,52.8,234.3,186.3,"4,894.3","1,254.3","3,265.4",374.6,,,
"Gainesville, FL M.S.A.",,"244,306", ,,,,, ,,,,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,,,,
,City of Gainesville,"110,009","1,090",7,96,250,737,"5,763","1,420","3,877",466,,,
,Total area actually reporting,100.0%,"2,282",14,181,382,"1,705","11,359","2,880","7,655",824,,,
,"Rate per 100,000 inhabitants",,934.1,5.7,74.1,156.4,697.9,"4,649.5","1,178.8","3,133.4",337.3,,,
"Gainesville, GA M.S.A.",,"171,095", ,,,,, ,,,,,,
,Includes Hall County,,,,,,,,,,,,,
,City of Gainesville,"33,486",217,2,17,77,121,"1,959",228,"1,584",147,,,
,Total area actually reporting,99.8%,431,3,36,94,298,"5,074",962,"3,457",655,,,
,Estimated total,100.0%,433,3,36,95,299,"5,088",965,"3,467",656,,,
,"Rate per 100,000 inhabitants",,253.1,1.8,21.0,55.5,174.8,"2,973.8",564.0,"2,026.4",383.4,,,
"Glens Falls, NY M.S.A.",,"128,917", ,,,,, ,,,,,,
,Includes Warren and Washington Counties,,,,,,,,,,,,,
,City of Glens Falls,"14,146",26,0,2,8,16,616,79,529,8,,,
,Total area actually reporting,100.0%,205,2,38,14,151,"2,666",576,"2,018",72,,,
,"Rate per 100,000 inhabitants",,159.0,1.6,29.5,10.9,117.1,"2,068.0",446.8,"1,565.3",55.8,,,
"Goldsboro, NC M.S.A.",,"116,732", ,,,,, ,,,,,,
,Includes Wayne County,,,,,,,,,,,,,
,City of Goldsboro,"39,442",328,4,3,95,226,"2,435",633,"1,650",152,,,
,Total area actually reporting,98.1%,591,7,8,141,435,"4,830","1,533","3,010",287,,,
,Estimated total,100.0%,602,7,9,144,442,"4,946","1,561","3,092",293,,,
,"Rate per 100,000 inhabitants",,515.7,6.0,7.7,123.4,378.6,"4,237.1","1,337.3","2,648.8",251.0,,,
"Grand Forks, ND-MN M.S.A.4, 6",,"97,197", ,,,,, ,,,,,,
,"Includes Polk County, MN4 and Grand Forks County, ND6",,,,,,,,,,,,,
,"City of Grand Forks, ND","50,239",91,1,19,12,59,"1,800",281,"1,370",149,,,
,Total area actually reporting,98.6%,,2,,15,112,,,"1,949",209,,,
,Estimated total,100.0%,,2,,15,113,,,"1,976",211,,,
,"Rate per 100,000 inhabitants",,,2.1,,15.4,116.3,,,"2,033.0",217.1,,,
"Grand Junction, CO M.S.A.", ,"132,327", , ,,,, ,,,,,,
,Includes Mesa County,,,,,,,,,,,,,
,City of Grand Junction,"46,155",288,3,37,39,209,"2,850",440,"2,176",234,,,
,Total area actually reporting,100.0%,368,6,43,48,271,"4,654",852,"3,379",423,,,
,"Rate per 100,000 inhabitants",,278.1,4.5,32.5,36.3,204.8,"3,517.0",643.9,"2,553.5",319.7,,,
"Grand Rapids-Wyoming, MI M.S.A.",,"769,263",,,,, ,,,,,,,
,"Includes Barry, Ionia, Kent, and Newaygo Counties",,,,,,,,,,,,,
,City of Grand Rapids,"193,297","1,923",22,65,700,"1,136","10,103","2,484","6,922",697,,,
,City of Wyoming,"69,947",325,0,60,64,201,"2,207",603,"1,346",258,,,
,Total area actually reporting,99.1%,"3,272",26,393,855,"1,998","24,808","5,777","17,517","1,514",,,
,Estimated total,100.0%,"3,293",26,396,860,"2,011","25,013","5,813","17,662","1,538",,,
,"Rate per 100,000 inhabitants",,428.1,3.4,51.5,111.8,261.4,"3,251.6",755.7,"2,296.0",199.9,,,
"Great Falls, MT M.S.A.",,"80,331", ,,,,, ,,,,,,
,Includes Cascade County,,,,,,,,,,,,,
,City of Great Falls,"56,878",186,2,11,29,144,"2,772",224,"2,424",124,,,
,Total area actually reporting,100.0%,216,2,11,29,174,"2,973",233,"2,592",148,,,
,"Rate per 100,000 inhabitants",,268.9,2.5,13.7,36.1,216.6,"3,700.9",290.0,"3,226.6",184.2,,,
"Greeley, CO M.S.A.",,"233,271", ,,,, , , ,,,,,
,Includes Weld County,,,,,,,,,,,,,
,City of Greeley,"89,252",467,2,53,50,362,"4,324",841,"3,163",320,,,
,Total area actually reporting,99.3%,827,4,92,72,659,"8,180","1,823","5,619",738,,,
,Estimated total,100.0%,832,4,93,73,662,"8,238","1,833","5,660",745,,,
,"Rate per 100,000 inhabitants",,356.7,1.7,39.9,31.3,283.8,"3,531.5",785.8,"2,426.4",319.4,,,
"Green Bay, WI M.S.A.",,"298,584", ,,,,, ,,,,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,,,,,,,,,,,,
,City of Green Bay,"101,574",558,2,50,106,400,"2,874",687,"1,986",201,,,
,Total area actually reporting,100.0%,678,2,78,114,484,"6,856","1,390","5,074",392,,,
,"Rate per 100,000 inhabitants",,227.1,0.7,26.1,38.2,162.1,"2,296.2",465.5,"1,699.4",131.3,,,
"Greensboro-High Point, NC M.S.A.",,"687,959",, ,,,,,,,,,,
,"Includes Guilford, Randolph, and Rockingham Counties",,,,,,,,,,,,,
,City of Greensboro,"236,591","2,062",27,86,901,"1,048","14,336","4,129","9,000","1,207",,,
,City of High Point,"95,482",688,8,40,265,375,"5,567","1,672","3,397",498,,,
,Total area actually reporting,99.8%,"3,466",48,162,"1,334","1,922","31,564","9,031","20,062","2,471",,,
,Estimated total,100.0%,"3,472",48,162,"1,336","1,926","31,632","9,047","20,110","2,475",,,
,"Rate per 100,000 inhabitants",,504.7,7.0,23.5,194.2,280.0,"4,597.9","1,315.0","2,923.1",359.8,,,
"Greenville, NC M.S.A.",,"165,841", ,,,,, ,,,,,,
,Includes Greene and Pitt Counties,,,,,,,,,,,,,
,City of Greenville,"70,904",640,6,22,240,372,"4,537","1,323","2,932",282,,,
,Total area actually reporting,100.0%,"1,137",12,68,321,736,"7,774","2,294","5,044",436,,,
,"Rate per 100,000 inhabitants",,685.6,7.2,41.0,193.6,443.8,"4,687.6","1,383.3","3,041.5",262.9,,,
"Greenville-Mauldin-Easley, SC M.S.A.",,"600,445", ,,, ,, ,,,,,,
,"Includes Greenville, Laurens, and Pickens Counties",,,,,,,,,,,,,
,City of Greenville,"57,557",567,8,25,141,393,"3,762",761,"2,671",330,,,
,City of Mauldin,"19,644",125,0,6,6,113,485,75,343,67,,,
,City of Easley,"19,145",75,1,2,14,58,846,124,680,42,,,
,Total area actually reporting,100.0%,"4,024",40,214,717,"3,053","23,304","6,096","14,916","2,292",,,
,"Rate per 100,000 inhabitants",,670.2,6.7,35.6,119.4,508.5,"3,881.1","1,015.2","2,484.2",381.7,,,
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"251,797",, ,,,,,,,,,,
,"Includes Washington County, MD and Berkeley and Morgan Counties, WV",,,,,,,,,,,,,
,"City of Hagerstown, MD","38,431",295,4,8,117,166,"1,610",303,"1,159",148,,,
,"City of Martinsburg, WV","16,010",117,0,4,40,73,893,116,728,49,,,
,Total area actually reporting,99.5%,842,6,42,222,572,"6,415","1,384","4,475",556,,,
,Estimated total,100.0%,845,6,42,223,574,"6,455","1,392","4,504",559,,,
,"Rate per 100,000 inhabitants",,335.6,2.4,16.7,88.6,228.0,"2,563.6",552.8,"1,788.7",222.0,,,
"Hanford-Corcoran, CA M.S.A.",,"144,712", ,,,,,,,,,,,
,Includes Kings County ,,,,,,,,,,,,,
,City of Hanford,"47,913",191,1,0,51,139,"1,718",244,"1,222",252,,,
,City of Corcoran,"22,658",58,0,7,3,48,224,98,94,32,,,
,Total area actually reporting,100.0%,535,4,31,83,417,"3,623",682,"2,253",688,,,
,"Rate per 100,000 inhabitants",,369.7,2.8,21.4,57.4,288.2,"2,503.6",471.3,"1,556.9",475.4,,,
"Harrisburg-Carlisle, PA M.S.A.",,"522,275", ,,,,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",,,,,,,,,,,,,
,City of Harrisburg,"47,514",803,10,51,461,281,"2,443",629,"1,655",159,,,
,City of Carlisle,"18,124",42,1,4,24,13,633,65,552,16,,,
,Total area actually reporting,95.0%,"1,704",15,144,686,859,"11,065","2,022","8,528",515,,,
,Estimated total,100.0%,"1,768",16,148,704,900,"11,623","2,105","8,966",552,,,
,"Rate per 100,000 inhabitants",,338.5,3.1,28.3,134.8,172.3,"2,225.5",403.0,"1,716.7",105.7,,,
"Harrisonburg, VA M.S.A.",,"112,802",,,,,,,,,,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,,,,
,City of Harrisonburg,"40,841",130,4,16,28,82,"1,261",254,925,82,,,
,Total area actually reporting,100.0%,173,5,30,33,105,"1,877",421,"1,345",111,,,
,"Rate per 100,000 inhabitants",,153.4,4.4,26.6,29.3,93.1,"1,664.0",373.2,"1,192.4",98.4,,,
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,001,896",,,,,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,,,,
,City of Hartford,"124,203","1,590",24,47,758,761,"8,824","1,158","5,957","1,709",,,
,City of West Hartford,"61,077",110,0,1,59,50,"1,538",279,"1,157",102,,,
,City of East Hartford,"49,096",235,1,27,99,108,"1,757",286,"1,249",222,,,
,City of Middletown,"47,364",60,1,3,25,31,"1,472",222,"1,101",149,,,
,Total area actually reporting,98.1%,"3,133",38,177,"1,430","1,488","31,118","5,048","22,341","3,729",,,
,Estimated total,100.0%,"3,160",38,180,"1,442","1,500","31,551","5,119","22,665","3,767",,,
,"Rate per 100,000 inhabitants",,315.4,3.8,18.0,143.9,149.7,"3,149.1",510.9,"2,262.2",376.0,,,
"Hattiesburg, MS M.S.A.1",,"131,395",,,,,,,,,,,,
,"Includes Forrest, Lamar,1 and Perry Counties",,,,,,,,,,,,,
,City of Hattiesburg,"47,006",226,10,18,125,73,"2,777",816,"1,694",267,,,
,Total area actually reporting,75.2%,295,11,41,139,104,"3,733","1,162","2,243",328,,,
,Estimated total,100.0%,346,13,48,150,135,"4,438","1,352","2,665",421,,,
,"Rate per 100,000 inhabitants",,263.3,9.9,36.5,114.2,102.7,"3,377.6","1,029.0","2,028.2",320.4,,,
"Holland-Grand Haven, MI M.S.A.",,"254,770", ,,,,,,,,,,,
,Includes Ottawa County,,,,,,,,,,,,,
,City of Holland,"26,958",118,0,37,12,69,947,157,762,28,,,
,City of Grand Haven,"10,560",37,0,7,3,27,420,80,332,8,,,
,Total area actually reporting,97.2%,499,0,157,44,298,"4,863",993,"3,675",195,,,
,Estimated total,100.0%,521,0,160,49,312,"5,080","1,031","3,828",221,,,
,"Rate per 100,000 inhabitants",,204.5,0.0,62.8,19.2,122.5,"1,994.0",404.7,"1,502.5",86.7,,,
"Honolulu, HI M.S.A.",,"912,693",,,,,,,,,,,,
,Includes Honolulu County,,,,,,,,,,,,,
,City of Honolulu,"912,693","2,745",17,229,956,"1,543","38,310","5,482","26,540","6,288",,,
,Total area actually reporting,100.0%,"2,745",17,229,956,"1,543","38,310","5,482","26,540","6,288",,,
,"Rate per 100,000 inhabitants",,300.8,1.9,25.1,104.7,169.1,"4,197.5",600.6,"2,907.9",689.0,,,
"Hot Springs, AR M.S.A.",,"94,619",, ,,,,,,,,,,
,Includes Garland County,,,,,,,,,,,,,
,City of Hot Springs,"38,279",511,4,23,133,351,"4,614","1,162","3,215",237,,,
,Total area actually reporting,100.0%,615,5,38,146,426,"7,046","2,145","4,462",439,,,
,"Rate per 100,000 inhabitants",,650.0,5.3,40.2,154.3,450.2,"7,446.7","2,267.0","4,715.8",464.0,,,
"Houma-Bayou Cane-Thibodaux, LA M.S.A.",,"189,259",,,,,,,,,,,,
,Includes Lafourche and Terrebonne  Parishes,,,,,,,,,,,,,
,City of Houma,"30,431",337,4,21,69,243,"1,676",283,1311,82,,,
,City of Thibodaux,"13,657",131,1,11,26,93,616,107,502,7,,,
,Total area actually reporting,100.0%,"1,035",9,78,155,793,"7,202","1,412","5,266",524,,,
,"Rate per 100,000 inhabitants",,546.9,4.8,41.2,81.9,419.0,"3,805.4",746.1,"2,782.4",276.9,,,
"Houston-Sugar Land-Baytown, TX M.S.A.",,"5,429,705",,,,,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties ",,,,,,,,,,,,,
,City of Houston,"2,073,729","24,250",377,854,"11,371","11,648","121,053","26,869","73,091","21,093",,,
,City of Sugar Land,"77,901",101,0,6,45,50,"1,609",212,"1,322",75,,,
,City of Baytown,"70,309",350,3,46,137,164,"3,233",789,"2,115",329,,,
,City of Galveston,"59,094",593,4,120,166,303,"3,239",657,"2,278",304,,,
,Total area actually reporting,99.9%,"38,397",519,"1,881","15,181","20,816","223,826","52,388","139,572","31,866",,,
,Estimated total,100.0%,"38,398",519,"1,881","15,181","20,817","223,846","52,392","139,587","31,867",,,
,"Rate per 100,000 inhabitants",,707.2,9.6,34.6,279.6,383.4,"4,122.6",964.9,"2,570.8",586.9,,,
"Huntington-Ashland, WV-KY-OH M.S.A.",,"286,889",,,,,,,,,,,,
,"Includes Boyd and Greenup Counties, KY; Lawrence County, OH; and Cabell and Wayne Counties, WV",,,,,,,,,,,,,
,"City of Huntington, WV","49,242",349,0,45,180,124,"3,834","1,208","2,321",305,,,
,"City of Ashland, KY","21,678",69,1,16,20,32,"1,185",243,885,57,,,
,Total area actually reporting,93.7%,620,3,82,244,291,"8,768","2,335","5,798",635,,,
,Estimated total,100.0%,657,3,87,258,309,"9,332","2,442","6,221",669,,,
,"Rate per 100,000 inhabitants",,229.0,1.0,30.3,89.9,107.7,"3,252.8",851.2,"2,168.4",233.2,,,
"Huntsville, AL M.S.A.",,"371,995",,,,,,,,,,,,
,Includes Limestone and Madison Counties,,,,,,,,,,,,,
,City of Huntsville,"167,817","1,439",16,100,617,706,"11,495","2,493","7,643","1,359",,,
,Total area actually reporting,83.9%,"1,754",17,127,675,935,"14,708","3,402","9,654","1,652",,,
,Estimated total,100.0%,"2,005",20,146,769,1070,"17,101","3,886","11,383","1,832",,,
,"Rate per 100,000 inhabitants",,539.0,5.4,39.2,206.7,287.6,"4,597.1","1,044.6","3,060.0",492.5,,,
"Idaho Falls, ID M.S.A.",,"116,402",,,,,,,,,,,,
,Includes Bonneville and Jefferson Counties,,,,,,,,,,,,,
,City of Idaho Falls,"53,707",189,2,49,12,126,"2,048",458,"1,463",127,,,
,Total area actually reporting,100.0%,295,2,69,20,204,"3,258",693,"2,327",238,,,
,"Rate per 100,000 inhabitants",,253.4,1.7,59.3,17.2,175.3,"2,798.9",595.4,"1,999.1",204.5,,,
"Indianapolis-Carmel, IN M.S.A.",,"1,651,458",,,,,,,,,,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,,,,
,City of Indianapolis,"800,969","7,689",140,549,"3,249","3,751","49,599","11,734","28,929","8,936",,,
,City of Carmel,"59,635",26,0,6,13,7,"1,016",130,833,53,,,
,Total area actually reporting,83.4%,"8,642",151,641,"3,552","4,298","63,451","13,941","39,530","9,980",,,
,Estimated total,100.0%,"9,032",156,678,"3,633","4,565","68,963","15,085","43,426","10,452",,,
,"Rate per 100,000 inhabitants",,546.9,9.4,41.1,220.0,276.4,"4,175.9",913.4,"2,629.6",632.9,,,
"Iowa City, IA M.S.A.",,"139,260",,,,,,,,,,,,
,Includes Johnson and Washington Counties ,,,,,,,,,,,,,
,City of Iowa City,"63,221",211,0,30,39,142,"1,374",294,999,81,,,
,Total area actually reporting,94.8%,379,0,64,56,259,"2,746",529,"2,072",145,,,
,Estimated total,100.0%,394,0,66,58,270,"2,933",560,"2,220",153,,,
,"Rate per 100,000 inhabitants",,282.9,0.0,47.4,41.6,193.9,"2,106.1",402.1,"1,594.1",109.9,,,
"Ithaca, NY M.S.A.",,"100,286",, ,,,,,,,,, ,
,Includes Tompkins County,,,,,,,,,,,,,
,City of Ithaca,"29,846",62,0,4,28,30,"1,167",147,995,25,,,
,Total area actually reporting,98.4%,151,1,30,33,87,"2,539",329,"2,137",73,,,
,Estimated total,100.0%,154,1,30,34,89,"2,570",334,"2,162",74,,,
,"Rate per 100,000 inhabitants",,153.6,1.0,29.9,33.9,88.7,"2,562.7",333.0,"2,155.8",73.8,,,
"Jackson, MI M.S.A.",,"163,221",,,,,,,,,,,,
,Includes Jackson County,,,,,,,,,,,,,
,City of Jackson,"34,792",289,2,43,80,164,"2,308",371,"1,819",118,,,
,Total area actually reporting,98.6%,647,4,111,108,424,"5,020",995,"3,729",296,,,
,Estimated total,100.0%,654,4,112,110,428,"5,089","1,007","3,778",304,,,
,"Rate per 100,000 inhabitants",,400.7,2.5,68.6,67.4,262.2,"3,117.9",617.0,"2,314.7",186.3,,,
"Jackson, MS M.S.A.",,"520,697",,,,,,,,,,,,
,"Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties",,,,,,,,,,,,,
,City of Jackson,"177,334","1,736",40,160,"1,022",514,"13,208","3,817","7,534","1,857",,,
,Total area actually reporting,86.4%,"2,209",54,256,"1,138",761,"18,792","5,388","11,137","2,267",,,
,Estimated total,100.0%,"2,375",58,282,1193,842,"21,199","5,951","12,759","2,489",,,
,"Rate per 100,000 inhabitants",,456.1,11.1,54.2,229.1,161.7,"4,071.3","1,142.9","2,450.4",478.0,,,
"Jackson, TN M.S.A.",,"112,267",,,,,,,,,,,,
,Includes Chester and Madison Counties,,,,,,,,,,,,,
,City of Jackson,"62,889",785,11,28,189,557,"4,492","1,160","2,876",456,,,
,Total area actually reporting,100.0%,987,14,40,204,729,"5,796","1,527","3,719",550,,,
,"Rate per 100,000 inhabitants",,879.2,12.5,35.6,181.7,649.3,"5,162.7","1,360.2","3,312.6",489.9,,,
"Jacksonville, FL M.S.A.6",,"1,269,424",,,,,,,,,,,,
,"Includes Baker, Clay, Duval, Nassau,6 and St. Johns Counties",,,,,,,,,,,,,
,City of Jacksonville,"795,822","6,663",110,218,"2,304","4,031","43,103","9,615","29,167","4,321",,,
,Total area actually reporting,99.9%,,134,340,"2,624",,"57,396","12,806","39,305","5,285",,,
,Estimated total,100.0%,,134,340,"2,627",,"57,465","12,821","39,352","5,292",,,
,"Rate per 100,000 inhabitants",,,10.6,26.8,206.9,,"4,526.9","1,010.0","3,100.0",416.9,,,
"Jacksonville, NC M.S.A.1",,"155,482",,,,,,,,,,,,
,Includes Onslow County,,,,,,,,,,,,,
,City of Jacksonville1,"73,696",208,2,26,48,132,"2,002",408,"1,476",118,,,
,Total area actually reporting,100.0%,557,8,65,114,370,"4,932","1,374","3,220",338,,,
,"Rate per 100,000 inhabitants",,358.2,5.1,41.8,73.3,238.0,"3,172.1",883.7,"2,071.0",217.4,,,
"Janesville, WI M.S.A.",,"158,116",,,,,,,,,,,,
,Includes Rock County,,,,,,,,,,,,,
,City of Janesville,"62,189",134,0,43,42,49,"2,974",555,"2,315",104,,,
,Total area actually reporting,100.0%,372,4,67,132,169,"5,891","1,167","4,473",251,,,
,"Rate per 100,000 inhabitants",,235.3,2.5,42.4,83.5,106.9,"3,725.7",738.1,"2,828.9",158.7,,,
"Jefferson City, MO M.S.A.",,"144,919",,,,,,,,,,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,,,,
,City of Jefferson City,"39,348",324,2,19,40,263,"1,567",250,"1,241",76,,,
,Total area actually reporting,100.0%,533,4,39,58,432,"3,519",723,"2,585",211,,,
,"Rate per 100,000 inhabitants",,367.8,2.8,26.9,40.0,298.1,"2,428.3",498.9,"1,783.8",145.6,,,
"Johnson City, TN M.S.A.",,"191,348",,,,,,,,,,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,,,,
,City of Johnson City,"59,465",329,6,19,63,241,"3,397",701,"2,493",203,,,
,Total area actually reporting,100.0%,731,11,35,87,598,"6,336","1,585","4,381",370,,,
,"Rate per 100,000 inhabitants",,382.0,5.7,18.3,45.5,312.5,"3,311.2",828.3,"2,289.5",193.4,,,
"Johnstown, PA M.S.A.",,"148,204",,,,,,,,,,,,
,Includes Cambria County,,,,,,,,,,,,,
,City of Johnstown,"24,144",132,2,5,43,82,"1,017",266,704,47,,,
,Total area actually reporting,86.5%,315,6,21,65,223,"2,828",609,"2,079",140,,,
,Estimated total,100.0%,363,6,24,79,254,"3,256",673,"2,415",168,,,
,"Rate per 100,000 inhabitants",,244.9,4.0,16.2,53.3,171.4,"2,197.0",454.1,"1,629.5",113.4,,,
"Jonesboro, AR M.S.A.",,"113,363",,,,,,,,,,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,,,,
,City of Jonesboro,"60,035",467,3,39,88,337,"3,807","1,579","2,080",148,,,
,Total area actually reporting,100.0%,637,6,55,106,470,"5,446","2,192","3,036",218,,,
,"Rate per 100,000 inhabitants",,561.9,5.3,48.5,93.5,414.6,"4,804.0","1,933.6","2,678.1",192.3,,,
"Joplin, MO M.S.A.",,"167,393",,,,,,,,,,,,
,Includes Jasper and Newton Counties ,,,,,,,,,,,,,
,City of Joplin,"47,528",419,4,54,95,266,"3,887",733,"2,877",277,,,
,Total area actually reporting,100.0%,702,6,79,122,495,"7,194","1,495","5,158",541,,,
,"Rate per 100,000 inhabitants",,419.4,3.6,47.2,72.9,295.7,"4,297.7",893.1,"3,081.4",323.2,,,
"Kalamazoo-Portage, MI M.S.A.",,"318,553", ,,,,,,,,,,,
,Includes Kalamazoo and Van Buren Counties ,,,,,,,,,,,,,
,City of Kalamazoo,"72,519",737,5,55,238,439,"4,966","1,327","3,243",396,,,
,City of Portage,"45,164",122,0,27,24,71,"2,072",337,"1,664",71,,,
,Total area actually reporting,99.1%,"1,426",8,171,345,902,"12,907","3,213","8,855",839,,,
,Estimated total,100.0%,"1,434",8,172,347,907,"12,992","3,228","8,915",849,,,
,"Rate per 100,000 inhabitants",,450.2,2.5,54.0,108.9,284.7,"4,078.4","1,013.3","2,798.6",266.5,,,
"Kansas City, MO-KS M.S.A.1",,"1,961,734",,,,,,,,,,,,
,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO",,,,,,,,,,,,,
,"City of Kansas City, MO1","448,218","6,471",112,321,"2,044","3,994","31,100","7,399","18,186","5,515",,,
,"City of Overland Park, KS","165,975",332,0,48,63,221,"4,541",584,"3,571",386,,,
,"City of Kansas City, KS","145,229","1,245",45,91,439,670,"10,281","2,265","5,691","2,325",,,
,Total area actually reporting,99.9%,"11,689",174,858,"3,119","7,538","81,913","16,680","53,763","11,470",,,
,Estimated total,100.0%,"11,690",174,858,"3,119","7,539","81,922","16,681","53,770","11,471",,,
,"Rate per 100,000 inhabitants",,595.9,8.9,43.7,159.0,384.3,"4,176.0",850.3,"2,740.9",584.7,,,
"Kennewick-Richland-Pasco, WA M.S.A.",,"224,758",,,,,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,,,,
,City of Kennewick,"62,045",296,2,28,33,233,"2,651",484,"1,993",174,,,
,City of Richland,"45,078",100,0,10,14,76,"1,438",282,"1,069",87,,,
,City of Pasco,"47,293",159,3,19,34,103,"1,781",388,"1,199",194,,,
,Total area actually reporting,100.0%,651,6,69,89,487,"7,253","1,490","5,211",552,,,
,"Rate per 100,000 inhabitants",,289.6,2.7,30.7,39.6,216.7,"3,227.0",662.9,"2,318.5",245.6,,,
"Killeen-Temple-Fort Hood, TX M.S.A.7",,"361,489",,,,,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,,,,
,City of Killeen,"103,073",787,8,81,246,452,"5,471","2,121","3,108",242,,,
,City of Temple7,"57,018",,2,,62,90,"2,878",668,"2,045",165,,,
,Total area actually reporting,99.1%,,11,,362,741,"12,684","3,956","8,131",597,,,
,Estimated total,100.0%,,11,,364,747,"12,798","3,979","8,214",605,,,
,"Rate per 100,000 inhabitants",,,3.0,,100.7,206.6,"3,540.4","1,100.7","2,272.3",167.4,,,
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,"304,872",,,,,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,,,,
,"City of Kingsport, TN","44,691",387,3,29,79,276,"2,667",440,"2,062",165,,,
,"City of Bristol, TN","25,312",159,0,10,17,132,"1,432",229,"1,094",109,,,
,"City of Bristol, VA","17,508",97,3,9,16,69,800,121,630,49,,,
,Total area actually reporting,99.5%,"1,371",12,104,156,"1,099","10,652","2,365","7,552",735,,,
,Estimated total,100.0%,"1,378",12,105,158,"1,103","10,710","2,374","7,597",739,,,
,"Rate per 100,000 inhabitants",,452.0,3.9,34.4,51.8,361.8,"3,512.9",778.7,"2,491.9",242.4,,,
"Kingston, NY M.S.A.",,"183,182",,,,,,,,,,,,
,Includes Ulster County,,,,,,,,,,,,,
,City of Kingston,"23,129",89,1,11,43,34,798,147,625,26,,,
,Total area actually reporting,100.0%,513,5,50,77,381,"3,405",698,"2,553",154,,,
,"Rate per 100,000 inhabitants",,280.0,2.7,27.3,42.0,208.0,"1,858.8",381.0,"1,393.7",84.1,,,
"Knoxville, TN M.S.A.",,"663,737",, ,,,,,,,,,,
,"Includes Anderson, Blount, Knox, Loudon, and Union Counties",,,,,,,,,,,,,
,City of Knoxville,"182,421","1,894",18,89,538,"1,249","11,063","2,281","7,684","1,098",,,
