Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2013",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of El Paso,"679,700","2,522",10,176,457,"1,879","15,558","1,771","12,993",794
,Total area actually reporting,100.0%,"2,925",12,236,496,"2,181","18,331","2,364","15,006",961
,"Rate per 100,000 inhabitants",,347.3,1.4,28.0,58.9,258.9,"2,176.4",280.7,"1,781.6",114.1
"Erie, PA M.S.A.",,"280,450", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"100,814",457,3,60,175,219,"3,208","1,017","2,093",98
,Total area actually reporting,99.5%,684,4,89,227,364,"6,662","1,707","4,782",173
,Estimated total,100.0%,687,4,89,228,366,"6,689","1,711","4,804",174
,"Rate per 100,000 inhabitants",,245.0,1.4,31.7,81.3,130.5,"2,385.1",610.1,"1,713.0",62.0
"Eugene, OR M.S.A.",,"356,321",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"158,499",402,0,68,195,139,"7,920","1,539","5,773",608
,Total area actually reporting,99.1%,684,4,104,240,336,"13,100","2,537","9,564",999
,Estimated total,100.0%,691,4,105,242,340,"13,201","2,552","9,643","1,006"
,"Rate per 100,000 inhabitants",,193.9,1.1,29.5,67.9,95.4,"3,704.8",716.2,"2,706.3",282.3
"Fairbanks, AK M.S.A.",,"34,741", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,505",213,0,34,37,142,"1,269",116,"1,050",103
,Total area actually reporting,100.0%,237,0,35,41,161,"1,429",125,"1,190",114
,"Rate per 100,000 inhabitants",,682.2,0.0,100.7,118.0,463.4,"4,113.3",359.8,"3,425.3",328.1
"Fargo, ND-MN M.S.A.",,"222,166", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","111,101",446,3,71,58,314,"3,209",701,"2,342",166
,Total area actually reporting,100.0%,568,4,93,69,402,"5,068","1,098","3,694",276
,"Rate per 100,000 inhabitants",,255.7,1.8,41.9,31.1,180.9,"2,281.2",494.2,"1,662.7",124.2
"Farmington, NM M.S.A.",,"127,552", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"45,820",291,3,49,43,196,"1,674",297,"1,285",92
,Total area actually reporting,100.0%,625,6,94,60,465,"2,755",618,"1,969",168
,"Rate per 100,000 inhabitants",,490.0,4.7,73.7,47.0,364.6,"2,159.9",484.5,"1,543.7",131.7
"Fayetteville, NC M.S.A.",,"378,067", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"202,524","1,170",25,65,586,494,"12,261","3,279","8,351",631
,Total area actually reporting,100.0%,"1,853",30,86,767,970,"18,564","5,514","12,166",884
,"Rate per 100,000 inhabitants",,490.1,7.9,22.7,202.9,256.6,"4,910.2","1,458.5","3,217.9",233.8
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.",,"488,051", ,,,,, ,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
,"City of Fayetteville, AR","77,900",339,3,33,33,270,"3,171",538,"2,473",160
,"City of Springdale, AR","73,939",354,3,77,29,245,"2,651",473,"2,056",122
,"City of Rogers, AR","59,787",208,0,31,11,166,"1,709",225,"1,453",31
,"City of Bentonville, AR","39,132",61,0,12,2,47,686,117,557,12
,Total area actually reporting,98.8%,"1,607",12,262,88,"1,245","11,410","2,429","8,491",490
,Estimated total,100.0%,"1,633",12,265,91,"1,265","11,619","2,490","8,631",498
,"Rate per 100,000 inhabitants",,334.6,2.5,54.3,18.6,259.2,"2,380.7",510.2,"1,768.5",102.0
"Flagstaff, AZ M.S.A.",,"136,999", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"67,963",246,1,25,43,177,"2,869",220,"2,594",55
,Total area actually reporting,100.0%,451,3,57,54,337,"4,169",473,"3,594",102
,"Rate per 100,000 inhabitants",,329.2,2.2,41.6,39.4,246.0,"3,043.1",345.3,"2,623.4",74.5
"Flint, MI M.S.A.",,"416,606", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"99,941","1,907",48,145,447,"1,267","4,261","1,941","2,000",320
,Total area actually reporting,99.9%,"3,003",57,341,699,"1,906","12,411","4,574","7,053",784
,Estimated total,100.0%,"3,004",57,341,699,"1,907","12,420","4,576","7,059",785
,"Rate per 100,000 inhabitants",,721.1,13.7,81.9,167.8,457.7,"2,981.2","1,098.4","1,694.4",188.4
"Florence, SC M.S.A.",,"207,144", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,611",293,2,29,69,193,"2,936",456,"2,376",104
,Total area actually reporting,99.4%,979,11,87,163,718,"9,360","2,137","6,690",533
,Estimated total,100.0%,984,11,87,164,722,"9,410","2,146","6,729",535
,"Rate per 100,000 inhabitants",,475.0,5.3,42.0,79.2,348.5,"4,542.7","1,036.0","3,248.5",258.3
"Florence-Muscle Shoals, AL M.S.A.",,"146,880", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"39,481",207,3,28,56,120,"1,807",324,"1,380",103
,City of Muscle Shoals,"13,431",58,0,5,18,35,693,109,539,45
,Total area actually reporting,100.0%,520,5,72,93,350,"4,327",937,"3,103",287
,"Rate per 100,000 inhabitants",,354.0,3.4,49.0,63.3,238.3,"2,945.9",637.9,"2,112.6",195.4
"Fond du Lac, WI M.S.A.",,"101,960", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"43,042",154,1,31,11,111,"1,178",126,"1,021",31
,Total area actually reporting,100.0%,200,1,40,17,142,"1,651",250,"1,355",46
,"Rate per 100,000 inhabitants",,196.2,1.0,39.2,16.7,139.3,"1,619.3",245.2,"1,329.0",45.1
"Fort Collins, CO M.S.A.",,"315,907",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"150,066",357,0,57,37,263,"3,808",531,"3,137",140
,Total area actually reporting,100.0%,646,2,138,66,440,"6,812",934,"5,631",247
,"Rate per 100,000 inhabitants",,204.5,0.6,43.7,20.9,139.3,"2,156.3",295.7,"1,782.5",78.2
"Fort Smith, AR-OK M.S.A.",,"280,934", , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","87,821",606,4,79,94,429,"4,621",975,"3,447",199
,Total area actually reporting,100.0%,"1,122",6,129,116,871,"8,739","2,154","6,162",423
,"Rate per 100,000 inhabitants",,399.4,2.1,45.9,41.3,310.0,"3,110.7",766.7,"2,193.4",150.6
"Fort Wayne, IN M.S.A.",,"424,081", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"254,820",949,31,95,447,376,"9,807","2,396","7,025",386
,Total area actually reporting,94.6%,"1,109",34,121,496,458,"12,131","2,859","8,777",495
,Estimated total,100.0%,"1,129",34,124,499,472,"12,422","2,939","8,967",516
,"Rate per 100,000 inhabitants",,266.2,8.0,29.2,117.7,111.3,"2,929.2",693.0,"2,114.5",121.7
"Fresno, CA M.S.A.",,"954,305", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"508,876","2,552",40,53,903,"1,556","22,584","5,223","13,304","4,057"
,Total area actually reporting,100.0%,"4,868",57,163,"1,221","3,427","36,698","9,102","21,257","6,339"
,"Rate per 100,000 inhabitants",,510.1,6.0,17.1,127.9,359.1,"3,845.5",953.8,"2,227.5",664.3
"Gadsden, AL M.S.A.",,"104,345", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"36,610",424,6,47,104,267,"2,934",830,"1,904",200
,Total area actually reporting,93.2%,576,8,80,112,376,"4,157","1,274","2,601",282
,Estimated total,100.0%,607,8,83,119,397,"4,442","1,337","2,805",300
,"Rate per 100,000 inhabitants",,581.7,7.7,79.5,114.0,380.5,"4,257.0","1,281.3","2,688.2",287.5
"Gainesville, FL M.S.A.",,"270,523", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"126,589",806,6,62,155,583,"4,986",742,"4,000",244
,Total area actually reporting,100.0%,"1,466",10,115,238,"1,103","8,009","1,548","6,095",366
,"Rate per 100,000 inhabitants",,541.9,3.7,42.5,88.0,407.7,"2,960.6",572.2,"2,253.0",135.3
"Gainesville, GA M.S.A.",,"187,290", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"35,111",115,1,21,39,54,"1,505",209,"1,230",66
,Total area actually reporting,100.0%,293,7,45,69,172,"4,198",901,"3,005",292
,"Rate per 100,000 inhabitants",,156.4,3.7,24.0,36.8,91.8,"2,241.4",481.1,"1,604.5",155.9
"Gettysburg, PA M.S.A.3",,"101,443", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,653",27,0,8,8,11,141,28,110,3
,Total area actually reporting,99.4%,99,0,25,17,57,"1,272",289,943,40
,Estimated total,100.0%,100,0,25,17,58,"1,283",291,952,40
,"Rate per 100,000 inhabitants",,98.6,0.0,24.6,16.8,57.2,"1,264.7",286.9,938.5,39.4
"Glens Falls, NY M.S.A.",,"128,459", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,582",22,0,2,3,17,343,50,288,5
,Total area actually reporting,100.0%,126,1,16,13,96,"2,051",344,"1,676",31
,"Rate per 100,000 inhabitants",,98.1,0.8,12.5,10.1,74.7,"1,596.6",267.8,"1,304.7",24.1
"Goldsboro, NC M.S.A.",,"125,081", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"37,230",283,5,3,67,208,"2,344",571,"1,670",103
,Total area actually reporting,97.7%,482,8,5,102,367,"4,445","1,392","2,831",222
,Estimated total,100.0%,489,8,5,104,372,"4,545","1,413","2,906",226
,"Rate per 100,000 inhabitants",,390.9,6.4,4.0,83.1,297.4,"3,633.6","1,129.7","2,323.3",180.7
"Grand Forks, ND-MN M.S.A.",,"100,500", ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","53,625",144,0,30,25,89,"1,343",191,"1,084",68
,Total area actually reporting,100.0%,210,1,54,27,128,"2,140",351,"1,681",108
,"Rate per 100,000 inhabitants",,209.0,1.0,53.7,26.9,127.4,"2,129.4",349.3,"1,672.6",107.5
"Grand Island, NE M.S.A.",,"84,159", ,,,,, ,,,
,"Includes Hall, Hamilton, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"50,441",136,1,36,8,91,"2,389",526,"1,759",104
,Total area actually reporting,92.4%,150,1,39,9,101,"2,817",665,"2,030",122
,Estimated total,100.0%,156,1,41,10,104,"2,900",680,"2,092",128
,"Rate per 100,000 inhabitants",,185.4,1.2,48.7,11.9,123.6,"3,445.9",808.0,"2,485.8",152.1
"Grand Junction, CO M.S.A.",,"149,245", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"60,167",262,2,63,48,149,"2,552",298,"2,141",113
,Total area actually reporting,99.5%,464,4,136,54,270,"3,830",558,"3,087",185
,Estimated total,100.0%,465,4,136,54,271,"3,847",560,"3,101",186
,"Rate per 100,000 inhabitants",,311.6,2.7,91.1,36.2,181.6,"2,577.6",375.2,"2,077.8",124.6
"Grand Rapids-Wyoming, MI M.S.A.",,"1,012,133", ,,,,, ,,,
,"Includes Barry, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,"191,213","1,326",17,82,471,756,"6,188","1,621","4,315",252
,City of Wyoming,"73,786",309,0,59,68,182,"1,647",392,"1,140",115
,Total area actually reporting,99.4%,"3,039",24,669,651,"1,695","19,641","4,454","14,464",723
,Estimated total,100.0%,"3,057",24,672,655,"1,706","19,779","4,482","14,563",734
,"Rate per 100,000 inhabitants",,302.0,2.4,66.4,64.7,168.6,"1,954.2",442.8,"1,438.8",72.5
"Grants Pass, OR M.S.A.",,"83,162", ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,"34,865",110,1,11,35,63,"2,557",477,"1,844",236
,Total area actually reporting,100.0%,136,3,11,37,85,"3,364",772,"2,229",363
,"Rate per 100,000 inhabitants",,163.5,3.6,13.2,44.5,102.2,"4,045.1",928.3,"2,680.3",436.5
"Great Falls, MT M.S.A.",,"82,197", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"58,940",149,0,30,18,101,"2,683",393,"2,186",104
,Total area actually reporting,100.0%,184,0,35,19,130,"2,947",451,"2,374",122
,"Rate per 100,000 inhabitants",,223.9,0.0,42.6,23.1,158.2,"3,585.3",548.7,"2,888.2",148.4
"Greeley, CO M.S.A.",,"268,670", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"96,111",491,2,74,68,347,"3,219",475,"2,558",186
,Total area actually reporting,97.6%,782,2,116,81,583,"5,139",869,"3,930",340
,Estimated total,100.0%,795,2,119,83,591,"5,297",889,"4,056",352
,"Rate per 100,000 inhabitants",,295.9,0.7,44.3,30.9,220.0,"1,971.6",330.9,"1,509.7",131.0
"Green Bay, WI M.S.A.",,"312,769", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"105,107",500,2,52,79,367,"2,674",575,"2,001",98
,Total area actually reporting,89.5%,622,2,72,102,446,"5,325",947,"4,221",157
,Estimated total,100.0%,644,2,76,105,461,"5,669","1,024","4,474",171
,"Rate per 100,000 inhabitants",,205.9,0.6,24.3,33.6,147.4,"1,812.5",327.4,"1,430.4",54.7
"Greensboro-High Point, NC M.S.A.",,"742,007", ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties",,,,,,,,,,
,City of Greensboro,"279,343","1,449",27,70,496,856,"11,537","2,972","8,063",502
,City of High Point,"107,261",556,2,30,178,346,"4,489","1,206","2,970",313
,Total area actually reporting,99.8%,"2,554",35,136,795,"1,588","25,542","7,241","17,130","1,171"
,Estimated total,100.0%,"2,557",35,136,796,"1,590","25,588","7,251","17,164","1,173"
,"Rate per 100,000 inhabitants",,344.6,4.7,18.3,107.3,214.3,"3,448.5",977.2,"2,313.2",158.1
"Greenville, NC M.S.A.",,"174,355", ,,,,, ,,,
,Includes Pitt County,,,,,,,,,,
,City of Greenville,"88,018",555,7,20,175,353,"3,862","1,157","2,573",132
,Total area actually reporting,98.6%,792,11,33,223,525,"5,834","1,742","3,891",201
,Estimated total,100.0%,799,11,33,225,530,"5,923","1,761","3,958",204
,"Rate per 100,000 inhabitants",,458.3,6.3,18.9,129.0,304.0,"3,397.1","1,010.0","2,270.1",117.0
"Greenville-Anderson-Mauldin, SC M.S.A.",,"852,405", ,,,,, ,,,
,"Includes Anderson, Greenville, Laurens, and Pickens Counties",,,,,,,,,,
,City of Greenville,"61,185",455,3,35,118,299,"3,261",666,"2,384",211
,City of Anderson,"26,812",278,2,21,43,212,"2,417",510,"1,767",140
,City of Mauldin,"24,099",40,0,10,8,22,410,75,302,33
,City of Easley,"20,115",75,1,4,10,60,"1,291",165,"1,066",60
,Total area actually reporting,99.9%,"4,788",46,478,738,"3,526","34,269","8,622","23,050","2,597"
,Estimated total,100.0%,"4,793",46,478,739,"3,530","34,319","8,631","23,089","2,599"
,"Rate per 100,000 inhabitants",,562.3,5.4,56.1,86.7,414.1,"4,026.1","1,012.5","2,708.7",304.9
"Gulfport-Biloxi-Pascagoula, MS M.S.A.",,"382,406",,,,,,,,,
,"Included Hancock, Harrison, and Jackson Counties",, ,,,,,,,,
,City of Gulfport,"70,863",153,1,18,64,70,"3,449",654,"2,670",125
,City of Biloxi,"44,744",213,3,36,90,84,"2,316",703,"1,482",131
,City of Pascagoula,"22,217",130,2,20,26,82,"1,465",304,"1,116",45
,Total area actually reporting,98.3%,"1,070",12,136,278,644,"13,674","3,588","9,355",731
,Estimated total,100.0%,"1,085",12,137,282,654,"13,862","3,639","9,485",738
,"Rate per 100,000 inhabitants",,283.7,3.1,35.8,73.7,171.0,"3,624.9",951.6,"2,480.3",193.0
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"257,750",,,,,,,,,
,"Includes Washington County, MD and Berkeley County, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,866",244,5,10,101,128,"1,498",375,"1,051",72
,"City of Martinsburg, WV","17,589",70,1,8,27,34,827,97,702,28
,Total area actually reporting,100.0%,600,8,48,181,363,"5,727","1,332","4,125",270
,"Rate per 100,000 inhabitants",,232.8,3.1,18.6,70.2,140.8,"2,221.9",516.8,"1,600.4",104.8
"Hammond, LA M.S.A.",,"124,208",,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,"20,162",251,3,14,77,157,"2,305",902,"1,322",81
,Total area actually reporting,100.0%,"1,087",12,57,156,862,"6,957","2,421","4,210",326
,"Rate per 100,000 inhabitants",,875.1,9.7,45.9,125.6,694.0,"5,601.1","1,949.1","3,389.5",262.5
"Hanford-Corcoran, CA M.S.A.",,"151,256",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"54,425",299,2,10,63,224,"1,939",345,"1,401",193
,City of Corcoran,"23,290",71,0,2,10,59,364,103,215,46
,Total area actually reporting,100.0%,725,6,35,123,561,"3,723",858,"2,413",452
,"Rate per 100,000 inhabitants",,479.3,4.0,23.1,81.3,370.9,"2,461.4",567.3,"1,595.3",298.8
"Harrisonburg, VA M.S.A.",,"129,689", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"51,767",106,1,18,16,71,"1,367",206,"1,126",35
,Total area actually reporting,100.0%,166,1,34,17,114,"2,022",361,"1,603",58
,"Rate per 100,000 inhabitants",,128.0,0.8,26.2,13.1,87.9,"1,559.1",278.4,"1,236.0",44.7
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,023,807",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"124,927","1,473",23,53,557,840,"5,036",981,"3,416",639
,City of West Hartford,"63,276",45,0,2,35,8,"1,379",176,"1,120",83
,City of East Hartford,"51,275",182,1,31,63,87,"1,445",327,998,120
,City of Middletown,"47,221",60,0,12,22,26,827,87,666,74
,Total area actually reporting,100.0%,"2,706",35,259,"1,046","1,366","22,530","3,998","16,853","1,679"
,"Rate per 100,000 inhabitants",,264.3,3.4,25.3,102.2,133.4,"2,200.6",390.5,"1,646.1",164.0
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",,"196,780",,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,"13,047",49,0,2,13,34,379,61,300,18
,City of Beaufort,"12,918",153,0,6,28,119,804,126,659,19
,Total area actually reporting,100.0%,955,6,84,134,731,"5,675","1,321","4,077",277
,"Rate per 100,000 inhabitants",,485.3,3.0,42.7,68.1,371.5,"2,883.9",671.3,"2,071.9",140.8
"Hinesville, GA M.S.A.",,"82,962",,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,"35,311",120,3,8,42,67,"1,444",351,"1,035",58
,Total area actually reporting,100.0%,230,5,16,51,158,"2,259",651,"1,499",109
,"Rate per 100,000 inhabitants",,277.2,6.0,19.3,61.5,190.4,"2,722.9",784.7,"1,806.9",131.4
"Homosassa Springs, FL M.S.A.",,"139,242",,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,97.8%,528,5,45,65,413,"2,649",631,"1,911",107
,Estimated total,100.0%,542,5,46,69,422,"2,755",653,"1,989",113
,"Rate per 100,000 inhabitants",,389.3,3.6,33.0,49.6,303.1,"1,978.6",469.0,"1,428.4",81.2
"Hot Springs, AR M.S.A.",,"97,163",,,,,,,,,
,Includes Garland County,,,,,,,,,,
,City of Hot Springs,"35,551",140,7,25,57,51,"3,181",721,"2,294",166
,Total area actually reporting,100.0%,459,9,70,74,306,"5,178","1,547","3,370",261
,"Rate per 100,000 inhabitants",,472.4,9.3,72.0,76.2,314.9,"5,329.2","1,592.2","3,468.4",268.6
"Houma-Thibodaux, LA M.S.A.",,"209,328",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"33,717",204,5,16,67,116,"1,574",243,"1,272",59
,City of Thibodaux,"14,544",68,1,4,7,56,683,93,577,13
,Total area actually reporting,100.0%,626,23,41,130,432,"6,740","1,414","5,087",239
,"Rate per 100,000 inhabitants",,299.1,11.0,19.6,62.1,206.4,"3,219.8",675.5,"2,430.2",114.2
"Houston-The Woodlands-Sugar Land, TX M.S.A.",,"6,281,279",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",,,,,,,,,,
,City of Houston,"2,180,606","20,993",214,618,"9,891","10,270","110,919","23,733","73,591","13,595"
,City of Sugar Land,"83,460",108,1,6,35,66,"1,613",256,"1,311",46
,City of Baytown,"73,709",285,4,19,126,136,"3,653",916,"2,373",364
,City of Conroe,"62,962",216,1,29,60,126,"2,071",416,"1,550",105
,Total area actually reporting,99.9%,"35,111",373,"1,441","14,656","18,641","219,127","49,637","146,193","23,297"
,Estimated total,100.0%,"35,112",373,"1,441","14,656","18,642","219,139","49,639","146,202","23,298"
,"Rate per 100,000 inhabitants",,559.0,5.9,22.9,233.3,296.8,"3,488.8",790.3,"2,327.6",370.9
"Huntsville, AL M.S.A.",,"434,500", ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,"184,738","1,507",24,87,391,"1,005","9,216","1,884","6,629",703
,Total area actually reporting,100.0%,"2,101",27,187,466,"1,421","14,581","3,190","10,393",998
,"Rate per 100,000 inhabitants",,483.5,6.2,43.0,107.2,327.0,"3,355.8",734.2,"2,391.9",229.7
"Idaho Falls, ID M.S.A.",,"137,561", ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,"58,188",124,0,31,19,74,"1,623",304,"1,210",109
,Total area actually reporting,100.0%,218,3,48,24,143,"2,527",535,"1,828",164
,"Rate per 100,000 inhabitants",,158.5,2.2,34.9,17.4,104.0,"1,837.0",388.9,"1,328.9",119.2
"Indianapolis-Carmel-Anderson, IN M.S.A.2",,"1,946,607", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,"850,220","10,479",129,656,"3,800","5,894","44,606","13,445","26,156","5,005"
,City of Carmel,"84,880",20,0,4,11,5,744,128,573,43
,City of Anderson,"55,367",200,5,36,103,56,"2,664",605,"1,829",230
,Total area actually reporting,86.8%,,141,767,"4,056",,"61,601","16,199","39,292","6,110"
,Estimated total,100.0%,,148,807,"4,162",,"67,521","17,235","43,790","6,496"
,"Rate per 100,000 inhabitants",,,7.6,41.5,213.8,,"3,468.7",885.4,"2,249.6",333.7
"Iowa City, IA M.S.A.",,"160,439", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"70,855",228,0,28,56,144,"1,850",357,"1,411",82
,Total area actually reporting,99.9%,473,0,88,71,314,"3,178",576,"2,465",137
,Estimated total,100.0%,473,0,88,71,314,"3,179",576,"2,466",137
,"Rate per 100,000 inhabitants",,294.8,0.0,54.8,44.3,195.7,"1,981.4",359.0,"1,537.0",85.4
"Jackson, MI M.S.A.",,"160,498", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,"33,378",370,4,59,61,246,"1,732",433,"1,220",79
,Total area actually reporting,96.9%,637,5,134,80,418,"3,843",869,"2,827",147
,Estimated total,100.0%,651,5,136,83,427,"3,958",892,"2,910",156
,"Rate per 100,000 inhabitants",,405.6,3.1,84.7,51.7,266.0,"2,466.1",555.8,"1,813.1",97.2
"Jackson, MS M.S.A.",,"579,868", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, Simpson, and Yazoo Counties",,,,,,,,,,
,City of Jackson,"176,039","1,631",50,110,845,626,"10,284","3,366","5,864","1,054"
,Total area actually reporting,83.7%,"2,011",57,140,954,860,"15,166","4,668","9,167","1,331"
,Estimated total,100.0%,"2,191",58,154,995,984,"17,331","5,277","10,615","1,439"
,"Rate per 100,000 inhabitants",,377.8,10.0,26.6,171.6,169.7,"2,988.8",910.0,"1,830.6",248.2
"Jackson, TN M.S.A.",,"130,702", ,,,,, ,,,
,"Includes Chester, Crockett, and Madison Counties",,,,,,,,,,
,City of Jackson,"67,371",925,11,40,151,723,"3,455",815,"2,484",156
,Total area actually reporting,100.0%,"1,209",11,58,168,972,"4,775","1,263","3,276",236
,"Rate per 100,000 inhabitants",,925.0,8.4,44.4,128.5,743.7,"3,653.3",966.3,"2,506.5",180.6
"Jacksonville, FL M.S.A.",,"1,392,914", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"845,745","5,246",93,452,"1,424","3,277","33,007","7,069","24,361","1,577"
,Total area actually reporting,100.0%,"6,904",99,583,"1,646","4,576","44,974","9,453","33,478","2,043"
,"Rate per 100,000 inhabitants",,495.7,7.1,41.9,118.2,328.5,"3,228.8",678.6,"2,403.5",146.7
"Janesville-Beloit, WI M.S.A.",,"160,586", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,603",166,0,41,25,100,"1,943",330,"1,576",37
,City of Beloit,"36,817",129,1,16,36,76,"1,195",320,830,45
,Total area actually reporting,100.0%,368,2,69,70,227,"3,986",899,"2,969",118
,"Rate per 100,000 inhabitants",,229.2,1.2,43.0,43.6,141.4,"2,482.2",559.8,"1,848.9",73.5
"Jefferson City, MO M.S.A.",,"150,542", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,"43,193",200,0,7,36,157,"1,446",235,"1,162",49
,Total area actually reporting,100.0%,426,2,19,54,351,"3,243",709,"2,418",116
,"Rate per 100,000 inhabitants",,283.0,1.3,12.6,35.9,233.2,"2,154.2",471.0,"1,606.2",77.1
"Johnson City, TN M.S.A.",,"201,439", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"64,928",297,2,23,50,222,"2,572",399,"2,097",76
,Total area actually reporting,100.0%,660,7,46,70,537,"5,157","1,146","3,828",183
,"Rate per 100,000 inhabitants",,327.6,3.5,22.8,34.7,266.6,"2,560.1",568.9,"1,900.3",90.8
"Johnstown, PA M.S.A.",,"140,876", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"21,954",129,7,2,44,76,802,277,497,28
,Total area actually reporting,100.0%,253,12,15,67,159,"2,540",600,"1,853",87
,"Rate per 100,000 inhabitants",,179.6,8.5,10.6,47.6,112.9,"1,803.0",425.9,"1,315.3",61.8
"Jonesboro, AR M.S.A.",,"125,041", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"71,114",313,2,36,58,217,"2,995",979,"1,930",86
,Total area actually reporting,97.4%,440,2,63,65,310,"4,321","1,390","2,815",116
,Estimated total,100.0%,454,2,64,67,321,"4,436","1,423","2,892",121
