Table 4,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2016",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,476.7,5.1,37.2,166.9,267.5,"2,386.2",434.5,"1,532.0",419.7
"Anaheim-Santa Ana-Irvine, CA M.D.",,"3,179,276",,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,100.0%," 7,275 ", 57 , 810 ," 2,136 "," 4,272 "," 66,054 "," 11,025 "," 46,507 "," 8,522 "
,"Rate per 100,000 inhabitants",,228.8,1.8,25.5,67.2,134.4,"2,077.6",346.8,"1,462.8",268.0
"Los Angeles-Long Beach-Glendale, CA M.D.",,"10,170,868",,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,100.0%," 56,371 ", 622 ," 4,158 "," 20,152 "," 31,439 "," 252,505 "," 46,979 "," 158,015 "," 47,511 "
,"Rate per 100,000 inhabitants",,554.2,6.1,40.9,198.1,309.1,"2,482.6",461.9,"1,553.6",467.1
"Louisville/Jefferson County, KY-IN M.S.A.",,"1,285,169", ,,,,, ,,,
,"Includes Clark, Floyd, Harrison, Scott, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY","683,825"," 4,621 ", 119 , 196 ," 1,514 "," 2,792 "," 30,254 "," 5,907 "," 19,983 "," 4,364 "
,Total area actually reporting,94.2%," 5,502 ", 131 , 291 ," 1,787 "," 3,293 "," 42,026 "," 7,908 "," 28,544 "," 5,574 "
,Estimated total,100.0%," 5,627 ", 134 , 305 ," 1,807 "," 3,381 "," 43,168 "," 8,132 "," 29,361 "," 5,675 "
,"Rate per 100,000 inhabitants",,437.8,10.4,23.7,140.6,263.1,"3,358.9",632.8,"2,284.6",441.6
"Lubbock, TX M.S.A.2",,"314,167", ,,,,, ,,,
,"Includes Crosby, Lubbock, and Lynn Counties",,,,,,,,,,
,City of Lubbock,"252,900"," 2,741 ", 6 , 177 , 471 ," 2,087 "," 12,661 "," 2,678 "," 8,933 "," 1,050 "
,Total area actually reporting,98.8%," 2,894 ", 9 , 200 , 488 ," 2,197 "," 14,117 "," 2,983 "," 9,980 "," 1,154 "
,Estimated total,100.0%," 2,904 ", 9 , 202 , 490 ," 2,203 "," 14,210 "," 2,998 "," 10,051 "," 1,161 "
,"Rate per 100,000 inhabitants",,924.3,2.9,64.3,156.0,701.2,"4,523.1",954.3,"3,199.3",369.5
"Lynchburg, VA M.S.A.",,"259,926", ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,
,City of Lynchburg,"80,215", 298 , 2 , 33 , 57 , 206 ," 1,802 ", 262 ," 1,428 ", 112 
,Total area actually reporting,100.0%, 530 , 12 , 83 , 78 , 357 ," 3,739 ", 546 ," 2,995 ", 198 
,"Rate per 100,000 inhabitants",,203.9,4.6,31.9,30.0,137.3,"1,438.5",210.1,"1,152.3",76.2
"Macon-Bibb County, GA M.S.A.",,"229,434", ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,Total area actually reporting,99.6%, 872 , 18 , 61 , 279 , 514 ," 9,457 "," 2,289 "," 6,452 ", 716 
,Estimated total,100.0%, 876 , 18 , 61 , 280 , 517 ," 9,496 "," 2,295 "," 6,482 ", 719 
,"Rate per 100,000 inhabitants",,381.8,7.8,26.6,122.0,225.3,"4,138.9","1,000.3","2,825.2",313.4
"Madera, CA M.S.A.",,"154,726", ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,"64,753", 505 , 3 , 22 , 98 , 382 ," 1,859 ", 297 ," 1,262 ", 300 
,Total area actually reporting,100.0%," 1,024 ", 7 , 51 , 124 , 842 ," 3,705 ", 978 ," 2,155 ", 572 
,"Rate per 100,000 inhabitants",,661.8,4.5,33.0,80.1,544.2,"2,394.6",632.1,"1,392.8",369.7
"Madison, WI M.S.A.2",,"647,587", ,,,,, ,,,
,"Includes Columbia, Dane, Green, and Iowa Counties",,,,,,,,,,
,City of Madison,"252,136", 832 , 8 , 125 , 235 , 464 ," 6,932 "," 1,014 "," 5,544 ", 374 
,Total area actually reporting,98.8%," 1,304 ", 13 , 198 , 309 , 784 ," 12,263 "," 1,720 "," 9,959 ", 584 
,Estimated total,100.0%," 1,313 ", 13 , 199 , 311 , 790 ," 12,406 "," 1,736 "," 10,080 ", 590 
,"Rate per 100,000 inhabitants",,202.8,2.0,30.7,48.0,122.0,"1,915.7",268.1,"1,556.5",91.1
"Manchester-Nashua, NH M.S.A.",,"408,233",,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,"110,353", 742 , 5 , 69 , 205 , 463 ," 3,010 ", 456 ," 2,408 ", 146 
,City of Nashua,"88,252", 151 , 0 , 48 , 26 , 77 ," 1,218 ", 122 ," 1,039 ", 57 
,Total area actually reporting,98.7%," 1,089 ", 5 , 160 , 248 , 676 ," 6,162 ", 846 ," 5,031 ", 285 
,Estimated total,100.0%," 1,096 ", 5 , 162 , 249 , 680 ," 6,228 ", 855 ," 5,085 ", 288 
,"Rate per 100,000 inhabitants",,268.5,1.2,39.7,61.0,166.6,"1,525.6",209.4,"1,245.6",70.5
"Manhattan, KS M.S.A.",,"99,113",,,,,,,,,
,Includes Pottawatomie and Riley Counties,, ,,,,,,,,
,Total area actually reporting,100.0%, 257 , 1 , 49 , 22 , 185 ," 1,607 ", 250 ," 1,268 ", 89 
,"Rate per 100,000 inhabitants",,259.3,1.0,49.4,22.2,186.7,"1,621.4",252.2,"1,279.3",89.8
"Mankato-North Mankato, MN M.S.A.",,"99,481",,,,,,,,,
,Includes Blue Earth and Nicollet Counties,, ,,,,,,,,
,City of Mankato,"41,300", 112 , 1 , 27 , 23 , 61 ," 1,329 ", 223 ," 1,057 ", 49 
,City of North Mankato,"13,553", 7 , 0 , 0 , 0 , 7 , 149 , 30 , 116 , 3 
,Total area actually reporting,100.0%, 153 , 2 , 37 , 26 , 88 ," 1,878 ", 368 ," 1,432 ", 78 
,"Rate per 100,000 inhabitants",,153.8,2.0,37.2,26.1,88.5,"1,887.8",369.9,"1,439.5",78.4
"Mansfield, OH M.S.A.",,"121,064",,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,"46,656", 209 , 3 , 58 , 63 , 85 ," 2,605 ", 679 ," 1,805 ", 121 
,Total area actually reporting,99.3%, 290 , 6 , 90 , 73 , 121 ," 4,437 "," 1,205 "," 3,084 ", 148 
,Estimated total,100.0%, 291 , 6 , 90 , 73 , 122 ," 4,457 "," 1,208 "," 3,100 ", 149 
,"Rate per 100,000 inhabitants",,240.4,5.0,74.3,60.3,100.8,"3,681.5",997.8,"2,560.6",123.1
"McAllen-Edinburg-Mission, TX M.S.A.2",,"853,003",,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,"142,227", 215 , 3 , 40 , 65 , 107 ," 4,470 ", 331 ," 4,022 ", 117 
,City of Edinburg,"86,535", 354 , 3 , 61 , 51 , 239 ," 4,183 ", 545 ," 3,481 ", 157 
,City of Mission,"84,380", 120 , 0 , 36 , 40 , 44 ," 2,179 ", 358 ," 1,707 ", 114 
,Total area actually reporting,99.3%," 2,505 ", 22 , 417 , 444 ," 1,622 "," 24,130 "," 3,939 "," 19,095 "," 1,096 "
,Estimated total,100.0%," 2,522 ", 22 , 420 , 448 ," 1,632 "," 24,276 "," 3,962 "," 19,207 "," 1,107 "
,"Rate per 100,000 inhabitants",,295.7,2.6,49.2,52.5,191.3,"2,845.9",464.5,"2,251.7",129.8
"Medford, OR M.S.A.",,"215,751", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,"80,794", 407 , 1 , 31 , 115 , 260 ," 5,688 ", 486 ," 4,793 ", 409 
,Total area actually reporting,100.0%, 772 , 5 , 73 , 150 , 544 ," 9,339 "," 1,067 "," 7,602 ", 670 
,"Rate per 100,000 inhabitants",,357.8,2.3,33.8,69.5,252.1,"4,328.6",494.6,"3,523.5",310.5
"Memphis, TN-MS-AR M.S.A.",,"1,346,931", ,,,,, ,,,
,"Includes Crittenden County, AR; Benton, DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN","656,434"," 11,947 ", 196 , 534 ," 3,188 "," 8,029 "," 36,988 "," 9,150 "," 24,604 "," 3,234 "
,Total area actually reporting,97.3%," 14,524 ", 248 , 730 ," 3,618 "," 9,928 "," 51,468 "," 12,430 "," 34,899 "," 4,139 "
,Estimated total,100.0%," 14,575 ", 249 , 736 ," 3,628 "," 9,962 "," 52,102 "," 12,585 "," 35,333 "," 4,184 "
,"Rate per 100,000 inhabitants",,"1,082.1",18.5,54.6,269.4,739.6,"3,868.2",934.3,"2,623.2",310.6
"Merced, CA M.S.A.",,"268,999", ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,"83,106", 489 , 1 , 35 , 134 , 319 ," 2,774 ", 558 ," 1,617 ", 599 
,Total area actually reporting,100.0%," 1,488 ", 6 , 79 , 238 ," 1,165 "," 7,658 "," 1,830 "," 4,395 "," 1,433 "
,"Rate per 100,000 inhabitants",,553.2,2.2,29.4,88.5,433.1,"2,846.9",680.3,"1,633.8",532.7
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",,"6,113,688",,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Delray Beach",,,,,,,,,,
,City of Miami,"449,469"," 3,989 ", 55 , 90 ," 1,443 "," 2,401 "," 18,974 "," 2,643 "," 14,335 "," 1,996 "
,City of Fort Lauderdale,"181,218"," 1,144 ", 18 , 71 , 483 , 572 ," 10,630 "," 1,856 "," 7,856 ", 918 
,City of West Palm Beach,"108,074", 954 , 10 , 71 , 333 , 540 ," 5,599 ", 946 ," 4,100 ", 553 
,City of Pompano Beach,"109,362", 931 , 7 , 77 , 344 , 503 ," 5,205 ", 903 ," 3,738 ", 564 
,City of Miami Beach,"93,165", 940 , 7 , 57 , 345 , 531 ," 8,419 ", 603 ," 7,251 ", 565 
,City of Boca Raton,"94,931", 239 , 1 , 22 , 105 , 111 ," 2,495 ", 507 ," 1,831 ", 157 
,City of Deerfield Beach,"80,713", 277 , 2 , 33 , 93 , 149 ," 2,193 ", 376 ," 1,597 ", 220 
,City of Delray Beach,"67,400", 387 , 5 , 31 , 125 , 226 ," 2,842 ", 385 ," 2,218 ", 239 
,City of Jupiter,"64,273", 147 , 0 , 15 , 40 , 92 ," 1,261 ", 163 ," 1,038 ", 60 
,Total area actually reporting,100.0%," 29,720 ", 355 ," 1,866 "," 9,299 "," 18,200 "," 196,533 "," 28,357 "," 150,604 "," 17,572 "
,"Rate per 100,000 inhabitants",,486.1,5.8,30.5,152.1,297.7,"3,214.6",463.8,"2,463.4",287.4
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,930,253",,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,100.0%," 7,550 ", 81 , 559 ," 2,715 "," 4,195 "," 58,871 "," 8,813 "," 44,436 "," 5,622 "
,"Rate per 100,000 inhabitants",,391.1,4.2,29.0,140.7,217.3,"3,049.9",456.6,"2,302.1",291.3
"Miami-Miami Beach-Kendall, FL M.D.",,"2,737,194",,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,100.0%," 15,635 ", 198 , 796 ," 4,831 "," 9,810 "," 95,584 "," 11,774 "," 75,242 "," 8,568 "
,"Rate per 100,000 inhabitants",,571.2,7.2,29.1,176.5,358.4,"3,492.0",430.1,"2,748.9",313.0
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",,"1,446,241",,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,100.0%," 6,535 ", 76 , 511 ," 1,753 "," 4,195 "," 42,078 "," 7,770 "," 30,926 "," 3,382 "
,"Rate per 100,000 inhabitants",,451.9,5.3,35.3,121.2,290.1,"2,909.5",537.3,"2,138.4",233.8
"Michigan City-La Porte, IN M.S.A.",,"110,541", ,,,,, ,,,
,Includes La Porte County,,,,,,,,,,
,City of Michigan City,"31,459", 186 , 2 , 19 , 50 , 115 ," 1,444 ", 213 ," 1,131 ", 100 
,City of La Porte,"21,891", 93 , 0 , 9 , 20 , 64 , 765 , 145 , 576 , 44 
,Total area actually reporting,95.8%, 320 , 2 , 34 , 76 , 208 ," 2,814 ", 608 ," 2,021 ", 185 
,Estimated total,100.0%, 333 , 2 , 35 , 79 , 217 ," 2,943 ", 623 ," 2,126 ", 194 
,"Rate per 100,000 inhabitants",,301.2,1.8,31.7,71.5,196.3,"2,662.4",563.6,"1,923.3",175.5
"Midland, MI M.S.A.",,"83,588", ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,"42,263", 48 , 0 , 17 , 5 , 26 , 511 , 77 , 424 , 10 
,Total area actually reporting,100.0%, 107 , 1 , 44 , 6 , 56 , 887 , 203 , 654 , 30 
,"Rate per 100,000 inhabitants",,128.0,1.2,52.6,7.2,67.0,"1,061.2",242.9,782.4,35.9
"Midland, TX M.S.A.",,"171,699", ,,,,, ,,,
,Includes Martin and Midland Counties,,,,,,,,,,
,City of Midland,"137,780", 412 , 3 , 24 , 93 , 292 ," 3,352 ", 604 ," 2,563 ", 185 
,Total area actually reporting,100.0%, 511 , 3 , 29 , 102 , 377 ," 4,285 ", 777 ," 3,222 ", 286 
,"Rate per 100,000 inhabitants",,297.6,1.7,16.9,59.4,219.6,"2,495.6",452.5,"1,876.5",166.6
"Milwaukee-Waukesha-West Allis, WI M.S.A.2",,"1,577,025",,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,"600,193"," 9,201 ", 141 , 477 ," 3,283 "," 5,300 "," 24,392 "," 5,862 "," 12,356 "," 6,174 "
,City of Waukesha,"72,223", 92 , 0 , 31 , 14 , 47 ," 1,117 ", 182 , 891 , 44 
,City of West Allis2,"60,558", 200 , 6 , 20 , 76 , 98 ," 2,262 ", 451 ," 1,609 ", 202 
,Total area actually reporting,100.0%," 10,345 ", 156 , 638 ," 3,661 "," 5,890 "," 42,858 "," 8,074 "," 27,545 "," 7,239 "
,"Rate per 100,000 inhabitants",,656.0,9.9,40.5,232.1,373.5,"2,717.6",512.0,"1,746.6",459.0
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",,"3,555,186",,,,,,,,,
,"Includes Anoka, Carver,2 Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Sibley, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN","416,751"," 4,622 ", 35 , 455 ," 1,844 "," 2,288 "," 17,594 "," 3,424 "," 12,183 "," 1,987 "
,"City of St. Paul, MN","303,920"," 1,970 ", 19 , 184 , 700 ," 1,067 "," 9,811 "," 2,278 "," 5,659 "," 1,874 "
,"City of Bloomington, MN","87,134", 177 , 0 , 49 , 62 , 66 ," 2,810 ", 181 ," 2,514 ", 115 
,"City of Plymouth, MN","76,996", 48 , 1 , 12 , 14 , 21 ," 1,009 ", 215 , 759 , 35 
,"City of Eagan, MN","66,698", 40 , 0 , 11 , 13 , 16 ," 1,144 ", 106 , 995 , 43 
,"City of Eden Prairie, MN","64,037", 36 , 2 , 15 , 8 , 11 , 729 , 75 , 627 , 27 
,Total area actually reporting,99.8%," 10,218 ", 77 ," 1,532 "," 3,372 "," 5,237 "," 82,192 "," 12,585 "," 62,870 "," 6,737 "
,Estimated total,100.0%," 10,227 ", 77 ," 1,533 "," 3,374 "," 5,243 "," 82,325 "," 12,600 "," 62,982 "," 6,743 "
,"Rate per 100,000 inhabitants",,287.7,2.2,43.1,94.9,147.5,"2,315.6",354.4,"1,771.6",189.7
"Missoula, MT M.S.A.",,"115,226", ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,"71,860", 377 , 0 , 65 , 60 , 252 ," 3,761 ", 401 ," 3,156 ", 204 
,Total area actually reporting,100.0%, 476 , 0 , 82 , 64 , 330 ," 4,087 ", 504 ," 3,356 ", 227 
,"Rate per 100,000 inhabitants",,413.1,0.0,71.2,55.5,286.4,"3,546.9",437.4,"2,912.5",197.0
"Mobile, AL M.S.A.5",,"414,817", ,,,,, ,,,
,Includes Mobile County,,,,,,,,,,
,City of Mobile5,"249,921"," 1,709 ", 44 , 89 , 438 ," 1,138 "," 11,769 "," 2,628 "," 8,261 ", 880 
,Total area actually reporting,100.0%," 2,426 ", 61 , 137 , 604 ," 1,624 "," 16,688 "," 4,005 "," 11,299 "," 1,384 "
,"Rate per 100,000 inhabitants",,584.8,14.7,33.0,145.6,391.5,"4,023.0",965.5,"2,723.9",333.6
"Modesto, CA M.S.A.",,"539,425", ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,"212,880"," 2,104 ", 13 , 103 , 481 ," 1,507 "," 9,324 "," 1,421 "," 6,350 "," 1,553 "
,Total area actually reporting,100.0%," 3,366 ", 34 , 199 , 835 ," 2,298 "," 17,918 "," 3,303 "," 11,119 "," 3,496 "
,"Rate per 100,000 inhabitants",,624.0,6.3,36.9,154.8,426.0,"3,321.7",612.3,"2,061.3",648.1
"Monroe, LA M.S.A.",,"179,125", ,,,,, ,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,
,City of Monroe,"49,677"," 1,493 ", 11 , 52 , 248 ," 1,182 "," 4,646 "," 1,025 "," 3,397 ", 224 
,Total area actually reporting,95.6%," 2,092 ", 19 , 64 , 319 ," 1,690 "," 8,592 "," 2,179 "," 5,965 ", 448 
,Estimated total,100.0%," 2,126 ", 20 , 66 , 324 ," 1,716 "," 8,884 "," 2,229 "," 6,193 ", 462 
,"Rate per 100,000 inhabitants",,"1,186.9",11.2,36.8,180.9,958.0,"4,959.7","1,244.4","3,457.4",257.9
"Montgomery, AL M.S.A.",,"372,661", ,,,,, ,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
,City of Montgomery,"199,565"," 1,215 ", 30 , 62 , 448 , 675 ," 8,989 "," 2,293 "," 5,824 ", 872 
,Total area actually reporting,99.3%," 1,745 ", 44 , 136 , 528 ," 1,037 "," 13,166 "," 3,219 "," 8,761 "," 1,186 "
,Estimated total,100.0%," 1,758 ", 44 , 137 , 530 ," 1,047 "," 13,248 "," 3,235 "," 8,821 "," 1,192 "
,"Rate per 100,000 inhabitants",,471.7,11.8,36.8,142.2,281.0,"3,555.0",868.1,"2,367.0",319.9
"Morgantown, WV M.S.A.",,"138,954", ,,,,, ,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,"31,109", 89 , 2 , 12 , 19 , 56 , 674 , 129 , 517 , 28 
,Total area actually reporting,88.4%, 318 , 3 , 59 , 27 , 229 ," 1,684 ", 410 ," 1,186 ", 88 
,Estimated total,100.0%, 366 , 3 , 65 , 34 , 264 ," 2,245 ", 502 ," 1,623 ", 120 
,"Rate per 100,000 inhabitants",,263.4,2.2,46.8,24.5,190.0,"1,615.6",361.3,"1,168.0",86.4
"Mount Vernon-Anacortes, WA M.S.A.",,"123,317",,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,"34,521", 88 , 0 , 16 , 28 , 44 ," 1,324 ", 197 ," 1,014 ", 113 
,City of Anacortes,"16,532", 15 , 0 , 1 , 4 , 10 , 463 , 65 , 369 , 29 
,Total area actually reporting,100.0%, 230 , 6 , 36 , 54 , 134 ," 4,424 ", 852 ," 3,263 ", 309 
,"Rate per 100,000 inhabitants",,186.5,4.9,29.2,43.8,108.7,"3,587.5",690.9,"2,646.0",250.6
"Muncie, IN M.S.A.",,"116,443", ,,,,, ,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,"70,065", 252 , 6 , 29 , 95 , 122 ," 2,755 ", 475 ," 2,083 ", 197 
,Total area actually reporting,100.0%, 304 , 9 , 37 , 99 , 159 ," 3,429 ", 650 ," 2,533 ", 246 
,"Rate per 100,000 inhabitants",,261.1,7.7,31.8,85.0,136.5,"2,944.8",558.2,"2,175.3",211.3
"Muskegon, MI M.S.A.",,"172,890", ,,,,, ,,,
,Includes Muskegon County,,,,,,,,,,
,City of Muskegon,"38,442", 273 , 5 , 39 , 62 , 167 ," 1,468 ", 285 ," 1,094 ", 89 
,Total area actually reporting,100.0%, 754 , 9 , 144 , 142 , 459 ," 5,211 ", 813 ," 4,148 ", 250 
,"Rate per 100,000 inhabitants",,436.1,5.2,83.3,82.1,265.5,"3,014.1",470.2,"2,399.2",144.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.",,"444,122",,,,,,,,,
,"Includes Brunswick County, NC and Horry County, SC",, ,,,,,,,,
,"City of Myrtle Beach, SC","31,864", 538 , 5 , 46 , 139 , 348 ," 4,395 ", 469 ," 3,555 ", 371 
,"City of Conway, SC","21,874", 174 , 3 , 20 , 24 , 127 ," 1,016 ", 138 , 805 , 73 
,"City of North Myrtle Beach, SC","15,945", 121 , 2 , 21 , 28 , 70 ," 1,227 ", 194 , 918 , 115 
,Total area actually reporting,97.4%," 2,015 ", 32 , 313 , 336 ," 1,334 "," 15,950 "," 2,824 "," 11,805 "," 1,321 "
,Estimated total,100.0%," 2,046 ", 32 , 315 , 345 ," 1,354 "," 16,308 "," 2,892 "," 12,082 "," 1,334 "
,"Rate per 100,000 inhabitants",,460.7,7.2,70.9,77.7,304.9,"3,672.0",651.2,"2,720.4",300.4
"Napa, CA M.S.A.",,"142,635", ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,"81,115", 296 , 1 , 38 , 47 , 210 ," 1,579 ", 437 ," 1,013 ", 129 
,Total area actually reporting,100.0%, 598 , 1 , 62 , 72 , 463 ," 2,524 ", 655 ," 1,647 ", 222 
,"Rate per 100,000 inhabitants",,419.3,0.7,43.5,50.5,324.6,"1,769.6",459.2,"1,154.7",155.6
"Naples-Immokalee-Marco Island, FL M.S.A.",,"365,390",,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,"21,917", 19 , 3 , 4 , 3 , 9 , 408 , 52 , 339 , 17 
,City of Marco Island,"17,947", 2 , 0 , 1 , 0 , 1 , 94 , 13 , 76 , 5 
,Total area actually reporting,100.0%, 962 , 10 , 70 , 169 , 713 ," 4,496 ", 807 ," 3,443 ", 246 
,"Rate per 100,000 inhabitants",,263.3,2.7,19.2,46.3,195.1,"1,230.5",220.9,942.3,67.3
"Nashville - Davidson - Murfreesboro - Franklin, TN M.S.A.",,"1,863,012",,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Nashville Metropolitan,"668,685"," 7,371 ", 81 , 464 ," 1,985 "," 4,841 "," 24,719 "," 4,545 "," 18,446 "," 1,728 "
,City of Murfreesboro,"129,730", 790 , 6 , 55 , 152 , 577 ," 3,867 ", 627 ," 3,042 ", 198 
,City of Franklin,"74,771", 154 , 0 , 21 , 19 , 114 ," 1,085 ", 84 , 968 , 33 
,Total area actually reporting,100.0%," 11,580 ", 115 , 839 ," 2,435 "," 8,191 "," 46,171 "," 8,320 "," 34,747 "," 3,104 "
,"Rate per 100,000 inhabitants",,621.6,6.2,45.0,130.7,439.7,"2,478.3",446.6,"1,865.1",166.6
"New Bern, NC M.S.A.",,"126,088",,,,,,,,,
,"Includes Craven, Jones, and Pamlico Counties",, ,,,,,,,,
,City of New Bern,"30,137", 124 , 2 , 7 , 41 , 74 ," 1,046 ", 167 , 856 , 23 
,Total area actually reporting,91.0%, 291 , 3 , 22 , 65 , 201 ," 2,797 ", 823 ," 1,853 ", 121 
,Estimated total,100.0%, 310 , 3 , 23 , 69 , 215 ," 3,001 ", 885 ," 1,984 ", 132 
,"Rate per 100,000 inhabitants",,245.9,2.4,18.2,54.7,170.5,"2,380.1",701.9,"1,573.5",104.7
"New Haven-Milford, CT M.S.A.2",,"804,612",,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,"130,425"," 1,219 ", 13 , 66 , 400 , 740 ," 5,492 ", 832 ," 3,925 ", 735 
,City of Milford,"53,752", 34 , 0 , 0 , 27 , 7 ," 1,215 ", 126 ," 1,001 ", 88 
,Total area actually reporting,100.0%," 2,597 ", 30 , 185 , 885 ," 1,497 "," 20,370 "," 3,269 "," 14,656 "," 2,445 "
,"Rate per 100,000 inhabitants",,322.8,3.7,23.0,110.0,186.1,"2,531.7",406.3,"1,821.5",303.9
"New Orleans-Metairie, LA M.S.A.",,"1,272,995",,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,"397,208"," 4,249 ", 174 , 537 ," 1,445 "," 2,093 "," 15,571 "," 2,561 "," 10,583 "," 2,427 "
,Total area actually reporting,99.7%," 7,099 ", 240 , 712 ," 2,060 "," 4,087 "," 38,082 "," 5,940 "," 28,488 "," 3,654 "
,Estimated total,100.0%," 7,113 ", 240 , 713 ," 2,062 "," 4,098 "," 38,206 "," 5,961 "," 28,585 "," 3,660 "
,"Rate per 100,000 inhabitants",,558.8,18.9,56.0,162.0,321.9,"3,001.3",468.3,"2,245.5",287.5
"New York-Newark-Jersey City, NY-NJ-PA M.S.A.",,"20,177,990",,,,,,,,,
,"Includes the Metropolitan Divisions of Dutchess County-Putnam County, NY; Nassau County-Suffolk County, NY; Newark, NJ-PA; and New York-Jersey City-White Plains, NY-NJ",,,,,,,,,,
,"City of New York, NY","8,566,917"," 49,124 ", 335 ," 2,372 "," 15,544 "," 30,873 "," 125,278 "," 12,041 "," 106,868 "," 6,369 "
,"City of Newark, NJ","281,450"," 2,637 ", 100 , 99 ," 1,334 "," 1,104 "," 6,308 "," 1,138 "," 3,048 "," 2,122 "
,"City of Jersey City, NJ","266,179"," 1,276 ", 24 , 86 , 547 , 619 ," 4,483 ", 953 ," 2,979 ", 551 
,"City of White Plains, NY","58,767", 121 , 0 , 10 , 30 , 81 , 931 , 53 , 854 , 24 
,"City of New Brunswick, NJ","57,158", 392 , 1 , 38 , 211 , 142 ," 1,252 ", 319 , 859 , 74 
,"City of Lakewood Township, NJ","100,269", 169 , 2 , 12 , 61 , 94 , 949 , 193 , 718 , 38 
,Total area actually reporting,99.8%," 71,541 ", 655 ," 3,940 "," 24,435 "," 42,511 "," 273,117 "," 33,416 "," 221,694 "," 18,007 "
,Estimated total,100.0%," 71,614 ", 656 ," 3,949 "," 24,456 "," 42,553 "," 273,749 "," 33,494 "," 222,225 "," 18,030 "
,"Rate per 100,000 inhabitants",,354.9,3.3,19.6,121.2,210.9,"1,356.7",166.0,"1,101.3",89.4
"Dutchess County-Putnam County, NY M.D.",,"391,642",,,,,,,,,
,Includes Dutchess and Putnam Counties,,,,,,,,,,
,Total area actually reporting,99.1%, 601 , 4 , 120 , 119 , 358 ," 4,079 ", 565 ," 3,414 ", 100 
,Estimated total,100.0%, 607 , 4 , 121 , 121 , 361 ," 4,130 ", 571 ," 3,457 ", 102 
