Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Erie,"101,972",458,8,64,172,214,"3,510","1,095","2,311",104
,Total area actually reporting,100.0%,693,11,93,223,366,"7,345","1,808","5,326",211
,"Rate per 100,000 inhabitants",,246.2,3.9,33.0,79.2,130.0,"2,609.8",642.4,"1,892.4",75.0
"Eugene, OR M.S.A.",,"355,926",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"158,043",430,0,72,196,162,"8,004","1,515","6,054",435
,Total area actually reporting,99.1%,835,7,125,259,444,"13,435","2,605","9,976",854
,Estimated total,100.0%,842,7,126,261,448,"13,538","2,621","10,055",862
,"Rate per 100,000 inhabitants",,236.6,2.0,35.4,73.3,125.9,"3,803.6",736.4,"2,825.0",242.2
"Fairbanks, AK M.S.A.",,"34,603", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,423",169,3,29,37,100,"1,379",130,"1,137",112
,Total area actually reporting,100.0%,183,3,29,39,112,"1,549",148,"1,283",118
,"Rate per 100,000 inhabitants",,528.9,8.7,83.8,112.7,323.7,"4,476.5",427.7,"3,707.8",341.0
"Fargo, ND-MN M.S.A.4",,"216,055", ,,,,, ,,,
,"Includes Clay County, MN4 and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","109,813",394,2,69,46,277,"2,835",451,"2,229",155
,Total area actually reporting,100.0%,,2,,59,401,"4,729",799,"3,694",236
,"Rate per 100,000 inhabitants",,,0.9,,27.3,185.6,"2,188.8",369.8,"1,709.7",109.2
"Farmington, NM M.S.A.",,"128,404", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"45,328",481,4,81,39,357,"1,866",332,"1,430",104
,Total area actually reporting,100.0%,849,6,132,56,655,"3,175",677,"2,315",183
,"Rate per 100,000 inhabitants",,661.2,4.7,102.8,43.6,510.1,"2,472.7",527.2,"1,802.9",142.5
"Fayetteville, NC M.S.A.",,"377,864", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"205,966","1,186",22,70,560,534,"13,163","4,109","8,298",756
,Total area actually reporting,100.0%,"1,893",30,95,753,"1,015","20,252","6,905","12,330","1,017"
,"Rate per 100,000 inhabitants",,501.0,7.9,25.1,199.3,268.6,"5,359.6","1,827.4","3,263.1",269.1
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.",,"475,585", ,,,,, ,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
,"City of Fayetteville, AR","75,387",388,1,58,40,289,"3,043",504,"2,406",133
,"City of Springdale, AR","71,668",332,1,57,30,244,"2,692",457,"2,089",146
,"City of Rogers, AR","57,757",202,0,43,11,148,"2,091",362,"1,675",54
,"City of Bentonville, AR","36,433",82,2,15,5,60,740,153,561,26
,Total area actually reporting,99.5%,"1,768",11,253,102,"1,402","11,996","2,647","8,814",535
,Estimated total,100.0%,"1,781",11,254,104,"1,412","12,089","2,675","8,875",539
,"Rate per 100,000 inhabitants",,374.5,2.3,53.4,21.9,296.9,"2,541.9",562.5,"1,866.1",113.3
"Flagstaff, AZ M.S.A.",,"135,979", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"66,633",262,0,28,45,189,"2,834",242,"2,533",59
,Total area actually reporting,100.0%,456,4,47,56,349,"4,268",555,"3,596",117
,"Rate per 100,000 inhabitants",,335.3,2.9,34.6,41.2,256.7,"3,138.7",408.2,"2,644.5",86.0
"Flint, MI M.S.A.",,"422,387", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"101,632","2,774",63,108,673,"1,930","5,645","2,979","2,207",459
,Total area actually reporting,99.7%,"3,830",69,243,979,"2,539","15,345","6,111","8,297",937
,Estimated total,100.0%,"3,833",69,243,980,"2,541","15,376","6,118","8,319",939
,"Rate per 100,000 inhabitants",,907.5,16.3,57.5,232.0,601.6,"3,640.3","1,448.4","1,969.5",222.3
"Florence, SC M.S.A.",,"208,121", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,681",328,3,25,83,217,"2,897",566,"2,190",141
,Total area actually reporting,100.0%,"1,132",16,53,205,858,"9,880","2,641","6,664",575
,"Rate per 100,000 inhabitants",,543.9,7.7,25.5,98.5,412.3,"4,747.2","1,269.0","3,202.0",276.3
"Florence-Muscle Shoals, AL M.S.A.",,"147,885", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"39,512",165,2,19,45,99,"1,740",454,"1,223",63
,City of Muscle Shoals,"13,228",76,0,4,16,56,647,148,473,26
,Total area actually reporting,99.1%,507,5,44,89,369,"4,399","1,247","2,937",215
,Estimated total,100.0%,513,5,44,90,374,"4,454","1,260","2,976",218
,"Rate per 100,000 inhabitants",,346.9,3.4,29.8,60.9,252.9,"3,011.8",852.0,"2,012.4",147.4
"Fond du Lac, WI M.S.A.",,"102,340", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"43,319",183,0,35,11,137,"1,210",118,"1,057",35
,Total area actually reporting,100.0%,225,0,41,13,171,"1,784",251,"1,479",54
,"Rate per 100,000 inhabitants",,219.9,0.0,40.1,12.7,167.1,"1,743.2",245.3,"1,445.2",52.8
"Fort Collins, CO M.S.A.",,"309,752",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"148,792",391,2,44,40,305,"4,119",598,"3,379",142
,Total area actually reporting,100.0%,710,3,86,75,546,"7,605","1,100","6,254",251
,"Rate per 100,000 inhabitants",,229.2,1.0,27.8,24.2,176.3,"2,455.2",355.1,"2,019.0",81.0
"Fort Smith, AR-OK M.S.A.",,"283,329", , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","87,483",687,5,69,95,518,"4,771","1,064","3,524",183
,Total area actually reporting,100.0%,"1,161",8,115,110,928,"8,475","2,240","5,872",363
,"Rate per 100,000 inhabitants",,409.8,2.8,40.6,38.8,327.5,"2,991.2",790.6,"2,072.5",128.1
"Fort Wayne, IN M.S.A.",,"420,767", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"256,625",931,22,93,447,369,"9,515","2,025","7,073",417
,Total area actually reporting,94.5%,"1,057",24,109,470,454,"11,800","2,453","8,806",541
,Estimated total,100.0%,"1,078",24,112,472,470,"12,116","2,538","9,016",562
,"Rate per 100,000 inhabitants",,256.2,5.7,26.6,112.2,111.7,"2,879.5",603.2,"2,142.8",133.6
"Fresno, CA M.S.A.",,"951,648", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"506,011","2,748",51,54,"1,015","1,628","25,737","5,902","15,534","4,301"
,Total area actually reporting,99.0%,"5,104",76,170,"1,410","3,448","41,853","10,493","24,451","6,909"
,Estimated total,100.0%,"5,137",76,172,"1,421","3,468","42,099","10,552","24,603","6,944"
,"Rate per 100,000 inhabitants",,539.8,8.0,18.1,149.3,364.4,"4,423.8","1,108.8","2,585.3",729.7
"Gadsden, AL M.S.A.",,"104,722", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"36,961",372,1,33,113,225,"3,000",835,"1,969",196
,Total area actually reporting,92.5%,530,2,45,125,358,"4,177","1,233","2,652",292
,Estimated total,100.0%,568,2,47,134,385,"4,504","1,310","2,884",310
,"Rate per 100,000 inhabitants",,542.4,1.9,44.9,128.0,367.6,"4,300.9","1,250.9","2,754.0",296.0
"Gainesville, FL M.S.A.",,"270,003", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"127,036",851,6,74,171,600,"5,201","1,009","3,953",239
,Total area actually reporting,100.0%,"1,567",10,138,254,"1,165","8,852","2,011","6,468",373
,"Rate per 100,000 inhabitants",,580.4,3.7,51.1,94.1,431.5,"3,278.5",744.8,"2,395.5",138.1
"Gainesville, GA M.S.A.",,"185,005", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"34,789",113,3,15,49,46,"1,497",240,"1,172",85
,Total area actually reporting,100.0%,323,7,36,95,185,"4,323",923,"3,076",324
,"Rate per 100,000 inhabitants",,174.6,3.8,19.5,51.3,100.0,"2,336.7",498.9,"1,662.7",175.1
"Gettysburg, PA M.S.A.",,"101,598", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,634",27,1,5,1,20,182,24,155,3
,Total area actually reporting,100.0%,112,5,14,6,87,"1,211",263,898,50
,"Rate per 100,000 inhabitants",,110.2,4.9,13.8,5.9,85.6,"1,192.0",258.9,883.9,49.2
"Glens Falls, NY M.S.A.1",,"129,692", ,,,,, ,,,
,Includes Warren and Washington Counties1,,,,,,,,,,
,City of Glens Falls1,"14,807",43,1,3,2,37,372,51,315,6
,Total area actually reporting,100.0%,200,7,29,16,148,"2,178",403,"1,719",56
,"Rate per 100,000 inhabitants",,154.2,5.4,22.4,12.3,114.1,"1,679.4",310.7,"1,325.4",43.2
"Goldsboro, NC M.S.A.",,"124,923", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"37,107",312,13,3,73,223,"2,357",584,"1,648",125
,Total area actually reporting,97.7%,524,20,8,108,388,"4,820","1,576","2,981",263
,Estimated total,100.0%,533,20,9,110,394,"4,930","1,601","3,062",267
,"Rate per 100,000 inhabitants",,426.7,16.0,7.2,88.1,315.4,"3,946.4","1,281.6","2,451.1",213.7
"Grand Forks, ND-MN M.S.A.4",,"99,784", ,,,,, ,,,
,"Includes Polk County, MN4 and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","53,839",146,0,24,23,99,"1,409",228,"1,091",90
,Total area actually reporting,100.0%,,1,,27,155,"2,232",394,"1,715",123
,"Rate per 100,000 inhabitants",,,1.0,,27.1,155.3,"2,236.8",394.9,"1,718.7",123.3
"Grand Island, NE M.S.A.",,"83,197", ,,,,, ,,,
,"Includes Hall, Hamilton, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"49,583",162,0,40,21,101,"2,305",367,"1,859",79
,Total area actually reporting,86.5%,176,0,43,21,112,"2,734",486,"2,153",95
,Estimated total,100.0%,183,0,45,21,117,"2,891",517,"2,268",106
,"Rate per 100,000 inhabitants",,220.0,0.0,54.1,25.2,140.6,"3,474.9",621.4,"2,726.1",127.4
"Grand Junction, CO M.S.A.",,"149,118", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"59,516",252,2,52,29,169,"2,733",308,"2,295",130
,Total area actually reporting,99.5%,467,5,107,44,311,"4,291",573,"3,456",262
,Estimated total,100.0%,468,5,107,44,312,"4,309",576,"3,470",263
,"Rate per 100,000 inhabitants",,313.8,3.4,71.8,29.5,209.2,"2,889.7",386.3,"2,327.0",176.4
"Great Falls, MT M.S.A.",,"82,406", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"59,360",151,1,10,25,115,"2,788",320,"2,338",130
,Total area actually reporting,100.0%,190,1,16,26,147,"3,115",391,"2,567",157
,"Rate per 100,000 inhabitants",,230.6,1.2,19.4,31.6,178.4,"3,780.1",474.5,"3,115.1",190.5
"Greeley, CO M.S.A.",,"262,216", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"96,276",426,1,40,64,321,"3,243",542,"2,560",141
,Total area actually reporting,94.5%,737,6,59,89,583,"5,365",971,"4,112",282
,Estimated total,100.0%,768,6,64,94,604,"5,734","1,026","4,400",308
,"Rate per 100,000 inhabitants",,292.9,2.3,24.4,35.8,230.3,"2,186.7",391.3,"1,678.0",117.5
"Green Bay, WI M.S.A.",,"310,262", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"106,080",514,1,44,87,382,"2,978",659,"2,210",109
,Total area actually reporting,100.0%,717,7,68,100,542,"5,857","1,265","4,392",200
,"Rate per 100,000 inhabitants",,231.1,2.3,21.9,32.2,174.7,"1,887.8",407.7,"1,415.6",64.5
"Greensboro-High Point, NC M.S.A.",,"738,208", ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties",,,,,,,,,,
,City of Greensboro,"276,134","1,555",21,70,556,908,"12,064","3,345","8,153",566
,City of High Point,"106,801",556,5,19,185,347,"4,417","1,188","2,943",286
,Total area actually reporting,99.9%,"2,726",44,137,856,"1,689","26,186","7,402","17,556","1,228"
,Estimated total,100.0%,"2,726",44,137,856,"1,689","26,195","7,404","17,563","1,228"
,"Rate per 100,000 inhabitants",,369.3,6.0,18.6,116.0,228.8,"3,548.5","1,003.0","2,379.1",166.3
"Greenville, NC M.S.A.",,"172,830", ,,,,, ,,,
,Includes Pitt County,,,,,,,,,,
,City of Greenville,"86,869",455,7,23,169,256,"3,845","1,130","2,596",119
,Total area actually reporting,98.6%,696,11,36,207,442,"5,933","1,763","3,982",188
,Estimated total,100.0%,704,11,37,209,447,"6,030","1,785","4,054",191
,"Rate per 100,000 inhabitants",,407.3,6.4,21.4,120.9,258.6,"3,489.0","1,032.8","2,345.7",110.5
"Greenville-Anderson-Mauldin, SC M.S.A.",,"843,836", ,,,,, ,,,
,"Includes Anderson, Greenville, Laurens, and Pickens Counties",,,,,,,,,,
,City of Greenville,"60,953",509,1,21,104,383,"3,223",603,"2,411",209
,City of Anderson,"27,127",250,7,10,38,195,"1,970",386,"1,458",126
,City of Mauldin,"23,631",48,0,5,6,37,461,84,345,32
,City of Easley,"20,249",106,3,10,12,81,"1,329",224,"1,048",57
,Total area actually reporting,100.0%,"4,814",54,305,703,"3,752","33,066","8,158","22,368","2,540"
,"Rate per 100,000 inhabitants",,570.5,6.4,36.1,83.3,444.6,"3,918.5",966.8,"2,650.8",301.0
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"255,387",,,,,,,,,
,"Includes Washington County, MD and Berkeley County, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,275",197,3,11,75,108,"1,456",310,"1,020",126
,"City of Martinsburg, WV","17,487",89,0,3,33,53,886,127,732,27
,Total area actually reporting,100.0%,628,7,40,170,411,"5,890","1,488","4,050",352
,"Rate per 100,000 inhabitants",,245.9,2.7,15.7,66.6,160.9,"2,306.3",582.6,"1,585.8",137.8
"Hammond, LA M.S.A.",,"123,296",,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,"20,355",332,4,15,103,210,"2,440",993,"1,446",1
,Total area actually reporting,96.6%,"1,168",11,63,180,914,"6,958","2,635","4,111",212
,Estimated total,100.0%,"1,185",11,64,183,927,"7,127","2,666","4,243",218
,"Rate per 100,000 inhabitants",,961.1,8.9,51.9,148.4,751.8,"5,780.4","2,162.3","3,441.3",176.8
"Hanford-Corcoran, CA M.S.A.",,"155,191",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"54,787",309,2,24,59,224,"1,711",337,"1,176",198
,City of Corcoran,"25,119",89,0,4,5,80,328,83,209,36
,Total area actually reporting,100.0%,767,4,55,106,602,"3,440",813,"2,222",405
,"Rate per 100,000 inhabitants",,494.2,2.6,35.4,68.3,387.9,"2,216.6",523.9,"1,431.8",261.0
"Harrisburg-Carlisle, PA M.S.A.",,"553,808",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
,City of Harrisburg,"49,753",727,11,56,388,272,"2,426",613,"1,655",158
,City of Carlisle,"19,103",48,0,15,19,14,610,60,547,3
,Total area actually reporting,99.7%,"1,656",18,176,607,855,"11,799","2,327","9,079",393
,Estimated total,100.0%,"1,659",18,176,608,857,"11,835","2,333","9,108",394
,"Rate per 100,000 inhabitants",,299.6,3.3,31.8,109.8,154.7,"2,137.0",421.3,"1,644.6",71.1
"Harrisonburg, VA M.S.A.",,"127,957", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"50,524",110,1,14,25,70,"1,067",152,888,27
,Total area actually reporting,100.0%,169,1,27,29,112,"1,799",356,"1,367",76
,"Rate per 100,000 inhabitants",,132.1,0.8,21.1,22.7,87.5,"1,405.9",278.2,"1,068.3",59.4
"Hartford-West Hartford-East Hartford, CT M.S.A.",,"1,023,883",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"125,203","1,655",23,27,640,965,"5,319","1,050","3,467",802
,City of West Hartford,"63,487",46,0,2,35,9,"1,695",243,"1,348",104
,City of East Hartford,"51,431",192,2,26,83,81,"1,573",362,"1,029",182
,City of Middletown,"47,878",72,1,1,25,45,900,156,661,83
,Total area actually reporting,100.0%,"2,926",37,157,"1,194","1,538","25,096","4,764","18,154","2,178"
,"Rate per 100,000 inhabitants",,285.8,3.6,15.3,116.6,150.2,"2,451.1",465.3,"1,773.1",212.7
"Hattiesburg, MS M.S.A.",,"145,741", ,,,,, ,,,
,"Includes Forrest, Lamar, and Perry Counties",,,,,,,,,,
,City of Hattiesburg,"46,726",118,5,13,66,34,"2,668",375,"2,183",110
,Total area actually reporting,91.6%,160,5,23,78,54,"3,701",946,"2,630",125
,Estimated total,100.0%,172,5,25,80,62,"3,905","1,019","2,748",138
,"Rate per 100,000 inhabitants",,118.0,3.4,17.2,54.9,42.5,"2,679.4",699.2,"1,885.5",94.7
"Hickory-Lenoir-Morganton, NC M.S.A.",,"368,179", ,,,,, ,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",,,,,,,,,,
,City of Hickory,"40,361",265,3,22,81,159,"2,640",475,"2,003",162
,City of Lenoir,"18,270",51,0,1,17,33,935,231,662,42
,City of Morganton,"17,085",52,1,3,17,31,562,156,389,17
,Total area actually reporting,99.5%,815,20,57,198,540,"12,129","3,699","7,866",564
,Estimated total,100.0%,821,20,57,200,544,"12,204","3,716","7,921",567
,"Rate per 100,000 inhabitants",,223.0,5.4,15.5,54.3,147.8,"3,314.7","1,009.3","2,151.4",154.0
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",,"191,685",,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,"12,855",39,0,5,15,19,461,72,372,17
,City of Beaufort,"12,653",139,2,4,29,104,824,147,656,21
,Total area actually reporting,100.0%,996,21,60,171,744,"5,826","1,497","4,050",279
,"Rate per 100,000 inhabitants",,519.6,11.0,31.3,89.2,388.1,"3,039.4",781.0,"2,112.8",145.6
"Hinesville, GA M.S.A.",,"81,447",,,,,,,,,
,Includes Liberty and Long Counties,, ,,,,,,,,
,City of Hinesville,"34,887",153,2,18,33,100,"1,479",389,"1,049",41
,Total area actually reporting,100.0%,275,4,38,44,189,"2,457",758,"1,600",99
,"Rate per 100,000 inhabitants",,337.6,4.9,46.7,54.0,232.1,"3,016.7",930.7,"1,964.5",121.6
"Homosassa Spring, FL M.S.A.",,"141,942",,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,97.8%,451,5,26,57,363,"2,837",737,"1,971",129
,Estimated total,100.0%,465,5,27,61,372,"2,954",763,"2,055",136
,"Rate per 100,000 inhabitants",,327.6,3.5,19.0,43.0,262.1,"2,081.1",537.5,"1,447.8",95.8
"Houma-Thibodaux, LA M.S.A.",,"209,817",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"33,945",210,2,7,59,142,"1,768",281,"1,423",64
,City of Thibodaux,"14,701",65,1,1,13,50,581,74,498,9
,Total area actually reporting,100.0%,611,9,28,131,443,"6,855","1,464","5,071",320
,"Rate per 100,000 inhabitants",,291.2,4.3,13.3,62.4,211.1,"3,267.1",697.8,"2,416.9",152.5
"Houston-The Woodlands-Sugar Land, TX M.S.A.3",,"6,150,496",,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",,,,,,,,,,
,City of Houston,"2,177,273","21,610",217,665,"9,385","11,343","107,678","26,630","67,978","13,070"
,City of Sugar Land,"82,924",109,0,4,37,68,"1,541",289,"1,217",35
,City of Baytown,"74,420",247,5,15,97,130,"3,684",939,"2,438",307
,City of Conroe,"59,856",221,2,13,74,132,"2,061",447,"1,501",113
,Total area actually reporting,99.9%,"34,534",349,"1,498","13,524","19,163",,,"141,407","23,271"
,Estimated total,100.0%,"34,535",349,"1,498","13,524","19,164",,,"141,416","23,272"
,"Rate per 100,000 inhabitants",,561.5,5.7,24.4,219.9,311.6,,,"2,299.3",378.4
"Huntsville, AL M.S.A.",,"427,189", ,,,,, ,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,"183,691","1,696",14,72,456,"1,154","9,261","2,165","6,386",710
,Total area actually reporting,100.0%,"2,228",22,109,548,"1,549","14,292","3,615","9,702",975
,"Rate per 100,000 inhabitants",,521.5,5.1,25.5,128.3,362.6,"3,345.6",846.2,"2,271.1",228.2
"Idaho Falls, ID M.S.A.",,"135,809", ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,"58,037",139,0,26,13,100,"1,705",276,"1,361",68
,Total area actually reporting,100.0%,223,0,46,15,162,"2,559",456,"1,997",106
,"Rate per 100,000 inhabitants",,164.2,0.0,33.9,11.0,119.3,"1,884.3",335.8,"1,470.4",78.1
"Indianapolis-Carmel-Anderson, IN M.S.A.",,"1,915,784", ,,,,, ,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,"838,650","9,942",97,436,"3,442","5,967","46,898","14,774","27,525","4,599"
,City of Carmel,"81,819",11,0,2,6,3,808,113,649,46
,City of Anderson,"56,132",270,1,54,75,140,"2,860",641,"2,012",207
,Total area actually reporting,85.2%,"11,111",108,563,"3,694","6,746","65,243","17,804","41,925","5,514"
,Estimated total,100.0%,"11,485",114,602,"3,755","7,014","70,358","18,955","45,572","5,831"
,"Rate per 100,000 inhabitants",,599.5,6.0,31.4,196.0,366.1,"3,672.5",989.4,"2,378.8",304.4
"Iowa City, IA M.S.A.",,"155,494", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"69,214",185,1,29,31,124,"1,842",387,"1,394",61
,Total area actually reporting,100.0%,412,2,54,47,309,"3,058",635,"2,321",102
,"Rate per 100,000 inhabitants",,265.0,1.3,34.7,30.2,198.7,"1,966.6",408.4,"1,492.7",65.6
"Jackson, MS M.S.A.",,"574,517", ,,,,, ,,,
,"Includes Copiah, Hinds, Madison, Rankin, Simpson, and Yazoo Counties",,,,,,,,,,
,City of Jackson,"175,939","1,668",63,135,799,671,"11,568","4,124","6,308","1,136"
,Total area actually reporting,88.4%,"2,116",74,180,901,961,"17,691","5,840","10,392","1,459"
,Estimated total,100.0%,"2,224",77,194,926,"1,027","19,112","6,267","11,313","1,532"
,"Rate per 100,000 inhabitants",,387.1,13.4,33.8,161.2,178.8,"3,326.6","1,090.8","1,969.1",266.7
"Jackson, TN M.S.A.",,"131,023", ,,,,, ,,,
,"Includes Chester, Crockett, and Madison Counties",,,,,,,,,,
,City of Jackson,"65,725",972,11,22,191,748,"3,246",972,"2,139",135
,Total area actually reporting,100.0%,"1,256",13,45,199,999,"4,594","1,481","2,912",201
,"Rate per 100,000 inhabitants",,958.6,9.9,34.3,151.9,762.5,"3,506.3","1,130.3","2,222.5",153.4
"Jacksonville, FL M.S.A.",,"1,378,810", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"840,660","5,189",93,341,"1,371","3,384","34,674","7,632","25,403","1,639"
,Total area actually reporting,100.0%,"7,079",110,426,"1,610","4,933","47,687","10,259","35,335","2,093"
,"Rate per 100,000 inhabitants",,513.4,8.0,30.9,116.8,357.8,"3,458.6",744.0,"2,562.7",151.8
"Janesville-Beloit, WI M.S.A.",,"160,502", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"63,642",179,2,21,35,121,"2,463",339,"2,059",65
,City of Beloit,"37,008",119,1,8,38,72,"1,294",299,946,49
,Total area actually reporting,100.0%,384,3,44,96,241,"4,771",884,"3,738",149
,"Rate per 100,000 inhabitants",,239.2,1.9,27.4,59.8,150.2,"2,972.5",550.8,"2,328.9",92.8
"Jefferson City, MO M.S.A.",,"150,764", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,"43,413",261,2,12,39,208,"1,586",235,"1,311",40
,Total area actually reporting,100.0%,469,3,24,59,383,"3,577",773,"2,661",143
,"Rate per 100,000 inhabitants",,311.1,2.0,15.9,39.1,254.0,"2,372.6",512.7,"1,765.0",94.9
"Johnson City, TN M.S.A.",,"201,468", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"64,342",319,1,14,51,253,"2,875",540,"2,238",97
,Total area actually reporting,100.0%,631,5,24,68,534,"6,000","1,494","4,245",261
,"Rate per 100,000 inhabitants",,313.2,2.5,11.9,33.8,265.1,"2,978.1",741.6,"2,107.0",129.5
"Johnstown, PA M.S.A.",,"143,961", ,,,,, ,,,
,Includes Cambria County,, , ,,,,,,,
,City of Johnstown,"22,360",131,1,6,31,93,822,285,499,38
,Total area actually reporting,98.4%,316,6,30,47,233,"2,529",650,"1,787",92
,Estimated total,100.0%,320,6,30,48,236,"2,572",657,"1,822",93
,"Rate per 100,000 inhabitants",,222.3,4.2,20.8,33.3,163.9,"1,786.6",456.4,"1,265.6",64.6
"Jonesboro, AR M.S.A.",,"123,295", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"68,807",295,4,21,78,192,"3,157","1,166","1,889",102
,Total area actually reporting,100.0%,403,6,47,88,262,"4,309","1,574","2,610",125
,"Rate per 100,000 inhabitants",,326.9,4.9,38.1,71.4,212.5,"3,494.9","1,276.6","2,116.9",101.4
"Joplin, MO M.S.A.",,"177,182", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"50,654",288,2,27,70,189,"3,838",653,"2,920",265
,Total area actually reporting,100.0%,634,6,73,86,469,"7,545","1,506","5,528",511
,"Rate per 100,000 inhabitants",,357.8,3.4,41.2,48.5,264.7,"4,258.3",850.0,"3,120.0",288.4
"Kahului-Wailuku-Lahaina, HI M.S.A.",,"158,760",,,,,,,,,
,Includes Kalawao and Maui Counties,, ,,,,,,,,
,Total area actually reporting,100.0%,411,5,44,115,247,"6,003","1,067","4,419",517
,"Rate per 100,000 inhabitants",,258.9,3.1,27.7,72.4,155.6,"3,781.2",672.1,"2,783.4",325.6
"Kalamazoo-Portage, MI M.S.A.",,"328,443",,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,, ,,,,,,,,
,City of Kalamazoo,"74,797",657,9,77,165,406,"3,120",835,"2,135",150
,City of Portage,"46,658",76,0,23,15,38,"1,643",184,"1,418",41
,Total area actually reporting,98.9%,"1,168",12,199,240,717,"9,149","2,040","6,698",411
,Estimated total,100.0%,"1,178",12,200,242,724,"9,239","2,059","6,762",418
,"Rate per 100,000 inhabitants",,358.7,3.7,60.9,73.7,220.4,"2,813.0",626.9,"2,058.8",127.3
