Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2018",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Irvine,"288,052", 160 , 0 , 40 , 53 , 67 ," 3,659 ", 621 ," 2,840 ", 198 
,City of Glendale,"204,724", 202 , 1 , 24 , 77 , 100 ," 3,110 ", 454 ," 2,390 ", 266 
,City of Torrance,"146,968", 267 , 2 , 35 , 107 , 123 ," 2,702 ", 468 ," 1,951 ", 283 
,City of Pasadena,"143,448", 547 , 7 , 47 , 174 , 319 ," 2,928 ", 663 ," 1,959 ", 306 
,City of Orange,"141,108", 160 , 3 , 12 , 73 , 72 ," 2,478 ", 478 ," 1,700 ", 300 
,City of Costa Mesa,"114,358", 344 , 3 , 75 , 110 , 156 ," 3,792 ", 515 ," 2,975 ", 302 
,City of Burbank,"105,041", 229 , 0 , 18 , 77 , 134 ," 2,625 ", 276 ," 2,135 ", 214 
,City of Carson,"92,895", 435 , 5 , 14 , 131 , 285 ," 1,971 ", 345 ," 1,181 ", 445 
,City of Santa Monica,"92,674", 797 , 7 , 60 , 278 , 452 ," 4,732 ", 662 ," 3,835 ", 235 
,City of Newport Beach,"86,276", 124 , 1 , 31 , 29 , 63 ," 2,073 ", 397 ," 1,513 ", 163 
,City of Tustin,"81,243", 122 , 0 , 15 , 49 , 58 ," 1,874 ", 243 ," 1,506 ", 125 
,City of Gardena,"60,423", 326 , 7 , 16 , 160 , 143 ," 1,306 ", 289 , 702 , 315 
,City of Arcadia,"59,151", 76 , 1 , 8 , 41 , 26 ," 1,420 ", 372 , 969 , 79 
,City of Fountain Valley,"56,433", 52 , 0 , 1 , 21 , 30 ," 1,496 ", 194 ," 1,185 ", 117 
,Total area actually reporting,100.0%," 65,929 ", 619 ," 5,466 "," 21,683 "," 38,161 "," 299,404 "," 52,037 "," 198,376 "," 48,991 "
,"Rate per 100,000 inhabitants",,494.8,4.6,41.0,162.7,286.4,"2,246.9",390.5,"1,488.7",367.7
"Anaheim-Santa Ana-Irvine, CA M.D.",,"3,191,133",,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,100.0%," 7,362 ", 49 , 977 ," 2,203 "," 4,133 "," 61,590 "," 9,485 "," 44,526 "," 7,579 "
,"Rate per 100,000 inhabitants",,230.7,1.5,30.6,69.0,129.5,"1,930.0",297.2,"1,395.3",237.5
"Los Angeles-Long Beach-Glendale, CA M.D.",,"10,134,048",,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,100.0%," 58,567 ", 570 ," 4,489 "," 19,480 "," 34,028 "," 237,814 "," 42,552 "," 153,850 "," 41,412 "
,"Rate per 100,000 inhabitants",,577.9,5.6,44.3,192.2,335.8,"2,346.7",419.9,"1,518.1",408.6
"Lubbock, TX M.S.A.2",,"319,795", ,,,,, ,,,
,"Includes Crosby,2 Lubbock, and Lynn Counties",,,,,,,,,,
,City of Lubbock,"257,372"," 2,565 ", 13 , 239 , 443 ," 1,870 "," 11,743 "," 2,312 "," 8,228 "," 1,203 "
,Total area actually reporting,99.2%," 2,649 ", 14 , 263 , 447 ," 1,925 "," 12,642 "," 2,490 "," 8,883 "," 1,269 "
,Estimated total,100.0%," 2,652 ", 14 , 263 , 447 ," 1,928 "," 12,675 "," 2,497 "," 8,906 "," 1,272 "
,"Rate per 100,000 inhabitants",,829.3,4.4,82.2,139.8,602.9,"3,963.5",780.8,"2,784.9",397.8
"Lynchburg, VA M.S.A.",,"261,837", ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Lynchburg City",,,,,,,,,,
,City of Lynchburg,"81,603", 275 , 8 , 33 , 41 , 193 ," 1,627 ", 181 ," 1,278 ", 168 
,Total area actually reporting,100.0%, 527 , 14 , 91 , 57 , 365 ," 3,535 ", 498 ," 2,706 ", 331 
,"Rate per 100,000 inhabitants",,201.3,5.3,34.8,21.8,139.4,"1,350.1",190.2,"1,033.5",126.4
"Macon-Bibb County, GA M.S.A.",,"228,018", ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,Total area actually reporting,100.0%," 1,069 ", 28 , 66 , 287 , 688 ," 8,682 "," 1,924 "," 6,094 ", 664 
,"Rate per 100,000 inhabitants",,468.8,12.3,28.9,125.9,301.7,"3,807.6",843.8,"2,672.6",291.2
"Madera, CA M.S.A.",,"156,529", ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,"66,098", 399 , 6 , 37 , 92 , 264 ," 1,346 ", 241 , 898 , 207 
,Total area actually reporting,100.0%, 896 , 12 , 70 , 113 , 701 ," 2,969 ", 794 ," 1,728 ", 447 
,"Rate per 100,000 inhabitants",,572.4,7.7,44.7,72.2,447.8,"1,896.8",507.3,"1,103.9",285.6
"Madison, WI M.S.A.2",,"661,678", ,,,,, ,,,
,"Includes Columbia, Dane, Green, and Iowa Counties",,,,,,,,,,
,City of Madison,"258,455"," 1,043 ", 5 , 116 , 240 , 682 ," 6,722 "," 1,061 "," 5,129 ", 532 
,Total area actually reporting,100.0%," 1,605 ", 10 , 218 , 313 ," 1,064 "," 11,715 "," 1,721 "," 9,166 ", 828 
,"Rate per 100,000 inhabitants",,242.6,1.5,32.9,47.3,160.8,"1,770.5",260.1,"1,385.3",125.1
"Manchester-Nashua, NH M.S.A.",,"413,956",,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,"111,422", 661 , 4 , 65 , 144 , 448 ," 2,878 ", 333 ," 2,382 ", 163 
,City of Nashua,"88,596", 124 , 1 , 57 , 19 , 47 ," 1,144 ", 85 , 991 , 68 
,Total area actually reporting,98.3%, 946 , 7 , 165 , 175 , 599 ," 5,495 ", 584 ," 4,601 ", 310 
,Estimated total,100.0%, 951 , 7 , 165 , 175 , 604 ," 5,644 ", 589 ," 4,741 ", 314 
,"Rate per 100,000 inhabitants",,229.7,1.7,39.9,42.3,145.9,"1,363.4",142.3,"1,145.3",75.9
"Manhattan, KS M.S.A.",,"132,035",,,,,,,,,
,"Includes Geary, Pottawatomie, and Riley Counties",, ,,,,,,,,
,Total area actually reporting,100.0%, 425 , 5 , 72 , 39 , 309 ," 2,171 ", 303 ," 1,720 ", 148 
,"Rate per 100,000 inhabitants",,321.9,3.8,54.5,29.5,234.0,"1,644.3",229.5,"1,302.7",112.1
"Mankato, MN M.S.A.2",,"101,446",,,,,,,,,
,Includes Blue Earth2 and Nicollet Counties,, ,,,,,,,,
,City of Mankato2,"42,606", 140 , 0 , 24 , 17 , 99 ," 1,418 ", 164 ," 1,178 ", 76 
,Total area actually reporting,100.0%, 205 , 1 , 47 , 22 , 135 ," 1,977 ", 290 ," 1,580 ", 107 
,"Rate per 100,000 inhabitants",,202.1,1.0,46.3,21.7,133.1,"1,948.8",285.9,"1,557.5",105.5
"Mansfield, OH M.S.A.",,"120,208",,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,"45,941", 237 , 3 , 60 , 57 , 117 ," 2,087 ", 434 ," 1,577 ", 76 
,Total area actually reporting,98.5%, 319 , 3 , 101 , 68 , 147 ," 3,409 ", 661 ," 2,607 ", 141 
,Estimated total,100.0%, 326 , 3 , 102 , 70 , 151 ," 3,507 ", 671 ," 2,691 ", 145 
,"Rate per 100,000 inhabitants",,271.2,2.5,84.9,58.2,125.6,"2,917.4",558.2,"2,238.6",120.6
"McAllen-Edinburg-Mission, TX M.S.A.2",,"870,548",,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,"144,363", 122 , 0 , 39 , 26 , 57 ," 3,856 ", 203 ," 3,598 ", 55 
,City of Edinburg,"92,391", 304 , 2 , 78 , 50 , 174 ," 3,248 ", 418 ," 2,756 ", 74 
,City of Mission,"85,368", 94 , 0 , 35 , 27 , 32 ," 1,594 ", 150 ," 1,380 ", 64 
,Total area actually reporting,99.3%," 2,344 ", 12 , 465 , 341 ," 1,526 "," 20,117 "," 2,796 "," 16,633 ", 688 
,Estimated total,100.0%," 2,355 ", 12 , 466 , 342 ," 1,535 "," 20,226 "," 2,812 "," 16,720 ", 694 
,"Rate per 100,000 inhabitants",,270.5,1.4,53.5,39.3,176.3,"2,323.4",323.0,"1,920.6",79.7
"Medford, OR M.S.A.",,"219,676", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,"82,800", 403 , 2 , 33 , 93 , 275 ," 4,463 ", 471 ," 3,633 ", 359 
,Total area actually reporting,100.0%, 737 , 3 , 73 , 127 , 534 ," 8,016 "," 1,049 "," 6,338 ", 629 
,"Rate per 100,000 inhabitants",,335.5,1.4,33.2,57.8,243.1,"3,649.0",477.5,"2,885.2",286.3
"Memphis, TN-MS-AR M.S.A.2, 3",,"1,343,002", ,,,,, ,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica3 Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN","652,226"," 12,674 ", 186 , 491 ," 3,050 "," 8,947 "," 41,779 "," 8,494 "," 28,835 "," 4,450 "
,Total area actually reporting,94.8%," 15,190 ", 225 , 666 ," 3,380 "," 10,919 "," 55,382 "," 11,033 "," 38,698 "," 5,651 "
,Estimated total,100.0%," 15,344 ", 231 , 680 ," 3,416 "," 11,017 "," 57,361 "," 11,377 "," 40,209 "," 5,775 "
,"Rate per 100,000 inhabitants",,"1,142.5",17.2,50.6,254.4,820.3,"4,271.1",847.1,"2,994.0",430.0
"Merced, CA M.S.A.",,"272,901", ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,"83,659", 465 , 1 , 30 , 116 , 318 ," 2,219 ", 387 ," 1,404 ", 428 
,Total area actually reporting,100.0%," 1,548 ", 9 , 74 , 232 ," 1,233 "," 6,761 "," 1,412 "," 4,050 "," 1,299 "
,"Rate per 100,000 inhabitants",,567.2,3.3,27.1,85.0,451.8,"2,477.5",517.4,"1,484.1",476.0
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",,"6,241,618",,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Sunrise, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
,City of Miami,"473,047"," 2,978 ", 46 , 131 , 828 ," 1,973 "," 16,837 "," 2,057 "," 13,136 "," 1,644 "
,City of Fort Lauderdale,"182,150"," 1,006 ", 20 , 73 , 350 , 563 ," 9,050 "," 1,366 "," 6,814 ", 870 
,City of Pompano Beach,"112,045", 876 , 6 , 91 , 312 , 467 ," 4,307 ", 608 ," 3,121 ", 578 
,City of West Palm Beach,"111,659"," 1,026 ", 27 , 77 , 354 , 568 ," 4,249 ", 578 ," 3,290 ", 381 
,City of Boca Raton,"100,162", 205 , 2 , 28 , 80 , 95 ," 2,361 ", 277 ," 1,894 ", 190 
,City of Sunrise,"95,812", 186 , 2 , 21 , 57 , 106 ," 2,350 ", 187 ," 1,998 ", 165 
,City of Miami Beach,"92,928", 871 , 5 , 96 , 279 , 491 ," 6,947 ", 646 ," 5,902 ", 399 
,City of Deerfield Beach,"81,371", 329 , 3 , 21 , 110 , 195 ," 2,490 ", 422 ," 1,737 ", 331 
,City of Boynton Beach,"79,142", 477 , 4 , 21 , 134 , 318 ," 2,964 ", 256 ," 2,423 ", 285 
,City of Delray Beach,"69,970", 409 , 6 , 27 , 84 , 292 ," 2,522 ", 279 ," 2,038 ", 205 
,City of Jupiter,"66,457", 132 , 0 , 15 , 31 , 86 , 959 , 84 , 814 , 61 
,City of Doral,"63,680", 77 , 2 , 14 , 12 , 49 ," 1,464 ", 108 ," 1,235 ", 121 
,City of Palm Beach Gardens,"55,999", 83 , 2 , 14 , 25 , 42 ," 1,409 ", 125 ," 1,210 ", 74 
,City of Coral Gables,"51,716", 68 , 1 , 14 , 20 , 33 ," 1,225 ", 128 ," 1,035 ", 62 
,Total area actually reporting,100.0%," 26,694 ", 385 ," 2,111 "," 7,258 "," 16,940 "," 173,588 "," 19,669 "," 136,923 "," 16,996 "
,"Rate per 100,000 inhabitants",,427.7,6.2,33.8,116.3,271.4,"2,781.1",315.1,"2,193.7",272.3
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,962,248",,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,100.0%," 7,094 ", 96 , 629 ," 2,095 "," 4,274 "," 51,803 "," 6,286 "," 39,998 "," 5,519 "
,"Rate per 100,000 inhabitants",,361.5,4.9,32.1,106.8,217.8,"2,640.0",320.3,"2,038.4",281.3
"Miami-Miami Beach-Kendall, FL M.D.",,"2,786,840",,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,100.0%," 13,735 ", 198 , 916 ," 3,653 "," 8,968 "," 86,869 "," 9,181 "," 69,349 "," 8,339 "
,"Rate per 100,000 inhabitants",,492.9,7.1,32.9,131.1,321.8,"3,117.1",329.4,"2,488.4",299.2
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,"1,492,530",,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,100.0%," 5,865 ", 91 , 566 ," 1,510 "," 3,698 "," 34,916 "," 4,202 "," 27,576 "," 3,138 "
,"Rate per 100,000 inhabitants",,393.0,6.1,37.9,101.2,247.8,"2,339.4",281.5,"1,847.6",210.2
"Michigan City-La Porte, IN M.S.A.",,"109,795", ,,,,, ,,,
,Includes La Porte County,,,,,,,,,,
,City of Michigan City,"30,999", 230 , 3 , 13 , 50 , 164 ," 1,373 ", 189 ," 1,080 ", 104 
,City of La Porte,"21,630", 111 , 0 , 11 , 21 , 79 , 495 , 91 , 360 , 44 
,Total area actually reporting,95.9%, 422 , 3 , 29 , 77 , 313 ," 2,262 ", 399 ," 1,679 ", 184 
,Estimated total,100.0%, 448 , 3 , 31 , 84 , 330 ," 2,401 ", 422 ," 1,780 ", 199 
,"Rate per 100,000 inhabitants",,408.0,2.7,28.2,76.5,300.6,"2,186.8",384.4,"1,621.2",181.2
"Midland, MI M.S.A.",,"83,544", ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,"41,961", 55 , 1 , 19 , 1 , 34 , 354 , 36 , 306 , 12 
,Total area actually reporting,100.0%, 119 , 1 , 55 , 1 , 62 , 618 , 101 , 490 , 27 
,"Rate per 100,000 inhabitants",,142.4,1.2,65.8,1.2,74.2,739.7,120.9,586.5,32.3
"Midland, TX M.S.A.",,"174,780", ,,,,, ,,,
,Includes Martin and Midland Counties,,,,,,,,,,
,City of Midland,"140,072", 403 , 5 , 60 , 59 , 279 ," 2,764 ", 378 ," 2,108 ", 278 
,Total area actually reporting,100.0%, 555 , 9 , 69 , 70 , 407 ," 3,445 ", 482 ," 2,557 ", 406 
,"Rate per 100,000 inhabitants",,317.5,5.1,39.5,40.1,232.9,"1,971.0",275.8,"1,463.0",232.3
"Milwaukee-Waukesha, WI M.S.A.2",,"1,579,729",,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,"595,619"," 8,416 ", 99 , 489 ," 2,279 "," 5,549 "," 17,699 "," 4,259 "," 8,851 "," 4,589 "
,City of Waukesha,"72,672", 92 , 2 , 37 , 13 , 40 , 750 , 83 , 618 , 49 
,Total area actually reporting,100.0%," 9,631 ", 113 , 690 ," 2,606 "," 6,222 "," 32,859 "," 5,611 "," 21,636 "," 5,612 "
,"Rate per 100,000 inhabitants",,609.7,7.2,43.7,165.0,393.9,"2,080.0",355.2,"1,369.6",355.3
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",,"3,619,258",,,,,,,,,
,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey,2 Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN","428,261"," 3,395 ", 31 , 432 ," 1,184 "," 1,748 "," 16,750 "," 3,089 "," 11,471 "," 2,190 "
,"City of St. Paul, MN","309,756"," 1,941 ", 15 , 277 , 560 ," 1,089 "," 10,082 "," 1,909 "," 5,877 "," 2,296 "
,"City of Bloomington, MN","86,279", 165 , 2 , 51 , 44 , 68 ," 2,592 ", 158 ," 2,304 ", 130 
,"City of Plymouth, MN","79,559", 44 , 2 , 12 , 9 , 21 , 904 , 165 , 702 , 37 
,"City of Eagan, MN","66,981", 59 , 2 , 18 , 16 , 23 ," 1,289 ", 88 ," 1,148 ", 53 
,"City of Eden Prairie, MN","64,917", 39 , 1 , 15 , 7 , 16 , 873 , 65 , 784 , 24 
,"City of Minnetonka, MN","53,573", 28 , 1 , 12 , 4 , 11 , 810 , 105 , 674 , 31 
,"City of Edina, MN","52,544", 23 , 1 , 7 , 10 , 5 , 803 , 101 , 677 , 25 
,Total area actually reporting,99.9%," 9,167 ", 70 ," 1,660 "," 2,638 "," 4,799 "," 78,165 "," 10,649 "," 59,705 "," 7,811 "
,Estimated total,100.0%," 9,171 ", 70 ," 1,661 "," 2,641 "," 4,799 "," 78,195 "," 10,649 "," 59,735 "," 7,811 "
,"Rate per 100,000 inhabitants",,253.4,1.9,45.9,73.0,132.6,"2,160.5",294.2,"1,650.5",215.8
"Missoula, MT M.S.A.",,"118,931", ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,"74,300", 333 , 2 , 65 , 42 , 224 ," 3,521 ", 379 ," 2,944 ", 198 
,Total area actually reporting,100.0%, 413 , 2 , 83 , 47 , 281 ," 4,131 ", 497 ," 3,380 ", 254 
,"Rate per 100,000 inhabitants",,347.3,1.7,69.8,39.5,236.3,"3,473.4",417.9,"2,842.0",213.6
"Mobile, AL M.S.A.6",,"430,335", ,,,,, ,,,
,Includes Mobile and Washington Counties,,,,,,,,,,
,City of Mobile6,"245,475"," 1,613 ", 26 , 168 , 378 ," 1,041 "," 12,094 "," 2,568 "," 8,442 "," 1,084 "
,Total area actually reporting,100.0%," 2,266 ", 37 , 202 , 469 ," 1,558 "," 16,744 "," 3,803 "," 11,206 "," 1,735 "
,"Rate per 100,000 inhabitants",,526.6,8.6,46.9,109.0,362.0,"3,890.9",883.7,"2,604.0",403.2
"Modesto, CA M.S.A.",,"548,464", ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,"215,822"," 1,904 ", 16 , 105 , 420 ," 1,363 "," 7,727 "," 1,109 "," 5,420 "," 1,198 "
,Total area actually reporting,100.0%," 3,160 ", 40 , 190 , 811 ," 2,119 "," 15,300 "," 2,696 "," 10,018 "," 2,586 "
,"Rate per 100,000 inhabitants",,576.2,7.3,34.6,147.9,386.4,"2,789.6",491.6,"1,826.6",471.5
"Monroe, LA M.S.A.2",,"202,029", ,,,,, ,,,
,"Includes Morehouse, Ouachita,2 and Union Parishes",,,,,,,,,,
,City of Monroe,"48,291", 677 , 4 , 28 , 147 , 498 ," 3,278 ", 749 ," 2,358 ", 171 
,Total area actually reporting,97.5%," 1,454 ", 11 , 87 , 237 ," 1,119 "," 8,834 "," 2,368 "," 5,984 ", 482 
,Estimated total,100.0%," 1,464 ", 11 , 87 , 237 ," 1,129 "," 8,963 "," 2,390 "," 6,089 ", 484 
,"Rate per 100,000 inhabitants",,724.6,5.4,43.1,117.3,558.8,"4,436.5","1,183.0","3,013.9",239.6
"Monroe, MI M.S.A.",,"149,626", ,,,,, ,,,
,Includes Monroe County,,,,,,,,,,
,City of Monroe,"19,754", 114 , 0 , 25 , 11 , 78 , 383 , 66 , 295 , 22 
,Total area actually reporting,97.0%, 380 , 2 , 114 , 34 , 230 ," 1,851 ", 395 ," 1,310 ", 146 
,Estimated total,100.0%, 388 , 2 , 116 , 37 , 233 ," 1,899 ", 399 ," 1,353 ", 147 
,"Rate per 100,000 inhabitants",,259.3,1.3,77.5,24.7,155.7,"1,269.2",266.7,904.3,98.2
"Montgomery, AL M.S.A.",,"373,669", ,,,,, ,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
,City of Montgomery,"198,662"," 1,216 ", 29 , 39 , 391 , 757 ," 8,480 "," 2,052 "," 5,456 ", 972 
,Total area actually reporting,99.6%," 1,712 ", 39 , 112 , 480 ," 1,081 "," 12,727 "," 2,805 "," 8,608 "," 1,314 "
,Estimated total,100.0%," 1,712 ", 39 , 112 , 480 ," 1,081 "," 12,735 "," 2,805 "," 8,616 "," 1,314 "
,"Rate per 100,000 inhabitants",,458.2,10.4,30.0,128.5,289.3,"3,408.1",750.7,"2,305.8",351.6
"Morristown, TN M.S.A.",,"141,820", ,,,,, ,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
,City of Morristown,"29,884", 242 , 0 , 22 , 14 , 206 ," 1,388 ", 164 ," 1,131 ", 93 
,Total area actually reporting,100.0%, 534 , 1 , 53 , 37 , 443 ," 3,032 ", 531 ," 2,201 ", 300 
,"Rate per 100,000 inhabitants",,376.5,0.7,37.4,26.1,312.4,"2,137.9",374.4,"1,552.0",211.5
"Mount Vernon-Anacortes, WA M.S.A.",,"127,401",,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,"35,550", 99 , 2 , 16 , 26 , 55 ," 1,308 ", 233 , 964 , 111 
,City of Anacortes,"17,130", 30 , 0 , 8 , 3 , 19 , 380 , 64 , 308 , 8 
,Total area actually reporting,100.0%, 248 , 4 , 39 , 46 , 159 ," 3,633 ", 695 ," 2,672 ", 266 
,"Rate per 100,000 inhabitants",,194.7,3.1,30.6,36.1,124.8,"2,851.6",545.5,"2,097.3",208.8
"Muncie, IN M.S.A.",,"114,803", ,,,,, ,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,"68,406", 219 , 1 , 40 , 80 , 98 ," 2,281 ", 407 ," 1,434 ", 440 
,Total area actually reporting,100.0%, 281 , 1 , 59 , 83 , 138 ," 2,760 ", 513 ," 1,756 ", 491 
,"Rate per 100,000 inhabitants",,244.8,0.9,51.4,72.3,120.2,"2,404.1",446.9,"1,529.6",427.7
"Muskegon, MI M.S.A.",,"174,304", ,,,,, ,,,
,Includes Muskegon County,,,,,,,,,,
,City of Muskegon,"38,125", 245 , 7 , 39 , 31 , 168 ," 1,717 ", 321 ," 1,226 ", 170 
,Total area actually reporting,100.0%, 754 , 14 , 154 , 92 , 494 ," 5,676 ", 774 ," 4,521 ", 381 
,"Rate per 100,000 inhabitants",,432.6,8.0,88.4,52.8,283.4,"3,256.4",444.1,"2,593.7",218.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.3, 5",,"477,881",,,,,,,,,
,"Includes Brunswick County, NC3 and Horry County, SC",, ,,,,,,,,
,"City of Myrtle Beach, SC","33,687", 473 , 4 , 64 , 129 , 276 ," 3,553 ", 410 ," 2,883 ", 260 
,"City of Conway, SC","24,784", 141 , 1 , 15 , 22 , 103 , 960 , 164 , 748 , 48 
,"City of North Myrtle Beach, SC5","16,688", 105 , 1 , 28 , 16 , 60 ,, 192 , 782 ,
,Total area actually reporting,98.3%," 1,852 ", 30 , 292 , 312 ," 1,218 ",," 2,560 "," 10,425 ",
,Estimated total,100.0%," 1,910 ", 30 , 326 , 315 ," 1,239 ",," 2,612 "," 10,613 ",
,"Rate per 100,000 inhabitants",,399.7,6.3,68.2,65.9,259.3,,546.6,"2,220.8",
"Napa, CA M.S.A.",,"140,489", ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,"80,145", 269 , 0 , 56 , 46 , 167 ," 1,241 ", 258 , 814 , 169 
,Total area actually reporting,100.0%, 683 , 1 , 84 , 67 , 531 ," 2,033 ", 405 ," 1,387 ", 241 
,"Rate per 100,000 inhabitants",,486.2,0.7,59.8,47.7,378.0,"1,447.1",288.3,987.3,171.5
"Naples-Marco Island, FL M.S.A.",,"380,429",,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,"22,308", 9 , 0 , 0 , 2 , 7 , 320 , 19 , 277 , 24 
,City of Marco Island,"18,122", 6 , 0 , 0 , 1 , 5 , 98 , 11 , 82 , 5 
,Total area actually reporting,100.0%, 913 , 9 , 109 , 141 , 654 ," 4,228 ", 535 ," 3,449 ", 244 
,"Rate per 100,000 inhabitants",,240.0,2.4,28.7,37.1,171.9,"1,111.4",140.6,906.6,64.1
"Nashville-Davidson–Murfreesboro–Franklin, TN M.S.A.4",,"1,913,148",,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Macon, Maury, Robertson, Rutherford,4 Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Metropolitan Nashville Police Department,"686,492"," 7,641 ", 91 , 480 ," 2,116 "," 4,954 "," 27,537 "," 3,627 "," 20,828 "," 3,082 "
,City of Murfreesboro,"140,702", 613 , 11 , 77 , 107 , 418 ," 4,417 ", 649 ," 3,458 ", 310 
,City of Franklin,"80,825", 119 , 0 , 19 , 9 , 91 , 982 , 77 , 850 , 55 
,Total area actually reporting,100.0%," 11,462 ", 150 , 879 ," 2,465 "," 7,968 ",," 6,551 "," 37,424 ",
,"Rate per 100,000 inhabitants",,599.1,7.8,45.9,128.8,416.5,,342.4,"1,956.1",
"New Bern, NC M.S.A.3",,"124,530",,,,,,,,,
,"Includes Craven, Jones, and Pamlico Counties3",, ,,,,,,,,
,City of New Bern3,"29,600",, 0 ,, 27 , 81 , 940 , 195 , 718 , 27 
,Total area actually reporting,88.8%, 298 , 1 , 28 , 45 , 224 ," 2,483 ", 740 ," 1,622 ", 121 
,Estimated total,100.0%, 330 , 1 , 31 , 49 , 249 ," 2,760 ", 814 ," 1,809 ", 137 
,"Rate per 100,000 inhabitants",,265.0,0.8,24.9,39.3,200.0,"2,216.3",653.7,"1,452.7",110.0
"New Haven-Milford, CT M.S.A.",,"805,875",,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,"131,181"," 1,105 ", 10 , 60 , 320 , 715 ," 5,111 ", 749 ," 3,688 ", 674 
,City of Milford,"54,754", 37 , 0 , 1 , 25 , 11 ," 1,119 ", 193 , 846 , 80 
,Total area actually reporting,100.0%," 2,377 ", 24 , 200 , 765 ," 1,388 "," 19,635 "," 2,615 "," 14,424 "," 2,596 "
,"Rate per 100,000 inhabitants",,295.0,3.0,24.8,94.9,172.2,"2,436.5",324.5,"1,789.9",322.1
"New Orleans-Metairie, LA M.S.A.4",,"1,275,532",,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,"396,374"," 4,611 ", 147 , 681 ," 1,219 "," 2,564 "," 18,063 "," 2,027 "," 13,042 "," 2,994 "
,Total area actually reporting,100.0%," 7,191 ", 198 , 882 ," 1,713 "," 4,398 ",," 4,757 ",," 4,258 "
,"Rate per 100,000 inhabitants",,563.8,15.5,69.1,134.3,344.8,,372.9,,333.8
"Niles, MI M.S.A.",,"154,218",,,,,,,,,
,Includes Berrien County,,,,,,,,,,
,City of Niles,"11,154", 70 , 0 , 18 , 14 , 38 , 273 , 49 , 196 , 28 
,Total area actually reporting,100.0%, 810 , 5 , 154 , 92 , 559 ," 3,124 ", 631 ," 2,257 ", 236 
,"Rate per 100,000 inhabitants",,525.2,3.2,99.9,59.7,362.5,"2,025.7",409.2,"1,463.5",153.0
"North Port-Sarasota-Bradenton, FL M.S.A.",,"819,882",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
